epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,weight_mean_band_0,weight_mean_band_1,weight_mean_band_2,weight_mean_band_3,weight_mean_band_4,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,scale_pi_band_0,scale_pi_band_1,scale_pi_band_2,scale_pi_band_3,scale_pi_band_4,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,spearman_rate_var_error_band_0,spearman_rate_var_error_band_1,spearman_rate_var_error_band_2,spearman_rate_var_error_band_3,spearman_rate_var_error_band_4,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.767845360008447,18.97734935863598,3.7608531230204814,3.7608531230204814,3.7608531230204814,0.0,0.0,0.3329390706242742,4.232300629486909,0.17325674520956502,4.996918961808488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4662160873413086,49.98881912231445,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.0041208877228200436,0.9669902920722961,1.011950135231018,1.0,0.0041208877228200436,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.09715312236064,19.40583100190034,3.7768641291437923,3.7768641291437923,3.7768641291437923,0.0,0.0,0.33312753728918126,4.0161508096231,0.17317202284529404,4.6367509171769425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4693682193756104,49.90374755859375,49.9067497253418,49.9067497253418,49.9067497253418,1.0,0.003943470306694508,0.9642086625099182,1.0096684694290161,1.0,0.003943470306694508,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0000001192092896,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,25.946765796558278,20.17997288059544,3.815906421558277,3.815906421558277,3.815906421558277,0.0,0.0,0.3335191365834829,4.101934896933066,0.17307340776598132,4.73215422759185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4742271900177,49.723690032958984,49.71218490600586,49.71218490600586,49.80937194824219,1.0,0.0036186915822327137,0.9793943762779236,1.0117981433868408,1.0,0.0036186915822327137,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,23.88484810494088,18.17251834353885,3.80877685546875,3.80877685546875,3.80877685546875,0.0,0.0,0.33296693337930217,3.962809794657939,0.17291310026838974,4.636072932062922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4798712730407715,49.60991287231445,49.518367767333984,49.61518478393555,49.71218490600586,1.0,0.0034137640614062548,0.9816044569015503,1.0110538005828857,1.0,0.0034137640614062548,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,26.039765229096282,20.22315772804054,3.7520974648965373,3.7520974648965373,3.7520974648965373,0.0,0.0,0.3339900197209539,4.233841354782517,0.17272079313123548,5.1673555116395695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.483654737472534,49.36024475097656,49.22907257080078,49.3253173828125,49.421749114990234,1.0,0.004164197947829962,0.9820513129234314,1.016209602355957,1.0,0.004164197947829962,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,254.0789158999265,367.3245105090285,0.7522387073314153,-67.59802426348676,254.07891597845182,325.39044520041887,396.7755026019558,437.67260897443145,230.68980571201868,168.17756779988608,498.53538712211275,0.14057537313183663,0.3557009634053935,0.22970920263302874,0.22970920263302874,0.0,0.0,0.0,0.0,0.3492171112165649,0.1895710523810617,0.17509604673737048,0.0,0.0,1.6800155070294878,0.5959770330618831,0.7202499343265658,0.837336285510564,0.0959770330618831,-0.07975006567343423,-0.1126637144894359,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,2.642951474412457,2.5556956863665317,2.4859325908697567,-8.000415802001953,0.0003352669591549784
6,6e-06,6e-05,0.05,25.963124868032093,20.253041860219593,3.7904333166173987,3.7904333166173987,3.7904333166173987,0.0,0.0,0.33421312796102987,4.056949924778294,0.17249896075274493,4.61951054753484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4925806522369385,49.170623779296875,49.037147521972656,49.22907257080078,49.3253173828125,1.0,0.004978117533028126,0.9754672050476074,1.017291784286499,1.0,0.004978117533028126,0.0,0.0,2.3102774620056152,1.386293649673462,0.399944953594456,,,,,,1.0,1.0,1.0,,,,,,,,0.5038438439369202,0.4961561858654022,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,26.14874432538007,20.39160651129645,3.8007923847920186,3.8007923847920186,3.8007923847920186,0.0,0.0,0.33428369986044393,4.094347567171664,0.17238049893765836,4.76548890809755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.529561996459961,48.701717376708984,48.46584701538086,48.75066375732422,48.94146728515625,1.0,0.00834877509623766,0.9612894058227539,1.0378490686416626,1.0,0.00834877509623766,0.0,0.0,2.215240001678467,0.947478175163269,0.5722909596949434,,,,,,1.0,1.0,1.0,,,,,,,,0.5127065777778625,0.48729345202445984,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,25.88678638355152,20.181576290646113,3.7744738604571366,3.7744738604571366,3.7744738604571366,0.0,0.0,0.3347194259231155,4.0775727967958195,0.1719770044893832,4.653331859691723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.583427906036377,47.854820251464844,47.343135833740234,47.90120315551758,48.371280670166016,1.0,0.014398489147424698,0.9481666684150696,1.096867322921753,1.0,0.014398489147424698,0.0,0.0,2.013516426086426,0.7498065233230591,0.6276134062733117,,,,,,1.0,1.0,1.0,,,,,,,,0.5260974168777466,0.4739025831222534,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,24.53084419869088,18.795862146326012,3.7268408698004647,3.7268408698004647,3.7268408698004647,0.0,0.0,0.33498972815436284,4.146869968723607,0.1712761827417322,4.970735704576647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7126758098602295,46.26607131958008,44.561710357666016,46.42744064331055,47.90120315551758,1.0,0.06171014532446861,0.8504363894462585,1.4850685596466064,1.0,0.06171014532446861,0.0,0.0,1.683915615081787,0.6471207141876221,0.6157047844964656,,,,,,1.0,1.0,1.0,,,,,,,,0.5414708852767944,0.45852914452552795,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,23.67174798089105,18.11158051361909,3.781843855574324,3.781843855574324,3.781843855574324,0.0,0.0,0.3345473779214395,3.809191317171664,0.1698306960028571,4.161150545687289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9071435928344727,44.11479187011719,39.095821380615234,45.04300308227539,48.27689743041992,1.0,0.14670300483703613,0.6848430633544922,2.192279100418091,1.0,0.14670300483703613,0.0,0.0,1.43253493309021,0.5546427965164185,0.6128242434409861,,,,,,1.0,1.0,1.0,,,,,,,,0.5492883920669556,0.45071157813072205,0.0,,,254.40764244834145,367.1594134756605,0.756693946558032,-65.13591426807446,254.40764230473357,325.9343796175534,397.5824472328199,438.6309092782271,232.46178436279297,169.51313107512718,495.82096796450406,0.1404837509647088,0.37530145424030786,0.2052379070265885,0.2052379070265885,0.0,0.0,0.0,0.0,0.3299532081689179,0.1876413856525264,0.14305234146607926,0.0,0.0,1.6776747425157321,0.5985476789131985,0.7202499343265658,0.8381243667204563,0.09854767891319849,-0.07975006567343423,-0.11187563327954364,0.0,0.0,0.5604395604395604,0.43956043956043955,1.0,2.6451843102554697,2.557702762085003,2.4880182219075633,-7.9998040199279785,0.00033547208295203745
