epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,weight_mean_band_0,weight_mean_band_1,weight_mean_band_2,weight_mean_band_3,weight_mean_band_4,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,scale_pi_band_0,scale_pi_band_1,scale_pi_band_2,scale_pi_band_3,scale_pi_band_4,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,spearman_rate_var_error_band_0,spearman_rate_var_error_band_1,spearman_rate_var_error_band_2,spearman_rate_var_error_band_3,spearman_rate_var_error_band_4,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,21.0354663745777,18.97741534258868,3.7609034357844173,3.7609034357844173,3.7609034357844173,0.0,0.0,0.3329397149988123,4.232292793892525,0.17325662922214818,4.996906177417652,0.05682940740843077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4662318229675293,49.98843002319336,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.004125382751226425,0.966955304145813,1.011913537979126,1.0,0.004125382751226425,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,21.349815574852197,19.40580130912162,3.7770472346125423,3.7770472346125423,3.7770472346125423,0.0,0.0,0.33312965083766627,4.016145860826647,0.1731716877705342,4.63672534839527,0.0591237802763243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4693522453308105,49.9039421081543,49.9067497253418,49.9067497253418,49.9067497253418,1.0,0.003962901420891285,0.9643139839172363,1.0096931457519531,1.0,0.003962901420891285,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,22.158193227407093,20.17998607738598,3.8162895408836572,3.8162895408836572,3.8162895408836572,0.0,0.0,0.3335237503051758,4.101937783730997,0.1730734464284536,4.732225160341005,0.05460875098769729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.474113941192627,49.72613525390625,49.71218490600586,49.71218490600586,49.80937194824219,1.0,0.0036401741672307253,0.9794294834136963,1.0117861032485962,1.0,0.0036401741672307253,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,20.10376801361909,18.173329946157093,3.8094383445945947,3.8094383445945947,3.8094383445945947,0.0,0.0,0.33297590307287267,3.962725252718539,0.17291136045713681,4.636239953943201,0.05373170246949067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47965669631958,49.61345672607422,49.518367767333984,49.61518478393555,49.71218490600586,1.0,0.003482904052361846,0.9816106557846069,1.0113359689712524,1.0,0.003482904052361846,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,22.31480448954814,20.2215576171875,3.7531585693359375,3.7531585693359375,3.7531585693359375,0.0,0.0,0.3339989120895798,4.234030233847128,0.17272547129038218,5.167060645850929,0.05752417203542348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4841673374176025,49.37160110473633,49.22907257080078,49.421749114990234,49.518367767333984,1.0,0.004174578003585339,0.9786595106124878,1.016228437423706,1.0,0.004174578003585339,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,254.0779383313525,367.32292807560987,0.7522343743769562,-67.59951283381535,254.07793771699173,325.3918864572933,396.7794828181766,437.67313375114463,230.69343512398856,168.17578204842502,498.5359749172045,0.14064706922524994,0.358685872980376,0.2317017434568139,0.2317017434568139,0.0,0.0,0.0,0.0,0.3548525153715329,0.19464451585111905,0.1704259534777714,0.0,0.0,1.679961640272669,0.5959395053852216,0.7202499343265658,0.8374113408638871,0.09593950538522156,-0.07975006567343423,-0.11258865913611282,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,2.6432198135407416,2.5559399200009776,2.486153633057416,-8.000399589538574,0.0003352724015712738
6,6e-06,6e-05,0.05,22.19660908467061,20.249229637352197,3.791758769267314,3.791758769267314,3.791758769267314,0.0,0.0,0.3342208604554872,4.05752522236592,0.17250889700812264,4.619087425438133,0.05539440464329075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.494004487991333,49.17478561401367,49.037147521972656,49.22907257080078,49.3253173828125,1.0,0.005103477276861668,0.9786063432693481,1.017880916595459,1.0,0.005103477276861668,0.0,0.0,2.3244330883026123,1.392224907875061,0.401047543643549,,,,,,1.0,1.0,1.0,,,,,,,,0.5039747953414917,0.4960252046585083,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,22.36103614600929,20.3774974926098,3.8025158031566724,3.8025158031566724,3.8025158031566724,0.0,0.0,0.3342944222527581,4.0945710878114445,0.1723697249953811,4.762184761665963,0.05560253117535565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.532604694366455,48.69190216064453,48.46584701538086,48.75066375732422,48.94146728515625,1.0,0.00884094089269638,0.9607705473899841,1.040614128112793,1.0,0.00884094089269638,0.0,0.0,2.2164182662963867,0.948145866394043,0.5722170851901589,,,,,,1.0,1.0,1.0,,,,,,,,0.5124943256378174,0.4875056743621826,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,22.10451198268581,20.149206213048988,3.776464926229941,3.776464926229941,3.776464926229941,0.0,0.0,0.33476058856861013,4.072074271537162,0.17192548030131571,4.642249854835304,0.055737186122584985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.579970121383667,47.9610710144043,47.343135833740234,47.99485397338867,48.46584701538086,1.0,0.01567203179001808,0.9456297159194946,1.1204521656036377,1.0,0.01567203179001808,0.0,0.0,1.9568393230438232,0.7428043484687805,0.6204060600574176,,,,,,1.0,1.0,1.0,,,,,,,,0.52434903383255,0.47565096616744995,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,20.73637596336571,18.71719607791385,3.7281918912320524,3.7281918912320524,3.7281918912320524,0.0,0.0,0.3350200137576541,4.117954151050465,0.17099216822031382,4.912301965661951,0.057034569817620354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.735074520111084,46.07859420776367,44.128658294677734,46.29164123535156,47.99485397338867,1.0,0.08073157072067261,0.8518437147140503,1.5577224493026733,1.0,0.08073157072067261,0.0,0.0,1.6265881061553955,0.6312680840492249,0.6119066150426425,,,,,,1.0,1.0,1.0,,,,,,,,0.538504958152771,0.46149498224258423,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,19.7703296558277,17.997393633868242,3.78292516759924,3.78292516759924,3.78292516759924,0.0,0.0,0.3345265001864047,3.7605302140519425,0.16916628141660947,4.046214748073268,0.05481100082397461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9696383476257324,43.9770622253418,38.715885162353516,44.91121292114258,48.46584701538086,1.0,0.17251664400100708,0.632953941822052,2.43056058883667,1.0,0.17251664400100708,0.0,0.0,1.4910225868225098,0.5921609401702881,0.6028491148264687,,,,,,1.0,1.0000001192092896,1.0000001192092896,,,,,,,,0.5458429455757141,0.4541570544242859,0.0,,,254.38967742500725,367.1501539939796,0.7565641065314995,-65.19149937472501,254.3896774867918,325.8848827616838,397.5355374055806,438.58192067990683,232.41029357910156,169.47401023095892,495.86743296747625,0.14076389749926962,0.3832679141220341,0.20999284821627806,0.20999284821627806,0.0,0.0,0.0,0.0,0.34201595260935913,0.2000401497072519,0.13786226553580236,0.0,0.0,1.6773073092394517,0.5985476789131985,0.7202499343265658,0.8381618943971179,0.09854767891319849,-0.07975006567343423,-0.1118381056028821,0.0,0.0,0.5604395604395604,0.43956043956043955,1.0,2.6461151448579936,2.5585616617412357,2.488798964482087,-7.999772071838379,0.000335482822265476
