epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,weight_mean_band_0,weight_mean_band_1,weight_mean_band_2,weight_mean_band_3,weight_mean_band_4,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,scale_pi_band_0,scale_pi_band_1,scale_pi_band_2,scale_pi_band_3,scale_pi_band_4,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,spearman_rate_var_error_band_0,spearman_rate_var_error_band_1,spearman_rate_var_error_band_2,spearman_rate_var_error_band_3,spearman_rate_var_error_band_4,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.79625640044341,18.977352657833613,3.76085394781989,3.76085394781989,3.76085394781989,0.0,0.0,0.3329390706242742,4.2322998046875,0.1732566549971297,4.9969160750105575,0.056829330083486194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4662415981292725,49.98872375488281,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.004116500727832317,0.9669904708862305,1.0119503736495972,1.0,0.004116500727832317,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.12673042915963,19.405834301097972,3.7768686655405403,3.7768686655405403,3.7768686655405403,0.0,0.0,0.33312730531434753,4.016149984823691,0.17317208728274783,4.636774011560388,0.059123477420291386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4694063663482666,49.90338134765625,49.9067497253418,49.9067497253418,49.9067497253418,1.0,0.003942208830267191,0.9642320275306702,1.009644627571106,1.0,0.003942208830267191,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,25.97393633868243,20.179859058277028,3.815903122360642,3.815903122360642,3.815903122360642,0.0,0.0,0.3335186468588339,4.101910977750211,0.17307380727819494,4.732119173616977,0.05460824837555756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.474191665649414,49.72093200683594,49.71218490600586,49.71218490600586,49.80937194824219,1.0,0.003638212103396654,0.9792652130126953,1.0119538307189941,1.0,0.003638212103396654,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,23.91151222022804,18.17243256440034,3.8086976747255066,3.8086976747255066,3.8086976747255066,0.0,0.0,0.3329669849292652,3.962666279560811,0.172912868293556,4.636041177285684,0.05372993043951086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4803121089935303,49.60411834716797,49.518367767333984,49.61518478393555,49.71218490600586,1.0,0.0033876525703817606,0.9812474846839905,1.010612964630127,1.0,0.0033876525703817606,0.0,0.0,0.0,0.0,0.0,,,,,,1.0000001192092896,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,26.068186167124157,20.22294163059544,3.7521168476826436,3.7521168476826436,3.7521168476826436,0.0,0.0,0.33398223567653346,4.234131684174409,0.17273053607425173,5.166400806323902,0.05752243866791596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.485114812850952,49.362335205078125,49.22907257080078,49.3253173828125,49.421749114990234,1.0,0.004020153544843197,0.9818616509437561,1.0122926235198975,1.0,0.004020153544843197,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,254.07690303928248,367.32269770717255,0.7522367100454195,-67.5967040009551,254.076903037251,325.3918232000508,396.7793009950409,437.67532958269584,230.68680790492468,168.17658458384432,498.5306366630222,0.14060821159431613,0.3571752227042761,0.23187231944895295,0.23187231944895295,0.0,0.0,0.0,0.0,0.3516033276901323,0.19250111986500365,0.17704368319742744,0.0,0.0,1.679994154563231,0.5959395053852216,0.7202499343265658,0.8373738131872256,0.09593950538522156,-0.07975006567343423,-0.11262618681277436,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,2.64300453040626,2.5557428991401587,2.485972773897779,-8.000389099121094,0.00033527592313475907
6,6e-06,6e-05,0.05,25.987769874366553,20.249854835304053,3.7905467265361064,3.7905467265361064,3.7905467265361064,0.0,0.0,0.3342010394946949,4.057786683778505,0.17252428467209274,4.618782249656883,0.05539292258185309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4942739009857178,49.16648864746094,49.037147521972656,49.133018493652344,49.3253173828125,1.0,0.004840663634240627,0.9748010635375977,1.0172966718673706,1.0,0.004840663634240627,0.0,0.0,2.324240207672119,1.3924041986465454,0.40092069913843775,,,,,,1.0000001192092896,1.0,1.0,,,,,,,,0.5033049583435059,0.49669507145881653,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,26.169037690033782,20.38419486380912,3.8008509455500423,3.8008509455500423,3.8008509455500423,0.0,0.0,0.3342715340691644,4.0953398008604305,0.17237531816637194,4.763752292942357,0.05560229920052193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5321362018585205,48.68317794799805,48.46584701538086,48.65553665161133,48.94146728515625,1.0,0.00835748203098774,0.9598602056503296,1.0400185585021973,1.0,0.00835748203098774,0.0,0.0,2.226375102996826,0.9501469135284424,0.5732314324529181,,,,,,1.0,1.0,1.0,,,,,,,,0.5109573602676392,0.48904260993003845,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,25.941112621410472,20.20549712309966,3.774651192330025,3.774651192330025,3.774651192330025,0.0,0.0,0.33472326639536265,4.081573486328125,0.17197347331691432,4.661096521326013,0.05574439022992108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.575693368911743,48.019107818603516,47.52843475341797,48.08868408203125,48.46584701538086,1.0,0.01340725738555193,0.9547638297080994,1.0886529684066772,1.0,0.01340725738555193,0.0,0.0,2.032613515853882,0.7483432292938232,0.6318320116161132,,,,,,1.0,1.0,1.0,,,,,,,,0.5208439826965332,0.4791560769081116,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,24.633025298247468,18.861710831925677,3.727617830843539,3.727617830843539,3.727617830843539,0.0,0.0,0.335008311916042,4.158214672191723,0.1713280033420872,4.994428479993665,0.05706689164445207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71626353263855,46.227928161621094,44.561710357666016,46.336849212646484,47.90120315551758,1.0,0.06068560108542442,0.8525568842887878,1.4389712810516357,1.0,0.06068560108542442,0.0,0.0,1.6886029243469238,0.6458007097244263,0.6175532445117652,,,,,,1.0,0.9999998807907104,1.0,,,,,,,,0.5344565510749817,0.4655434489250183,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,23.768741092166387,18.17333489495355,3.782295020850929,3.782295020850929,3.782295020850929,0.0,0.0,0.3345404186764279,3.8252002612964526,0.16989001712283572,4.181855072846284,0.05487974269970043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.90468692779541,44.232540130615234,39.67274856567383,45.08699035644531,48.27689743041992,1.0,0.1418067365884781,0.6855218410491943,2.216691732406616,1.0,0.1418067365884781,0.0,0.0,1.4508097171783447,0.5575826168060303,0.6156748812721883,,,,,,1.0,1.0,1.0,,,,,,,,0.5405980944633484,0.4594019055366516,0.0,,,254.42016966264327,367.16787954634697,0.7568190731401868,-65.08246038248251,254.42017026484052,325.96045740092876,397.63319666384353,438.6834020998905,232.54869624546595,169.5467741027359,495.76295968760616,0.140357069869923,0.3748738874860119,0.19330259756628668,0.19330259756628668,0.0,0.0,0.0,0.0,0.32069313835669183,0.1880335394850903,0.11388177442560998,0.0,0.0,1.6777973480540669,0.5985664427515293,0.7202499343265658,0.8381994220737794,0.09856644275152926,-0.07975006567343423,-0.11180057792622056,0.0,0.0,0.5604395604395604,0.43956043956043955,1.0,2.6456090994588624,2.5580939601410875,2.488346461738859,-7.999870777130127,0.0003354497021064162
