epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,weight_mean_band_0,weight_mean_band_1,weight_mean_band_2,weight_mean_band_3,weight_mean_band_4,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,scale_pi_band_0,scale_pi_band_1,scale_pi_band_2,scale_pi_band_3,scale_pi_band_4,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,spearman_rate_var_error_band_0,spearman_rate_var_error_band_1,spearman_rate_var_error_band_2,spearman_rate_var_error_band_3,spearman_rate_var_error_band_4,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.960175385346282,18.9773510082348,3.76085394781989,3.76085394781989,3.76085394781989,0.0,0.0,0.33293914794921875,5.951245282147382,0.17327241639833194,4.097554387273015,0.056829342970976957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1273977756500244,49.95970153808594,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.007483855355530977,0.9405964016914368,1.0167790651321411,1.0,0.007483855355530977,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,1.0,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.37904976509713,19.40576996674409,3.776862479544975,3.776862479544975,3.776862479544975,0.0,0.0,0.33312748573921824,5.892402442725929,0.17323260693936735,4.022422584327492,0.059123470976546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1332828998565674,49.76842498779297,49.71218490600586,49.80937194824219,49.80937194824219,1.0,0.005750092212110758,0.9410118460655212,1.0131860971450806,1.0,0.005750092212110758,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,1.0,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,26.18585370038007,20.179967931798988,3.815898998363598,3.815898998363598,3.815898998363598,0.0,0.0,0.33351887883366765,5.9325285215635555,0.17316440633825353,3.9605003563133447,0.054608125944395326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14184832572937,49.65087890625,49.61518478393555,49.61518478393555,49.71218490600586,0.9999998807907104,0.005373681429773569,0.9591986536979675,1.0117783546447754,0.9999998807907104,0.005373681429773569,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,1.0,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,24.10225368190456,18.172351734058278,3.808773556271115,3.808773556271115,3.808773556271115,0.0,0.0,0.33296750042889567,5.672863522091427,0.1730997369096086,3.879481959987331,0.05373035894857871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.152261972427368,49.4754753112793,49.3253173828125,49.518367767333984,49.61518478393555,1.0,0.004255297593772411,0.9600142240524292,1.0127393007278442,1.0,0.004255297593772411,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,1.0,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,26.260651459565032,20.222931733002532,3.752162624049831,3.752162624049831,3.752162624049831,0.0,0.0,0.3339924425692172,6.148395022830448,0.17300150845501874,4.214122462917018,0.05752306371121793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16402530670166,49.08667755126953,48.845970153808594,49.133018493652344,49.22907257080078,1.0,0.004383161198347807,0.9742063879966736,1.0202312469482422,1.0,0.004383161198347807,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,1.0,,,,,,,0.0,0.0,,0.0,,,,,,250.4025812463446,375.62093115985584,0.6628709690896022,-121.99148004133623,250.40258141911772,322.2296010133723,386.6749356222177,423.53656426272124,190.58129937308175,143.02473893276482,560.6306384542714,0.03716926191039645,0.24744387038613605,0.29019012747299794,0.29019012747299794,0.0,0.33095109019956587,0.28899300076063,0.17012389889965737,0.0,0.0,0.0,0.0,0.0,1.3909221628207609,0.7364698985013375,0.7827122494595288,0.831446264336228,0.23646989850133748,-0.01728775054047127,-0.11855373566377192,0.0,0.0,0.5164835164835165,0.4835164835164835,1.0,2.334137670613907,2.1776792102462643,2.1589572770254954,-8.000425338745117,0.0003352637868374586
6,6e-06,6e-05,0.05,26.2643383129223,20.25048003325591,3.794961877771326,3.794961877771326,3.794961877771326,0.0,0.0,0.3342624097257047,6.008987839157517,0.17288396165177627,4.024943996120143,0.0553883797413594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1901895999908447,48.60280227661133,48.371280670166016,48.65553665161133,48.845970153808594,1.0,0.004901195876300335,0.9658181667327881,1.0274033546447754,1.0,0.004901195876300335,0.0,0.0,4.857715606689453,2.93011474609375,0.3968122090023645,,1.0,1.0,,1.0,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,26.40944527290963,20.4127758129223,3.8082184662690035,3.8082184662690035,3.8082184662690035,0.0,0.0,0.3343878050108214,5.917104360219595,0.1726923246641417,3.9637979043496623,0.05560714489704854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.226011037826538,47.75872039794922,47.250762939453125,47.807735443115234,48.18269729614258,1.0000001192092896,0.009475857019424438,0.9552487134933472,1.0775436162948608,1.0000001192092896,0.009475857019424438,0.0,0.0,4.727831840515137,1.8929613828659058,0.5996132166452748,,1.0,1.0,,1.0,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,26.349022117820947,20.388025232263512,3.7837916193781673,3.7837916193781673,3.7837916193781673,0.0,0.0,0.33493134782120987,5.917949367213893,0.1726328231192924,3.905033420872044,0.05575705863334037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3025143146514893,46.27003479003906,45.35194778442383,46.336849212646484,47.158565521240234,1.0,0.018466131761670113,0.9470899701118469,1.1412163972854614,1.0,0.018466131761670113,0.0,0.0,4.3051605224609375,1.257483720779419,0.707912465930397,,1.0,1.0,,1.0,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,25.12211815086571,19.248132654138512,3.7366308263830237,3.7366308263830237,3.7366308263830237,0.0,0.0,0.335300316681733,5.75539171373522,0.17268299412082982,3.8640140842747046,0.05710034112672548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4703221321105957,43.30522537231445,41.293418884277344,43.529441833496094,44.99901580810547,1.0,0.061434417963027954,0.8792080283164978,1.529376745223999,1.0,0.061434417963027954,0.0,0.0,3.517151117324829,0.85125333070755,0.7579707830822409,,1.0,1.0,,1.0,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,24.292788943728887,18.56055512299409,3.791378949139569,3.791378949139569,3.791378949139569,0.0,0.0,0.33492923427272486,5.288191924224028,0.1720568424946553,3.3554229736328125,0.05491091753985431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7331390380859375,39.37089920043945,34.569393157958984,40.17959976196289,43.19069290161133,1.0,0.15633125603199005,0.7711431980133057,2.6278223991394043,1.0,0.15633125603199005,0.0,0.0,2.532109260559082,0.6096199154853821,0.75924422970959,,1.0,1.0,,1.0,,,,,,,0.0,0.0,,0.0,,,,,,250.39343762659766,375.2031712364185,0.6653301837825458,-120.27769753173158,250.39343735487404,322.56667813976554,387.207239849148,424.1947267887175,191.80846459524972,143.6682804314665,558.6030047872792,0.0357301802839915,0.25508252130934017,0.2964802328501735,0.2964802328501735,0.0,0.3594964859920936,0.26391200891308847,0.14432497287150656,0.0,0.0,0.0,0.0,0.0,1.3869499229965143,0.7196145249349603,0.763328569858195,0.8324905646550145,0.21961452493496025,-0.03667143014180507,-0.11750943534498548,0.0,0.0,0.5164835164835165,0.4835164835164835,1.0,2.33664015852488,2.1801865562632843,2.1608747443655036,-7.999755859375,0.00033548823557794094
