epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,weight_mean_band_0,weight_mean_band_1,weight_mean_band_2,weight_mean_band_3,weight_mean_band_4,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,scale_pi_band_0,scale_pi_band_1,scale_pi_band_2,scale_pi_band_3,scale_pi_band_4,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,spearman_rate_var_error_band_0,spearman_rate_var_error_band_1,spearman_rate_var_error_band_2,spearman_rate_var_error_band_3,spearman_rate_var_error_band_4,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.79626299883868,18.97736255542652,3.76085394781989,3.76085394781989,3.76085394781989,0.0,0.0,0.3329390963992557,4.232298979888091,0.17325677098454656,4.996911951013513,0.05682936874595848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46623158454895,49.98879623413086,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.004121093079447746,0.9669666290283203,1.011925458908081,1.0,0.004121093079447746,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.12668259079392,19.40579636032517,3.776864953943201,3.776864953943201,3.776864953943201,0.0,0.0,0.3331274599642367,4.016142561629012,0.1731723063700908,4.636744731181377,0.05912344520156448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.469360828399658,49.903770446777344,49.9067497253418,49.9067497253418,49.9067497253418,1.0,0.00394931947812438,0.9641968607902527,1.0096684694290161,1.0,0.00394931947812438,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0000001192092896,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,25.974056759396113,20.179969581397803,3.8159093083562077,3.8159093083562077,3.8159093083562077,0.0,0.0,0.3335186210838524,4.10192499934016,0.1730740263655379,4.732136082004857,0.054608177494358374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4741201400756836,49.72465896606445,49.71218490600586,49.71218490600586,49.80937194824219,1.0,0.0036181085743010044,0.9794890880584717,1.0117920637130737,1.0,0.0036181085743010044,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,23.91183224239865,18.17259917388091,3.8087929390572213,3.8087929390572213,3.8087929390572213,0.0,0.0,0.3329665725295608,3.962782163877745,0.1729142085925953,4.636211910763302,0.05373028806737951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.479879379272461,49.61314392089844,49.518367767333984,49.61518478393555,49.71218490600586,1.0,0.0034119372721761465,0.9816107153892517,1.0111268758773804,1.0,0.0034119372721761465,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,26.06899612014358,20.22357177734375,3.752129219673775,3.752129219673775,3.752129219673775,0.0,0.0,0.3339900712709169,4.233932907516892,0.17272670848949537,5.1673781936233105,0.057523205473616314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.483757495880127,49.36149215698242,49.22907257080078,49.3253173828125,49.421749114990234,1.0,0.004165667109191418,0.9819671511650085,1.012725830078125,1.0,0.004165667109191418,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,298.8809631263817,394.4567139773973,1.1015096831676596,86.12051412561438,298.8809609250268,391.9975614731429,463.7070820675707,511.67887713252134,347.4407697405134,268.7097096406212,376.1021164603855,0.1405654150351564,0.35495371729834013,0.22965265515146552,0.22965265515146552,0.0,0.0,0.0,0.0,0.34813538040714065,0.18887901472909918,0.17632822583190289,0.0,0.0,1.680029310396923,0.5959582692235523,0.7202499343265658,0.8373550493488948,0.09595826922355233,-0.07975006567343423,-0.11264495065110514,0.0,0.0,0.0,0.0,1.0,2.642990218741553,0.0,0.0,-8.000421524047852,0.00033526503830216825
6,6e-06,6e-05,0.05,25.74866547455659,20.007220294024492,3.7942591486750423,3.7942591486750423,3.7942591486750423,0.0,0.0,0.33369706128094645,4.056837339658995,0.1725076082590464,4.620235133815456,0.05534462026647619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4901204109191895,49.1860237121582,49.037147521972656,49.22907257080078,49.3253173828125,1.0,0.004896034952253103,0.9760816097259521,1.0161138772964478,1.0,0.004896034952253103,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,25.686038455447637,19.892485747466218,3.806602684227196,3.806602684227196,3.806602684227196,0.0,0.0,0.3335248328543998,4.095131126610008,0.17242639129226273,4.780801309121622,0.05551853051056733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4957659244537354,48.8539924621582,48.65553665161133,48.845970153808594,49.037147521972656,1.0,0.007684393785893917,0.954499363899231,1.0258257389068604,1.0,0.007684393785893917,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,25.087507918074323,19.334061906144427,3.781321757548564,3.781321757548564,3.781321757548564,0.0,0.0,0.33392759271570155,4.083171535182643,0.17211384386629672,4.717489706503378,0.055631624685751425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5090601444244385,48.49318313598633,48.18269729614258,48.56059646606445,48.75066375732422,1.0,0.010407298803329468,0.9502867460250854,1.0442863702774048,1.0,0.010407298803329468,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,23.79073849239865,17.959441313872468,3.7335831925675675,3.7335831925675675,3.7335831925675675,0.0,0.0,0.3343467970152159,4.213862651103252,0.17184223999848236,5.210555617873733,0.05695417120650008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.526559352874756,48.03837966918945,47.52843475341797,48.08868408203125,48.46584701538086,1.0,0.023807967081665993,0.9120428562164307,1.153161883354187,1.0,0.023807967081665993,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,23.42258102829392,17.672998376794762,3.79481671307538,3.79481671307538,3.79481671307538,0.0,0.0,0.3341996734206741,4.003408483556799,0.17157170579240127,4.711968086861275,0.05485632612898543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5672719478607178,47.3581657409668,46.24643325805664,47.52843475341797,48.371280670166016,1.0,0.05273221433162689,0.8578212857246399,1.3624459505081177,1.0,0.05273221433162689,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,298.8642984536978,394.45620954804906,1.1015252194617042,86.11405016301752,298.8642995530729,391.98258236013794,463.85175029841616,511.8342568927615,347.3976947239467,268.7132995960324,376.03266973080844,0.1401998573067849,0.34961408153427126,0.2081129032406544,0.2081129032406544,0.0,0.0,0.0,0.0,0.3154512433909596,0.1780406352011524,0.1920972426665984,0.0,0.0,1.6788667919760814,0.5978721807332908,0.7202499343265658,0.8380117836904717,0.09787218073329085,-0.07975006567343423,-0.11198821630952827,0.0,0.0,0.0,0.0,1.0,2.643620199227071,0.0,0.0,-8.000118255615234,0.0003353667270857841
11,1e-05,0.0001,0.3,22.764204695418073,17.10679832664696,3.7818958179370776,3.7818958179370776,3.7818958179370776,0.0,0.0,0.333649222915237,3.8523872994087838,0.17048099878672007,4.468262955949113,0.055026608544426994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5962166786193848,46.94688415527344,44.561710357666016,47.43569564819336,48.65553665161133,1.0,0.05358008295297623,0.781541109085083,1.376331090927124,1.0,0.05358008295297623,0.0,0.0,0.0,0.0,0.0,,,,,,1.0000001192092896,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9.999976083776368e-06,9.999976083776368e-05,0.35,20.39304661106419,14.962900522592905,3.7371178704339103,3.7371178704339103,3.7371178704339103,0.0,0.0,0.3333995664441908,3.56089617754962,0.16773250940683726,3.84348235259185,0.05735579052486935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.694899797439575,45.700252532958984,39.3255729675293,46.974708557128906,49.133018493652344,1.0,0.1281973123550415,0.6462071537971497,2.453584671020508,1.0,0.1281973123550415,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9.999904335346307e-06,9.999904335346306e-05,0.4,20.17585713154561,14.914742134712839,3.732812005120355,3.732812005120355,3.732812005120355,0.0,0.0,0.33357086697140254,3.263613726641681,0.1651363501677642,3.3203256967905403,0.05643085531286291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1763722896575928,43.329078674316406,34.569393157958984,44.73611831665039,49.9067497253418,1.0,0.2817409932613373,0.44539669156074524,3.4629714488983154,1.0,0.2817409932613373,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9.99978475543232e-06,9.99978475543232e-05,0.45,19.323144861169762,14.183524466849661,3.7571407008815454,3.7571407008815454,3.7571407008815454,0.0,0.0,0.33313297581028295,2.9663077689505912,0.16036988593436577,2.891317419103674,0.05669879913330078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26723051071167,44.1483154296875,30.776710510253906,47.250762939453125,51.59162521362305,1.0,0.3704804480075836,0.30459609627723694,3.2545652389526367,1.0,0.3704804480075836,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,9.999617345238583e-06,9.999617345238582e-05,0.5,18.36859955658784,13.301726470122466,3.7514264905774914,3.7514264905774914,3.7514264905774914,0.0,0.0,0.3330101837983003,2.7722299936655403,0.15922444575541728,2.755661629341744,0.05487316363566631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.109606981277466,46.49834060668945,35.320133209228516,49.71218490600586,54.491615295410156,1.0,0.2875979244709015,0.33948203921318054,3.9533212184906006,1.0,0.2875979244709015,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,297.615808067741,393.07028379435775,1.0953051594552998,84.3143136370313,297.61580952142805,390.7950193193945,462.6093805972853,510.5885984773499,345.6228457859584,266.922621379527,376.3847606493079,0.1441823808996566,0.4084455094157604,0.2332711097861254,0.2332711097861254,0.0,0.0,0.0,0.0,0.4025598462113642,0.26290401893237214,0.16996840269744207,0.0,0.0,1.673273679705969,0.5962584906368447,0.7202499343265658,0.8376927984388487,0.09625849063684466,-0.07975006567343423,-0.11230720156115126,0.0,0.0,0.0,0.0,1.0,2.639170019508718,0.0,0.0,-7.998968124389648,0.00033575258566997945
16,9.999402106450908e-06,9.999402106450908e-05,0.55,17.068458350929053,12.077327418971706,3.7189821810335726,3.7189821810335726,3.7189821810335726,0.0,0.0,0.3329889709885056,2.6493583885399072,0.1589048230970228,2.656187933844489,0.057307391553311736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.062058448791504,45.37406539916992,24.850818634033203,48.65553665161133,57.2183723449707,1.0,0.3097701072692871,0.3881223499774933,3.3854148387908936,1.0,0.3097701072692871,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9.999139041236748e-06,9.999139041236749e-05,0.6,16.46083027607686,11.54330774255701,3.7093188311602616,3.7093188311602616,3.7093188311602616,0.0,0.0,0.33062826620565877,2.4654947229333826,0.15557210509841507,2.5373331018396326,0.053529826370445455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7394962310791016,48.60149002075195,28.996858596801758,53.5421257019043,60.90863800048828,1.0000247955322266,0.313583105802536,0.25,3.309560537338257,1.0000247955322266,0.313583105802536,0.00099601593625498,0.0,0.0,0.0,0.0,,,,,,1.0000401735305786,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,9.99882815224517e-06,9.998828152245169e-05,0.65,17.18097088788007,12.25977882179054,3.716840176968961,3.716840176968961,3.716840176968961,0.0,0.0,0.33378985121443466,2.3955587438634924,0.1560467256082071,2.5663825370169975,0.05893242681348646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4901182651519775,45.29010009765625,18.32384490966797,51.49095916748047,64.08153533935547,1.0000072717666626,0.33726340532302856,0.25,3.3865420818328857,1.0000072717666626,0.33726340532302856,0.000747011952191235,0.0,0.0,0.0,0.0,,,,,,1.0000118017196655,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,9.99846944260682e-06,9.998469442606819e-05,0.7,16.052528175147803,11.196027601087415,3.6995824865392737,3.6995824865392737,3.6995824865392737,0.0,0.0,0.33082382099048513,2.291736293483425,0.15773012831404404,2.449761674210832,0.05486421327333193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.588097333908081,50.90959548950195,21.173160552978516,56.995296478271484,66.6342544555664,1.0,0.3156130909919739,0.33570531010627747,3.600149393081665,1.0,0.3156130909919739,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
