epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,weight_mean_band_0,weight_mean_band_1,weight_mean_band_2,weight_mean_band_3,weight_mean_band_4,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,scale_pi_band_0,scale_pi_band_1,scale_pi_band_2,scale_pi_band_3,scale_pi_band_4,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,spearman_rate_var_error_band_0,spearman_rate_var_error_band_1,spearman_rate_var_error_band_2,spearman_rate_var_error_band_3,spearman_rate_var_error_band_4,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.79626299883868,18.97736255542652,3.76085394781989,3.76085394781989,3.76085394781989,0.0,0.0,0.3329390963992557,4.232298979888091,0.17325677098454656,4.996911951013513,0.05682936874595848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46623158454895,49.98879623413086,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.004121093079447746,0.9669666290283203,1.011925458908081,1.0,0.004121093079447746,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.12668259079392,19.40579636032517,3.776864953943201,3.776864953943201,3.776864953943201,0.0,0.0,0.3331274599642367,4.016142561629012,0.1731723063700908,4.636744731181377,0.05912344520156448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.469360828399658,49.903770446777344,49.9067497253418,49.9067497253418,49.9067497253418,1.0,0.00394931947812438,0.9641968607902527,1.0096684694290161,1.0,0.00394931947812438,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0000001192092896,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,25.974056759396113,20.179969581397803,3.8159093083562077,3.8159093083562077,3.8159093083562077,0.0,0.0,0.3335186210838524,4.10192499934016,0.1730740263655379,4.732136082004857,0.054608177494358374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4741201400756836,49.72465896606445,49.71218490600586,49.71218490600586,49.80937194824219,1.0,0.0036181085743010044,0.9794890880584717,1.0117920637130737,1.0,0.0036181085743010044,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,23.91183224239865,18.17259917388091,3.8087929390572213,3.8087929390572213,3.8087929390572213,0.0,0.0,0.3329665725295608,3.962782163877745,0.1729142085925953,4.636211910763302,0.05373028806737951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.479879379272461,49.61314392089844,49.518367767333984,49.61518478393555,49.71218490600586,1.0,0.0034119372721761465,0.9816107153892517,1.0111268758773804,1.0,0.0034119372721761465,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,26.06899612014358,20.22357177734375,3.752129219673775,3.752129219673775,3.752129219673775,0.0,0.0,0.3339900712709169,4.233932907516892,0.17272670848949537,5.1673781936233105,0.057523205473616314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.483757495880127,49.36149215698242,49.22907257080078,49.3253173828125,49.421749114990234,1.0,0.004165667109191418,0.9819671511650085,1.012725830078125,1.0,0.004165667109191418,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,,,0.5,0.5,0.0,,,254.0781671293489,367.3245684946278,0.7522350472441517,-67.59962266356081,254.07816765908726,325.39192158145994,396.7778123838542,437.67395195912343,230.6892967224121,168.17586348777593,498.53728153394616,0.1405654150351564,0.35495371729834013,0.22965265515146552,0.22965265515146552,0.0,0.0,0.0,0.0,0.34813538040714065,0.18887901472909918,0.17632822583190289,0.0,0.0,1.680029310396923,0.5959582692235523,0.7202499343265658,0.8373550493488948,0.09595826922355233,-0.07975006567343423,-0.11264495065110514,0.0,0.0,0.554945054945055,0.44505494505494503,1.0,2.642990218741553,2.5557325099195753,2.485970248560329,-8.000421524047852,0.00033526503830216825
6,6e-06,6e-05,0.05,25.991382495777028,20.25366375897382,3.7904052734375,3.7904052734375,3.7904052734375,0.0,0.0,0.33421348881077123,4.057003536739865,0.1724991411776156,4.619309296479097,0.055393283431594435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.492924690246582,49.16923904418945,49.037147521972656,49.22907257080078,49.3253173828125,1.0,0.004960301797837019,0.9753028154373169,1.0170576572418213,1.0,0.004960301797837019,0.0,0.0,2.310805320739746,1.386566400527954,0.39996399173770303,,,,,,1.0,1.0,1.0,,,,,,,,0.5038399696350098,0.496160089969635,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,26.17513790646115,20.390120222761823,3.800758155616554,3.800758155616554,3.800758155616554,0.0,0.0,0.3342799882631044,4.094621812975085,0.17238163303684545,4.76577800029033,0.05560258916906408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.529670238494873,48.71449661254883,48.46584701538086,48.75066375732422,48.94146728515625,1.0,0.008275448344647884,0.9610196948051453,1.037833333015442,1.0,0.008275448344647884,0.0,0.0,2.2252042293548584,0.9493086338043213,0.573383592714297,,,,,,1.0,1.0,1.0,,,,,,,,0.5126482844352722,0.4873517155647278,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,25.938921954180742,20.203779890730573,3.7745138632284627,3.7745138632284627,3.7745138632284627,0.0,0.0,0.33472063734724716,4.080858797640414,0.17200516365669868,4.660096039643159,0.05574392628025364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.580477714538574,48.01063919067383,47.52843475341797,48.08868408203125,48.46584701538086,1.0,0.013798927888274193,0.9502755999565125,1.089178442955017,1.0,0.013798927888274193,0.0,0.0,2.035665988922119,0.7506125569343567,0.6312692941675543,,,,,,1.0,1.0,1.0,,,,,,,,0.5255249738693237,0.47447508573532104,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,24.59703930004223,18.829985747466218,3.7270375844594597,3.7270375844594597,3.7270375844594597,0.0,0.0,0.33499328510181325,4.152453448321368,0.1713176933494774,4.9818585370038,0.05706421104637352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.717357635498047,46.23965072631836,44.561710357666016,46.42744064331055,47.90120315551758,1.0,0.062245968729257584,0.8484335541725159,1.486793041229248,1.0,0.062245968729257584,0.0,0.0,1.6716904640197754,0.645025372505188,0.6141478423259358,,,,,,1.0,1.0,1.0,,,,,,,,0.5417602062225342,0.4582398235797882,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,23.695403227934968,18.10926777607686,3.7814673346442147,3.7814673346442147,3.7814673346442147,0.0,0.0,0.33454067642624313,3.8076019287109375,0.16977654276667414,4.157306568042652,0.05487345360420846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.909670352935791,44.169002532958984,39.4024543762207,45.08699035644531,48.27689743041992,1.0,0.14579425752162933,0.6880505084991455,2.2184975147247314,1.0,0.14579425752162933,0.0,0.0,1.4270801544189453,0.5539813041687012,0.6118078564449927,,,,,,1.0,1.0,1.0,,,,,,,,0.549523115158081,0.45047688484191895,0.0,,,254.40966130350972,367.1605373804058,0.756729977095464,-65.12300684163858,254.40966096565455,325.94297541935777,397.6011959869524,438.650661746474,232.50687898908342,169.51744277717532,495.8100018708602,0.1404452798531588,0.3754159648686002,0.20080656649108722,0.20080656649108722,0.0,0.0,0.0,0.0,0.3251765856429691,0.18471123875355316,0.13674812026224176,0.0,0.0,1.677677818879382,0.5984913873982062,0.7202499343265658,0.8381431305587871,0.09849138739820618,-0.07975006567343423,-0.11185686944121287,0.0,0.0,0.5604395604395604,0.43956043956043955,1.0,2.6455746463366916,2.558060498683007,2.4883560682391073,-7.999842643737793,0.0003354591317474842
11,1e-05,0.0001,0.3,22.902447674725508,17.48120612067145,3.764458321236275,3.764458321236275,3.764458321236275,0.0,0.0,0.3337664217562289,3.5236663818359375,0.16708413974658862,3.7048776987436653,0.05496654639372955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8799984455108643,44.1767692565918,36.441314697265625,45.52945327758789,49.71218490600586,1.0,0.12058296799659729,0.6927114129066467,2.20512318611145,1.0,0.12058296799659729,0.0,0.0,1.2346704006195068,0.4550839960575104,0.6314125649815789,,,,,,1.0,1.0,1.0,,,,,,,,0.5452710390090942,0.4547289311885834,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9.999976083776368e-06,9.999976083776368e-05,0.35,20.559484533361488,15.341453758445946,3.7159568168021537,3.7159568168021537,3.7159568168021537,0.0,0.0,0.33353465312236064,3.248772904679582,0.16403243348405167,3.2025581566063135,0.057278929529963316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.895379066467285,43.867576599121094,31.784677505493164,45.88654327392578,51.19013595581055,1.0,0.17541660368442535,0.5368334054946899,2.975541353225708,1.0,0.17541660368442535,0.0,0.0,1.4712607860565186,0.5296473503112793,0.6400044401843162,,,,,,1.0,1.0,1.0,,,,,,,,0.543165922164917,0.456834077835083,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9.999904335346307e-06,9.999904335346306e-05,0.4,20.48967021220439,15.331932274070946,3.711848903346706,3.711848903346706,3.711848903346706,0.0,0.0,0.33348403105864655,3.102392042005384,0.16426558107943148,3.0704434369061446,0.05630562756512616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.071540355682373,42.88071823120117,32.1907844543457,43.27513122558594,52.301822662353516,1.0,0.24226954579353333,0.4460746645927429,2.949103355407715,1.0,0.24226954579353333,0.0,0.0,2.068809986114502,0.6572391986846924,0.6823105055099457,,,,,,1.0,1.0,1.0000001192092896,,,,,,,,0.5526663064956665,0.4473336935043335,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9.99978475543232e-06,9.99978475543232e-05,0.45,19.60394452069257,14.49237720386402,3.7295969370249153,3.7295969370249153,3.7295969370249153,0.0,0.0,0.33290821797138936,2.912694776380384,0.16074684503916148,2.9429517178922087,0.05661976015245592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.852532386779785,45.26282501220703,31.971464157104492,47.52843475341797,55.026371002197266,1.0,0.2826697528362274,0.2947744131088257,2.4605987071990967,1.0,0.2826697528362274,0.0,0.0,1.9977376461029053,0.7036111354827881,0.6477960272434369,,,,,,1.0,1.0,1.0,,,,,,,,0.5468020439147949,0.45319801568984985,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,9.999617345238583e-06,9.999617345238582e-05,0.5,18.91164748733108,13.813064987595016,3.732924177839949,3.732924177839949,3.732924177839949,0.0,0.0,0.3331456828761745,2.7765420449746623,0.1609440365353146,3.001452059359164,0.05478650814778096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.500065326690674,48.55424499511719,36.72712707519531,50.593753814697266,57.44231414794922,1.0,0.23866893351078033,0.41184377670288086,2.7376949787139893,1.0,0.23866893351078033,0.0,0.0,1.7273576259613037,0.5750341415405273,0.6671018595697511,,,,,,1.0,1.0,1.0,,,,,,,,0.5396381616592407,0.4603618383407593,0.0,,,254.33069717491065,366.76458371233247,0.7583628313117899,-63.73068662790152,254.3306984939551,325.5397474201157,397.29743820402297,438.48854600445077,233.302734375,170.02851320606794,493.94325090491253,0.14443970770326947,0.41309110065134436,0.21296272969072674,0.21296272969072674,0.0,0.0,0.0,0.0,0.39405541519002124,0.25774161512946275,0.1221263348562487,0.0,0.0,1.670548778519139,0.5979472360866139,0.7202499343265658,0.8379930198521409,0.09794723608661393,-0.07975006567343423,-0.11200698014785904,0.0,0.0,0.5659340659340659,0.4340659340659341,1.0,2.6473174746874926,2.559429624250957,2.489683720764223,-7.998727798461914,0.000335833290591836
16,9.999402106450908e-06,9.999402106450908e-05,0.55,17.795895138302363,12.774521286423141,3.6960572938661316,3.6960572938661316,3.6960572938661316,0.0,0.0,0.33311511374808644,2.683003193623311,0.16134358741141655,2.88693567224451,0.05727791141819309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.676675796508789,46.81019592285156,31.414377212524414,47.11255645751953,59.26573181152344,1.0,0.24752753973007202,0.35346847772598267,2.538017749786377,1.0,0.24752753973007202,0.0,0.0,1.6479045152664185,0.49348244071006775,0.7005394207380481,,,,,,0.9999998807907104,1.0,1.0,,,,,,,,0.5462551116943359,0.4537448287010193,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9.999139041236748e-06,9.999139041236749e-05,0.6,17.220190099767738,12.273852374102619,3.6948984506967903,3.6948984506967903,3.6948984506967903,0.0,0.0,0.33060037767564926,2.548547074601457,0.15973878551173853,2.6684060998865076,0.053549843865471916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5386502742767334,49.766143798828125,32.602046966552734,53.12546157836914,62.10995101928711,1.0,0.2766268849372864,0.2763323187828064,2.793299436569214,1.0,0.2766268849372864,0.0,0.0,1.3474925756454468,0.4137684106826782,0.6929345525451346,,,,,,1.0,1.0,1.0,,,,,,,,0.545173704624176,0.4548262655735016,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,9.99882815224517e-06,9.998828152245169e-05,0.65,17.978837296769427,13.01603162610853,3.699710330447635,3.699710330447635,3.699710330447635,0.0,0.0,0.33376850952973236,2.5118453567092485,0.15857696533203125,2.7424023602459884,0.059006613654059334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8135569095611572,47.55650329589844,27.831594467163086,49.3253173828125,65.34542846679688,1.0001211166381836,0.3212296664714813,0.25,2.802868127822876,1.0001211166381836,0.3212296664714813,0.0017430278884462151,0.0,2.946234703063965,0.8275735974311829,0.7191080545719797,,,,,,1.0001962184906006,1.0,1.0,,,,,,,,0.5582011938095093,0.4417988061904907,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
