epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,weight_mean_band_0,weight_mean_band_1,weight_mean_band_2,weight_mean_band_3,weight_mean_band_4,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,scale_pi_band_0,scale_pi_band_1,scale_pi_band_2,scale_pi_band_3,scale_pi_band_4,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,spearman_rate_var_error_band_0,spearman_rate_var_error_band_1,spearman_rate_var_error_band_2,spearman_rate_var_error_band_3,spearman_rate_var_error_band_4,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.94805248363598,18.97737740181588,3.7608531230204814,3.7608531230204814,3.7608531230204814,0.0,0.0,0.24450644931277712,5.951245694547086,0.17327241639833194,4.097551500475085,0.05682933652723158,0.00027682959429315617,0.0,0.6405152501286687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127410411834717,49.95967102050781,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.0074799093417823315,0.940604031085968,1.0167829990386963,0.33180463314056396,0.0028518596664071083,0.0,0.0,0.0,0.0,0.0,,0.3316043019294739,0.3315642774105072,,0.336837500333786,,,,,,,0.3316071033477783,0.33156925439834595,,0.33682364225387573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.36650126689189,19.405778214738177,3.7768645415434965,3.7768645415434965,3.7768645415434965,0.0,0.0,0.2446081573898728,5.892329860377956,0.1732327615892565,4.022401139542863,0.059123528970254434,0.0002750954213174614,0.0,0.6334518226417335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1332671642303467,49.76804733276367,49.71218490600586,49.80937194824219,49.80937194824219,0.9999998807907104,0.005748818162828684,0.9410046339035034,1.0131860971450806,0.3290819823741913,0.00368414050899446,0.0,0.0,0.0,0.0,0.0,,0.32851338386535645,0.328469842672348,,0.34304434061050415,,,,,,,0.32852470874786377,0.32848668098449707,,0.3429885804653168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,26.172556284311657,20.17997947899071,3.8158866263724662,3.8158866263724662,3.8158866263724662,0.0,0.0,0.2447073137437975,5.932505014780405,0.17316474141301336,3.9604842727248735,0.05460804861945075,0.00027442328329827333,0.0,0.62163157076449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418280601501465,49.65011978149414,49.61518478393555,49.61518478393555,49.71218490600586,1.0,0.00539226271212101,0.9556359052658081,1.0157123804092407,0.3240985572338104,0.006627651397138834,0.0,0.0,0.0,0.0,0.0,,0.32264238595962524,0.3239315450191498,,0.35342445969581604,,,,,,,0.3226674795150757,0.32396337389945984,,0.3533691465854645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,24.08667652027027,18.17061965529983,3.8087405642947636,3.8087405642947636,3.8087405642947636,0.0,0.0,0.24455838590054899,5.672767432960304,0.17310134784595385,3.879479897988809,0.05373013341749037,0.00027280361265749544,0.0,0.6074543514767209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1519787311553955,49.47720718383789,49.3253173828125,49.518367767333984,49.61518478393555,1.0,0.0042623793706297874,0.9563888311386108,1.0127583742141724,0.3181692659854889,0.010292934253811836,0.0,0.0,0.0,0.0,0.0,,0.31535619497299194,0.32005229592323303,,0.3646930754184723,,,,,,,0.31537818908691406,0.32008683681488037,,0.3645349442958832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,26.24614818676098,20.223235259184968,3.7521514892578125,3.7521514892578125,3.7521514892578125,0.0,0.0,0.24448567467766838,6.148300583298142,0.17300400862822662,4.214103904930321,0.05752346966717694,0.0002641866134630667,0.0,0.5987963289827913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1640143394470215,49.08442306518555,48.845970153808594,49.133018493652344,49.22907257080078,1.0,0.004366486333310604,0.9742238521575928,1.0202243328094482,0.30675196647644043,0.017422467470169067,0.0,0.0,0.0,0.0,0.0,,0.30168917775154114,0.31078240275382996,,0.3875376880168915,,,,,,,0.30174416303634644,0.3108264207839966,,0.387429416179657,,,,,,250.59514129554833,373.8426520066047,0.6761198295675521,-113.47538679772681,250.5951416322061,323.39919559665395,388.81201678645255,426.3148186015959,197.32177080426897,146.46765524102736,550.711647697117,0.03716149835652543,0.2470315397269084,0.24650642499190734,0.29053460622681826,0.0,0.33045634435935245,0.2895676650192977,0.1689146200253917,0.0,0.0,0.0,0.0,0.0,1.3909100005085564,0.7364515774431131,0.7827672126342018,0.8314096222197794,0.23645157744311307,-0.017232787365798252,-0.11859037778022052,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.3341412370676524,2.2757999831503564,2.2328413977072787,-8.000423431396484,0.0003352643980178982
6,6e-06,6e-05,0.05,26.277992042335303,20.2787525073902,3.795257568359375,3.795257568359375,3.795257568359375,0.0,0.0,0.24522897359487172,6.008721016548775,0.1728829306525153,4.024571186787373,0.05539694992271629,0.00023866505236239046,0.0,0.5937406694566881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1908116340637207,48.59435272216797,48.27689743041992,48.65553665161133,48.845970153808594,1.0,0.004957277327775955,0.9655088782310486,1.0271393060684204,0.31980687379837036,0.013671881519258022,0.0,0.0,1.6123673915863037,0.9449512958526611,0.4139354958530978,,0.32081368565559387,0.3032682240009308,,0.3760032653808594,,,,,,,0.3208434581756592,0.3033754229545593,,0.3757810890674591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,26.38059543918919,20.39806304106841,3.8087108715160474,3.8087108715160474,3.8087108715160474,0.0,0.0,0.2455247672828468,5.914897609401393,0.17267720763747757,3.961561873152449,0.05562648902068267,0.00022914912551641464,0.0,0.6130100971943623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.225938320159912,47.78755569458008,47.250762939453125,47.90120315551758,48.18269729614258,1.0000001192092896,0.009819962084293365,0.9562257528305054,1.06975257396698,0.3448476791381836,0.029574360698461533,0.0,0.0,1.5687264204025269,0.6472694277763367,0.5873917724862115,,0.35795265436172485,0.2865533232688904,,0.35550904273986816,,,,,,,0.3578622341156006,0.2866817116737366,,0.35545605421066284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,26.07754104201858,20.129417625633447,3.7845768284153296,3.7845768284153296,3.7845768284153296,0.0,0.0,0.24565274006611593,5.912756842535895,0.1725822912680136,3.8996495427312077,0.05574998984465728,0.0002297615833781861,0.0,0.6613964390110325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.291893243789673,46.50637435913086,45.618465423583984,46.60914993286133,47.250762939453125,1.0,0.021816590800881386,0.9451347589492798,1.1934956312179565,0.3811318874359131,0.07118414342403412,0.0,0.0,1.4592300653457642,0.5275349020957947,0.6384840782657563,,0.4127308428287506,0.2573384940624237,,0.3298448324203491,,,,,,,0.4122849702835083,0.2578081786632538,,0.3299068212509155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,24.48080196896115,18.596973316089528,3.7390870790223816,3.7390870790223816,3.7390870790223816,0.0,0.0,0.2456830256694072,5.793571265968117,0.17231946378140836,3.901968053869299,0.0570531922417718,0.00023909655676500216,0.0,0.7399894095755912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.429953098297119,44.37324523925781,42.4381103515625,44.73611831665039,45.88654327392578,0.9999998807907104,0.07406793534755707,0.8981776237487793,1.8807865381240845,0.45104050636291504,0.14128151535987854,0.0,0.0,1.2244436740875244,0.5361419320106506,0.5621342628029072,,0.5169661641120911,0.20751704275608063,,0.27631136775016785,,,,,,,0.5155439376831055,0.20800632238388062,,0.2764497399330139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,23.72226859427787,17.900677655194258,3.801867098421664,3.801867098421664,3.801867098421664,0.0,0.0,0.24545736570616025,5.4917573671083195,0.17184012644999735,3.5600944725242822,0.05489314569009317,0.0002677723312297383,0.0,0.8391859209215319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5938034057617188,41.55532455444336,36.870872497558594,42.521080017089844,44.823577880859375,1.0,0.15090639889240265,0.7899137139320374,2.135960102081299,0.4520416259765625,0.19715531170368195,0.0,0.0,0.9822027683258057,0.38743188977241516,0.6055479558128262,,0.5203572511672974,0.19668181240558624,,0.2847904562950134,,,,,,,0.5157475471496582,0.1986672282218933,,0.2855852544307709,,,,,,250.5490305554736,373.5113696935021,0.6778732031841048,-112.16244745778513,250.54902966690742,323.63405180995557,389.24088920820276,426.8352134667531,198.19940403529577,146.92794202464495,549.1048524276069,0.035798951570060876,0.26096771280576275,0.1922208361668136,0.29906140209205834,0.0,0.36444921242146405,0.2666438616686535,0.12811194732302558,0.0,0.0,0.0,0.0,0.0,1.3868858948432523,0.719596203876736,0.7647392913414679,0.8323806383056686,0.21959620387673595,-0.03526070865853215,-0.1176193616943314,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,2.3357874561142133,2.2774664491087524,2.2343400831405935,-7.999908924102783,0.0003354369255248457
