epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,weight_mean_band_0,weight_mean_band_1,weight_mean_band_2,weight_mean_band_3,weight_mean_band_4,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,scale_pi_band_0,scale_pi_band_1,scale_pi_band_2,scale_pi_band_3,scale_pi_band_4,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,spearman_rate_var_error_band_0,spearman_rate_var_error_band_1,spearman_rate_var_error_band_2,spearman_rate_var_error_band_3,spearman_rate_var_error_band_4,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.800756506017738,18.977365854624157,3.7608543602195947,3.7608543602195947,3.7608543602195947,0.0,0.0,0.013980127669669487,5.951244869747677,0.17327242928582268,4.097555212072424,0.05682936874595848,0.00027682566763581455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1273908615112305,49.96010971069336,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.00748096127063036,0.9370366334915161,1.0167911052703857,1.0,0.00748096127063036,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,1.0,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.21941973711993,19.405791411528718,3.7768637167440877,3.7768637167440877,3.7768637167440877,0.0,0.0,0.013734134467872413,5.892421000712627,0.17323283891420108,4.022439492715372,0.059123464532800624,0.00027508303724430705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1332733631134033,49.768009185791016,49.71218490600586,49.80937194824219,49.80937194824219,0.9999998807907104,0.005753189790993929,0.9410157203674316,1.0131943225860596,0.9999998807907104,0.005753189790993929,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,1.0,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,26.025977882179053,20.17998607738598,3.81590765875739,3.81590765875739,3.81590765875739,0.0,0.0,0.013614292080337936,5.932574710330448,0.17316476718799487,3.96052056389886,0.054608177494358374,0.00027444296692674225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418774127960205,49.65018081665039,49.61518478393555,49.61518478393555,49.71218490600586,1.0,0.005375939887017012,0.9592030048370361,1.0117828845977783,1.0,0.005375939887017012,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,1.0,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,23.94260055954392,18.17254473711993,3.808783866263725,3.808783866263725,3.808783866263725,0.0,0.0,0.01320727209787111,5.672837953309755,0.17309968535964554,3.879397418047931,0.053730429829777895,0.0002731153288403073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1523990631103516,49.47380447387695,49.3253173828125,49.518367767333984,49.61518478393555,1.0,0.004231882281601429,0.9599387049674988,1.0126596689224243,1.0,0.004231882281601429,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,1.0,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,26.10046881598395,20.22275192673142,3.7521585000527873,3.7521585000527873,3.7521585000527873,0.0,0.0,0.013890387238682928,6.14842347841005,0.17300369932844833,4.214129061312289,0.05752295416754645,0.0002645681033263335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16379451751709,49.09363555908203,48.845970153808594,49.133018493652344,49.22907257080078,1.0000001192092896,0.004327729344367981,0.974403977394104,1.0203574895858765,1.0000001192092896,0.004327729344367981,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,1.0,,,,,,,0.0,0.0,,0.0,,,,,,250.30323439378006,376.04325722076044,0.659284694118463,-124.16205320253476,250.30323365333155,321.7912476287268,385.90958871635956,422.60947102389366,188.55756487165178,142.20122143649314,562.8549595708432,0.03714289245980047,0.24652617859590817,0.28951719482292765,0.28951719482292765,0.0,0.3295652023912653,0.28760616581972537,0.16607454556935056,0.0,0.0,0.0,0.0,0.0,1.3909287031713062,0.7364515774431131,0.7827305705177531,0.8313546590451064,0.23645157744311307,-0.017269429482246967,-0.11864534095489354,0.0,0.0,0.5164835164835165,0.4835164835164835,1.0,2.334070311797844,2.1862616519351583,2.163313695362636,-8.000414848327637,0.0003352673084009439
6,6e-06,6e-05,0.05,26.10483695365287,20.25066973711993,3.7953821130701013,3.7953821130701013,3.7953821130701013,0.0,0.0,0.013638642994133202,6.0093276565139355,0.17288835628612623,4.025410007786107,0.05539164027652225,0.0002398429237104751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1902575492858887,48.606990814208984,48.371280670166016,48.65553665161133,48.845970153808594,1.0,0.00488604512065649,0.9658194184303284,1.027369737625122,1.0,0.00488604512065649,0.0,0.0,4.871198654174805,2.936098098754883,0.39725346732912775,,1.0,1.0,,1.0,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,26.24975420977618,20.412513526710303,3.80903130608636,3.80903130608636,3.80903130608636,0.0,0.0,0.013697406730136356,5.917334066854941,0.17269468307495117,3.963891106682855,0.05562246167981947,0.00022985675447695963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2263991832733154,47.752559661865234,47.250762939453125,47.807735443115234,48.18269729614258,1.0,0.009541299194097519,0.9553248286247253,1.0772958993911743,1.0,0.009541299194097519,0.0,0.0,4.736209392547607,1.8958227634429932,0.5997172831028,,1.0,1.0,,0.9999998807907104,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,26.18370757231841,20.382137814083613,3.78484447582348,3.78484447582348,3.78484447582348,0.0,0.0,0.014173061461062045,5.917524183118665,0.17262991054638013,3.9047624742662586,0.05576639562039762,0.00022806408437522682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3020918369293213,46.252716064453125,45.26345443725586,46.336849212646484,47.158565521240234,1.0,0.018338065594434738,0.9471402764320374,1.1358975172042847,1.0,0.018338065594434738,0.0,0.0,4.2848920822143555,1.255964756011963,0.7068853236175547,,1.0,1.0,,1.0,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,24.984386547191722,19.26687869510135,3.7375917176942566,3.7375917176942566,3.7375917176942566,0.0,0.0,0.014252414574494233,5.760982204127956,0.17266258033546242,3.873671248152449,0.05711367967966441,0.00023080806273060876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.453160285949707,43.51118850708008,41.53608322143555,43.69981002807617,45.08699035644531,0.9999998807907104,0.05804915726184845,0.890103816986084,1.4838573932647705,0.9999998807907104,0.05804915726184845,0.0,0.0,3.538635015487671,0.8564324378967285,0.7579766112785439,,1.0,1.0,,1.0,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,24.187976734058278,18.610069481102197,3.7929464804159627,3.7929464804159627,3.7929464804159627,0.0,0.0,0.013466967924221142,5.298105188318201,0.17208694767307592,3.369458378972234,0.05492767772159061,0.0002575738204492105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7272791862487793,39.29225540161133,34.3607292175293,40.101200103759766,43.19069290161133,1.0,0.1608627438545227,0.7680749893188477,2.6801517009735107,1.0,0.1608627438545227,0.0,0.0,2.5523810386657715,0.6210027933120728,0.7566966750243941,,1.0000001192092896,1.0,,1.0,,,,,,,0.0,0.0,,0.0,,,,,,250.3306482755221,375.77273119532316,0.6612834492966851,-122.84266608101981,250.3306474082858,322.1171220348552,386.3740937812079,423.16736441343267,189.41094861711775,142.72962691432747,561.3517276929772,0.035692744717849736,0.254326407236057,0.29533450474537376,0.29533450474537376,0.0,0.35841343586543567,0.26373963189888294,0.1387456573916111,0.0,0.0,0.0,0.0,0.0,1.386962206976928,0.719596203876736,0.7632919277417464,0.8324905646550145,0.21959620387673595,-0.03670807225825368,-0.11750943534498548,0.0,0.0,0.5164835164835165,0.4835164835164835,1.0,2.3365996263839386,2.1888440474049076,2.165258843820174,-7.999810218811035,0.000335470016580075
