epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,weight_mean_band_0,weight_mean_band_1,weight_mean_band_2,weight_mean_band_3,weight_mean_band_4,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,scale_pi_band_0,scale_pi_band_1,scale_pi_band_2,scale_pi_band_3,scale_pi_band_4,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,spearman_rate_var_error_band_0,spearman_rate_var_error_band_1,spearman_rate_var_error_band_2,spearman_rate_var_error_band_3,spearman_rate_var_error_band_4,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,23.995859506967907,18.977346059438343,3.7608522982210726,3.7608522982210726,3.7608522982210726,0.0,0.0,0.013980129280605831,5.95097186114337,0.0,0.0,0.056829310752250055,0.00027682219405432006,0.0,0.6404160164497994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.139357089996338,49.95966339111328,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.0039254650473594666,0.979498565196991,1.013905644416809,0.33176174759864807,0.0017474989872425795,0.0,0.0,0.0,0.0,0.0,,0.3315572440624237,0.3315071761608124,,0.336942583322525,,,,,,,0.3315608501434326,0.33151373267173767,,0.3369254171848297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,24.42926685230152,19.405656144425677,3.7768678407411316,3.7768678407411316,3.7768678407411316,0.0,0.0,0.013734129635063378,5.893109295819257,0.0,0.0,0.05912326477669381,0.0002750952199504182,0.0,0.6330781885095544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.139120101928711,49.76182174682617,49.71218490600586,49.80937194824219,49.80937194824219,1.0,0.0037615210749208927,0.9796144962310791,1.0103721618652344,0.32893285155296326,0.0032963675912469625,0.0,0.0,0.0,0.0,0.0,,0.32834357023239136,0.3283015489578247,,0.3433893620967865,,,,,,,0.32835710048675537,0.32832518219947815,,0.34331774711608887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,25.24740353146115,20.17975513355152,3.8159121951541386,3.8159121951541386,3.8159121951541386,0.0,0.0,0.013614290469401592,5.932726885821368,0.0,0.0,0.05460828703802985,0.0002744417587244833,0.0,0.6207847079715213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418569087982178,49.63253402709961,49.518367767333984,49.61518478393555,49.71218490600586,1.0,0.004388857167214155,0.9755964279174805,1.01140296459198,0.3238068222999573,0.006494170520454645,0.0,0.0,0.0,0.0,0.0,,0.32228901982307434,0.32371020317077637,,0.3540180027484894,,,,,,,0.32231801748275757,0.32374846935272217,,0.35393351316452026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,23.179961333403718,18.17285816089527,3.808772731471706,3.808772731471706,3.808772731471706,0.0,0.0,0.013207279347084664,5.672582677892737,0.0,0.0,0.05373035250483332,0.00027313674925952345,0.0,0.6060352840939084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.139092206954956,49.43748092651367,49.3253173828125,49.421749114990234,49.518367767333984,1.0,0.004870003089308739,0.9725649356842041,1.012942910194397,0.317676305770874,0.01044158823788166,0.0,0.0,0.0,0.0,0.0,,0.3147696256637573,0.3196347653865814,,0.36568978428840637,,,,,,,0.31480908393859863,0.3196895122528076,,0.36550140380859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,25.271434887035472,20.2235668285473,3.752230670001056,3.752230670001056,3.752230670001056,0.0,0.0,0.013890467785500191,6.150199271537162,0.0,0.0,0.05752355987961228,0.00026444869266973957,0.0,0.597047908886059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1333351135253906,48.98954391479492,48.75066375732422,49.037147521972656,49.22907257080078,1.0,0.007221089210361242,0.9632880091667175,1.0165072679519653,0.3064597547054291,0.01760801486670971,0.0,0.0,0.0,0.0,0.0,,0.3013274073600769,0.3105749189853668,,0.38822034001350403,,,,,,,0.301404744386673,0.31067413091659546,,0.38792112469673157,,,,,,298.8868038890126,394.4620770185216,1.1015472589486868,86.13688596788343,298.8868059875484,392.0027983795895,463.7135514241637,511.68850456937014,347.44412776402066,268.7217692293862,376.09089527959406,0.03683704861433144,0.31280087343600455,0.255850773905909,0.3136966560722912,0.0,0.37214796475467343,0.30481281302356394,0.1860726579007246,0.0,0.0,0.0,0.0,0.0,1.3874256110821064,0.7333919607196512,0.7820160492470045,0.8323623172474442,0.23339196071965118,-0.017983950752995526,-0.1176376827525557,0.0,0.0,0.016483516483516484,0.0,1.0,2.334162636772617,2.3341624782635617,2.3341623416968753,-8.0004243850708,0.0003352640778757632
6,6e-06,6e-05,0.05,25.0716272302576,20.01189525707348,3.7945519524651603,3.7945519524651603,3.7945519524651603,0.0,0.0,0.013627455041215226,6.0087515341269,0.0,0.0,0.05534491667876373,0.0002615131135727908,0.0,0.5780528300517315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127295970916748,48.45048141479492,48.08868408203125,48.46584701538086,48.75066375732422,1.0,0.00806971825659275,0.9432278871536255,1.0185701847076416,0.30065587162971497,0.021565016359090805,0.0,0.0,0.0009009080822579563,0.0009008321794681251,8.425142511867078e-05,,0.2940959334373474,0.30729642510414124,,0.3988187313079834,,,,,,,0.29420149326324463,0.30742180347442627,,0.3983767032623291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,24.96608424831081,19.912127520586992,3.807169733820735,3.807169733820735,3.807169733820735,0.0,0.0,0.013679269197824839,5.921267947635135,0.0,0.0,0.055520560290362383,0.00025934411363827213,0.0,0.5578028189169394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.110567092895508,47.53654861450195,46.79157257080078,47.62135314941406,48.18269729614258,1.0,0.01260148175060749,0.9299652576446533,1.0268583297729492,0.2898930609226227,0.02909260429441929,0.0,0.0,0.0016138753853738308,0.0016137122875079513,0.0001010597641909982,,0.28031298518180847,0.3032287657260895,,0.41654452681541443,,,,,,,0.2803826332092285,0.3032999038696289,,0.4163174629211426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,24.44922039959882,19.41497967694257,3.78217583733636,3.78217583733636,3.78217583733636,0.0,0.0,0.014149053676708325,5.948868622650972,0.0,0.0,0.05563628995740736,0.0002616439518090841,0.0,0.5471679584400074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0830116271972656,46.17295455932617,44.823577880859375,46.336849212646484,47.250762939453125,1.0,0.021433044224977493,0.8767903447151184,1.0442860126495361,0.27670472860336304,0.03793562203645706,0.0,0.0,0.003743316512554884,0.003742906730622053,0.00010947028696516145,,0.26336103677749634,0.2984575927257538,,0.438519686460495,,,,,,,0.2634870409965515,0.2986561059951782,,0.43785685300827026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,23.072948558910472,18.098114838471282,3.7352657833614864,3.7352657833614864,3.7352657833614864,0.0,0.0,0.014228516333811992,5.885292671822213,0.0,0.0,0.05697151132532068,0.00026461942675145894,0.0,0.5374163034799937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0448882579803467,44.38923645019531,41.86185073852539,44.823577880859375,46.24643325805664,1.0,0.039601925760507584,0.81666499376297,1.085403561592102,0.2606081962585449,0.04984105005860329,0.0,0.0,0.006473886780440807,0.006473105866461992,0.00012062521407918509,,0.24257978796958923,0.2932133674621582,,0.4644685685634613,,,,,,,0.24263343214988708,0.29329097270965576,,0.46407562494277954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,22.885128536739863,17.904052734375,3.796722412109375,3.796722412109375,3.796722412109375,0.0,0.0,0.013451990243550893,5.621756476324958,0.0,0.0,0.05488942764900826,0.0002854899629145055,0.0,0.515714542285816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0043630599975586,42.25529479980469,38.86741638183594,42.85457992553711,44.823577880859375,0.9999998807907104,0.05533820390701294,0.7037253379821777,1.163253664970398,0.25797104835510254,0.05225373059511185,0.0,0.0,0.017597969621419907,0.017596524208784103,8.213519325797077e-05,,0.23895318806171417,0.2934684455394745,,0.4679563343524933,,,,,,,0.2390669733285904,0.2936159074306488,,0.4673171639442444,,,,,,298.9419761699635,394.52314666552184,1.101985280207333,86.27043204255156,298.9419747540768,392.11865645142143,464.0180541072963,512.0225711706044,347.5423142569406,268.8428872278494,375.95458719004756,0.036340507111506125,0.2573389819865949,0.10004919561367757,0.2599684526693149,0.0,0.3073667761459119,0.22765547738266498,0.1074331260345379,0.0,0.0,0.0,0.0,0.0,1.388386687354438,0.734857645377597,0.7822542230039207,0.8322707119563226,0.234857645377597,-0.017745776996079377,-0.11772928804367733,0.0,0.0,0.016483516483516484,0.0,1.0,2.3354756979496925,2.335475532563178,2.335475349819267,-8.000203132629395,0.0003353382635395974
11,1e-05,0.0001,0.3,22.40763401340794,17.46395461623733,3.783607276710304,3.783607276710304,3.783607276710304,0.0,0.0,0.013510120076102179,5.500875936972128,0.0,0.0,0.05506370518658612,0.00028040844040947994,0.0,0.5113168149381071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.950534462928772,40.42238235473633,35.94648361206055,41.13242721557617,43.78524398803711,1.0,0.07039441168308258,0.6707768440246582,1.2039152383804321,0.25410664081573486,0.05502451956272125,0.0,0.0,0.030574195086956024,0.030572328716516495,6.104397627545966e-05,,0.23385843634605408,0.2926715612411499,,0.4741365909576416,,,,,,,0.23405081033706665,0.2929106056690216,,0.47303861379623413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9.999976083776368e-06,9.999976083776368e-05,0.35,20.146528914168073,15.322275522592905,3.7377228608002535,3.7377228608002535,3.7377228608002535,0.0,0.0,0.013662278652191162,5.127921439505912,0.0,0.0,0.05739381506636336,0.00034653090846699635,0.0,0.507303186365076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8897238969802856,37.399330139160156,30.98780632019043,38.041282653808594,42.68750762939453,1.0,0.13400135934352875,0.46117618680000305,1.5117555856704712,0.24184973537921906,0.06865621358156204,0.0,0.0,0.030483871698379517,0.03048289194703102,3.21399905559754e-05,,0.21756404638290405,0.2910306751728058,,0.4923156201839447,,,,,,,0.21763117611408234,0.2910718619823456,,0.4912969470024109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
