epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,weight_mean_band_0,weight_mean_band_1,weight_mean_band_2,weight_mean_band_3,weight_mean_band_4,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,scale_pi_band_0,scale_pi_band_1,scale_pi_band_2,scale_pi_band_3,scale_pi_band_4,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,spearman_rate_var_error_band_0,spearman_rate_var_error_band_1,spearman_rate_var_error_band_2,spearman_rate_var_error_band_3,spearman_rate_var_error_band_4,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.83275542388091,18.977344409839528,3.760854772619299,3.760854772619299,3.760854772619299,0.0,0.0,0.013980124447796796,5.9512300233583195,0.17327241639833194,4.09754820127745,0.056829310752250055,0.00027682491250940273,0.0,0.6405188586260822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127399444580078,49.95991897583008,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.00747862970456481,0.9406039714813232,1.0167790651321411,0.3318106234073639,0.0028495534788817167,0.0,0.0,0.0,0.0,0.0,,0.3316121995449066,0.33156540989875793,,0.336828351020813,,,,,,,0.33161497116088867,0.3315703868865967,,0.33681464195251465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.25116131756757,19.40586234427787,3.77686206714527,3.77686206714527,3.77686206714527,0.0,0.0,0.013734136078808759,5.892395431930955,0.17323274870176572,4.022434956318623,0.059123477420291386,0.00027507402606912563,0.0,0.6334636275832718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.133235454559326,49.76881790161133,49.71218490600586,49.80937194824219,49.80937194824219,1.0,0.0057499525137245655,0.9410189986228943,1.0132101774215698,0.3290841281414032,0.003681075293570757,0.0,0.0,0.0,0.0,0.0,,0.32851356267929077,0.3284839391708374,,0.34303003549575806,,,,,,,0.3285248279571533,0.3285006880760193,,0.3429744839668274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,26.057056323902028,20.179982778188343,3.815900235562711,3.815900235562711,3.815900235562711,0.0,0.0,0.013614296913146973,5.932587494721284,0.17316505071279165,3.9605391218855575,0.054608209713085276,0.00027439753348762924,0.0,0.6216548713477882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.141799211502075,49.650997161865234,49.61518478393555,49.61518478393555,49.71218490600586,1.0,0.005387811455875635,0.9592443704605103,1.011826515197754,0.32409733533859253,0.006623752415180206,0.0,0.0,0.0,0.0,0.0,,0.3226354718208313,0.32395854592323303,,0.35340616106987,,,,,,,0.3226602077484131,0.32399022579193115,,0.3533495366573334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,23.971262338999157,18.1708044103674,3.8087756182696366,3.8087756182696366,3.8087756182696366,0.0,0.0,0.013207319620493296,5.6728713576858105,0.17310118030857397,3.879539695945946,0.05373003998318234,0.00027284997741918306,0.0,0.6075370891674144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1519854068756104,49.4810791015625,49.3253173828125,49.518367767333984,49.61518478393555,1.0,0.0042626443319022655,0.9601712822914124,1.0119414329528809,0.3182689845561981,0.01022681500762701,0.0,0.0,0.0,0.0,0.0,,0.31546732783317566,0.3201774060726166,,0.36445319652557373,,,,,,,0.3154894709587097,0.32021206617355347,,0.36429843306541443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,26.131961307010137,20.22416728251689,3.752145715661951,3.752145715661951,3.752145715661951,0.0,0.0,0.013890504837036133,6.148595036687078,0.173007565575677,4.214613218565245,0.057523824073172906,0.0002641023413555042,0.0,0.5992407412142366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1633002758026123,49.09768295288086,48.845970153808594,49.133018493652344,49.3253173828125,1.0,0.004380700644105673,0.974632740020752,1.020638346672058,0.306946337223053,0.017300304025411606,0.0,0.0,0.0,0.0,0.0,,0.301894873380661,0.31108132004737854,,0.38703006505966187,,,,,,,0.3019486367702484,0.3111245930194855,,0.3869267702102661,,,,,,250.5518636389093,374.2421266687744,0.6730855448421307,-115.44897379193988,250.5518623695371,323.0726106389393,388.23379884177666,425.56803069974984,195.76257051740373,145.70270928671195,552.9228628407354,0.0371493013988312,0.24667551413364078,0.2456344100094188,0.2896923122122325,0.0,0.3298669052932419,0.2881533422500689,0.16808018449034612,0.0,0.0,0.0,0.0,0.0,1.3909357788499235,0.7364882195595618,0.7827488915759774,0.8314096222197794,0.23648821955956179,-0.017251108424022665,-0.11859037778022052,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.334066864553389,2.275746231223201,2.232791930437088,-8.0004301071167,0.00033526215702295303
6,6e-06,6e-05,0.05,26.16319975981841,20.27997486011402,3.7947705243084884,3.7947705243084884,3.7947705243084884,0.0,0.0,0.01363903606260145,6.009146200644003,0.17288594632535367,4.025348147830448,0.0553932963190852,0.00023352754981936636,0.0,0.594251890440245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1907002925872803,48.60063934326172,48.27689743041992,48.65553665161133,48.845970153808594,1.0000001192092896,0.004915331490337849,0.9656197428703308,1.0272481441497803,0.32037076354026794,0.013580484315752983,0.0,0.0,1.6133103370666504,0.9463687539100647,0.41339943582660654,,0.3215787708759308,0.30326178669929504,,0.3752419650554657,,,,,,,0.32160353660583496,0.30336737632751465,,0.3750290870666504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,26.26885161528716,20.402739653716218,3.8077475058065877,3.8077475058065877,3.8077475058065877,0.0,0.0,0.01369731651770102,5.915654775258657,0.17267959182326859,3.963052698083826,0.05561232566833496,0.00022212861458192,0.0,0.6132521758208404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222649097442627,47.84010696411133,47.343135833740234,47.90120315551758,48.27689743041992,1.0,0.009458237327635288,0.9581314325332642,1.0639952421188354,0.34408286213874817,0.02886131964623928,0.0,0.0,1.5669938325881958,0.6441251635551453,0.5889421195160373,,0.35681936144828796,0.2870611250400543,,0.3561265170574188,,,,,,,0.3567280173301697,0.2871803939342499,,0.35609158873558044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,25.98958278346706,20.15554397170608,3.783504176784206,3.783504176784206,3.783504176784206,0.0,0.0,0.014170503294145738,5.919102849187078,0.17258173710591085,3.907130885768581,0.05574636201600771,0.00022251921630388983,0.0,0.660732887886666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.290754795074463,46.575801849365234,45.618465423583984,46.70027160644531,47.343135833740234,1.0,0.02136368863284588,0.9506880640983582,1.1631745100021362,0.3820308446884155,0.07177114486694336,0.0,0.0,1.470238447189331,0.5303937196731567,0.639246463261034,,0.4139370918273926,0.2574006915092468,,0.328559935092926,,,,,,,0.4134373664855957,0.2579098343849182,,0.3286527991294861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,24.397545067039697,18.62646649334882,3.7382193900443412,3.7382193900443412,3.7382193900443412,0.0,0.0,0.014245157306258744,5.802284859322213,0.17238551217156486,3.911637589738176,0.05705417169106973,0.0002346345903100194,0.0,0.7431497316102724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.419807195663452,44.73382568359375,42.93836212158203,45.08699035644531,46.066139221191406,1.0000001192092896,0.06612415611743927,0.9020923972129822,1.7917022705078125,0.45065951347351074,0.13877001404762268,0.0,0.0,1.269199252128601,0.5500969886779785,0.5665794887954755,,0.516269862651825,0.2084898203611374,,0.27589696645736694,,,,,,,0.514979362487793,0.20895761251449585,,0.27606308460235596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,23.790768185177363,18.07045436549831,3.8008901235219597,3.8008901235219597,3.8008901235219597,0.0,0.0,0.013464864041354205,5.526149028056377,0.17195833051526868,3.60855432458826,0.05491473868086531,0.0002543568560803259,0.0,0.8212147274532834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.547062873840332,42.51814270019531,38.640342712402344,43.27513122558594,45.17513656616211,1.0,0.11877938359975815,0.8240125179290771,1.9965020418167114,0.43910014629364014,0.17096935212612152,0.0,0.0,1.066225290298462,0.3857107162475586,0.6382465134178266,,0.5008441209793091,0.20722275972366333,,0.2929058074951172,,,,,,,0.4972915053367615,0.208960622549057,,0.2937478721141815,,,,,,250.52755737304688,373.93635727954853,0.6748880676190434,-114.16634058690333,250.52755652856757,323.3263971004037,388.6534070862198,426.0821804711811,196.63775743756975,146.1727575849193,551.3753350299338,0.03549727159782481,0.24678896118787605,0.1737727195966523,0.2806213298336613,0.0,0.34505940494512305,0.24757030186638007,0.10150798396572841,0.0,0.0,0.0,0.0,0.0,1.3872548981560666,0.7197427723425305,0.76440951229343,0.8323623172474442,0.21974277234253048,-0.03559048770657003,-0.1176376827525557,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.335664844774938,2.2773301745509054,2.2342208374987593,-8.000021934509277,0.0003353990032337606
