epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,weight_mean_band_0,weight_mean_band_1,weight_mean_band_2,weight_mean_band_3,weight_mean_band_4,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,scale_pi_band_0,scale_pi_band_1,scale_pi_band_2,scale_pi_band_3,scale_pi_band_4,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,spearman_rate_var_error_band_0,spearman_rate_var_error_band_1,spearman_rate_var_error_band_2,spearman_rate_var_error_band_3,spearman_rate_var_error_band_4,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.800756506017738,18.977365854624157,3.7608543602195947,3.7608543602195947,3.7608543602195947,0.0,0.0,0.013980127669669487,5.951244869747677,0.17327242928582268,4.097555212072424,0.05682936874595848,0.00027682566763581455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1273908615112305,49.96010971069336,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.00748096127063036,0.9370366334915161,1.0167911052703857,0.3333342373371124,0.002493738429620862,0.0,0.0,0.0,0.0,0.0,,0.33333420753479004,0.3333342969417572,,0.3333342373371124,,,,,,,0.3333333432674408,0.3333333432674408,,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.21941973711993,19.405791411528718,3.7768637167440877,3.7768637167440877,3.7768637167440877,0.0,0.0,0.013734134467872413,5.892421000712627,0.17323283891420108,4.022439492715372,0.059123464532800624,0.00027508303724430705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1332733631134033,49.768009185791016,49.71218490600586,49.80937194824219,49.80937194824219,0.9999998807907104,0.005753189790993929,0.9410157203674316,1.0131943225860596,0.3333342373371124,0.001917702960781753,0.0,0.0,0.0,0.0,0.0,,0.33333420753479004,0.3333342671394348,,0.3333342373371124,,,,,,,0.3333333432674408,0.3333333432674408,,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,26.025977882179053,20.17998607738598,3.81590765875739,3.81590765875739,3.81590765875739,0.0,0.0,0.013614292080337936,5.932574710330448,0.17316476718799487,3.96052056389886,0.054608177494358374,0.00027444296692674225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1418774127960205,49.65018081665039,49.61518478393555,49.61518478393555,49.71218490600586,1.0,0.005375939887017012,0.9592030048370361,1.0117828845977783,0.3333342373371124,0.0017920836107805371,0.0,0.0,0.0,0.0,0.0,,0.33333420753479004,0.3333342671394348,,0.3333342373371124,,,,,,,0.3333333432674408,0.3333333432674408,,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,23.94260055954392,18.17254473711993,3.808783866263725,3.808783866263725,3.808783866263725,0.0,0.0,0.01320727209787111,5.672837953309755,0.17309968535964554,3.879397418047931,0.053730429829777895,0.0002731153288403073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1523990631103516,49.47380447387695,49.3253173828125,49.518367767333984,49.61518478393555,1.0,0.004231882281601429,0.9599387049674988,1.0126596689224243,0.3333342373371124,0.0014106249436736107,0.0,0.0,0.0,0.0,0.0,,0.33333420753479004,0.3333342671394348,,0.3333342373371124,,,,,,,0.3333333432674408,0.3333333432674408,,0.3333333432674408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,26.10046881598395,20.22275192673142,3.7521585000527873,3.7521585000527873,3.7521585000527873,0.0,0.0,0.013890387238682928,6.14842347841005,0.17300369932844833,4.214129061312289,0.05752295416754645,0.0002645681033263335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16379451751709,49.09363555908203,48.845970153808594,49.133018493652344,49.22907257080078,1.0000001192092896,0.004327729344367981,0.974403977394104,1.0203574895858765,0.3333342373371124,0.0014426334528252482,0.0,0.0,0.0,0.0,0.0,,0.33333420753479004,0.3333342671394348,,0.3333342373371124,,,,,,,0.3333333432674408,0.3333333432674408,,0.3333333432674408,,,,,,250.59597723824638,373.7669389100998,0.676626290813701,-113.12828914935773,250.59597641076115,323.45649162102245,388.9004778545924,426.4269223558023,197.56670706612724,146.60089188213496,550.3040403283161,0.03714289245980047,0.24652617859590817,0.2895129857212359,0.28951719482292765,0.0,0.3295652023912653,0.28760616581972537,0.16607454556935056,0.0,0.0,0.0,0.0,0.0,1.3909287031713062,0.7364515774431131,0.7827305705177531,0.8313546590451064,0.23645157744311307,-0.017269429482246967,-0.11864534095489354,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,2.334070311797844,2.275730997651488,2.2327811419963837,-8.000414848327637,0.0003352673084009439
6,6e-06,6e-05,0.05,26.102001293285472,20.247827478357262,3.7953940726615287,3.7953940726615287,3.7953940726615287,0.0,0.0,0.01363855439263421,6.009296726536107,0.17288909087309967,4.025408358187289,0.05539116988310943,0.00023998257175490662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1899871826171875,48.61088562011719,48.371280670166016,48.65553665161133,48.845970153808594,1.0,0.0048753791488707066,0.9659820199012756,1.027510404586792,0.3385588526725769,0.005363049916923046,0.0,0.0,1.6242992877960205,0.9877352118492126,0.39190072958201505,,0.34117937088012695,0.3293474614620209,,0.3294614553451538,,,,,,,0.34115660190582275,0.3293607831001282,,0.3294826149940491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,26.200841955236488,20.363574878589528,3.809129457216005,3.809129457216005,3.809129457216005,0.0,0.0,0.01369671563844423,5.917037139067778,0.17270525081737623,3.9638420311180322,0.05561579240335,0.00023060865901611947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2251956462860107,47.78466033935547,47.250762939453125,47.90120315551758,48.18269729614258,1.0,0.009383091703057289,0.9558229446411133,1.0734888315200806,0.3511689603328705,0.018139131367206573,0.0,0.0,1.5816731452941895,0.6739312410354614,0.5739124464238716,,0.36010801792144775,0.31974759697914124,,0.32013651728630066,,,,,,,0.3600197434425354,0.31978657841682434,,0.32019364833831787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,25.980186668602197,20.17788943728885,3.7852453283361487,3.7852453283361487,3.7852453283361487,0.0,0.0,0.014170577397217622,5.91807020032728,0.17266501607121648,3.9059147190403296,0.05574424202377732,0.00023063888924347388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2857677936553955,46.410919189453125,45.52945327758789,46.51820755004883,47.250762939453125,1.0,0.01750519499182701,0.9445297122001648,1.1234081983566284,0.372652143239975,0.04070696607232094,0.0,0.0,1.448168396949768,0.5101099014282227,0.6477551212257834,,0.39235934615135193,0.3034103214740753,,0.3040981590747833,,,,,,,0.39201033115386963,0.30362001061439514,,0.30436965823173523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,24.49806667018581,18.777360245988177,3.7390078982791386,3.7390078982791386,3.7390078982791386,0.0,0.0,0.014247121037663641,5.765519425675675,0.17270861445246516,3.8781944481102197,0.05706144023585964,0.00023762375821132918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4376380443573,43.7811279296875,42.02569580078125,43.95661163330078,45.26345443725586,0.9999998807907104,0.05493875965476036,0.8841710090637207,1.6189296245574951,0.41624292731285095,0.08626342564821243,0.0,0.0,1.1975480318069458,0.44502371549606323,0.6283875855696747,,0.4579174220561981,0.26949626207351685,,0.27274879813194275,,,,,,,0.4570532441139221,0.2698190212249756,,0.2731277048587799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,23.57434906830659,17.98004975190034,3.7979257944467903,3.7979257944467903,3.7979257944467903,0.0,0.0,0.013458934184667226,5.326682838233742,0.17236609072298617,3.397986334723395,0.05485891651462864,0.0002723676278381734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6669039726257324,40.127201080322266,34.772544860839844,40.972068786621094,44.04254913330078,1.0,0.14015935361385345,0.7486915588378906,2.2295522689819336,0.4320009648799896,0.1371300369501114,0.0,0.0,0.8880631327629089,0.3197258412837982,0.639973973146392,,0.481494277715683,0.25761109590530396,,0.26209557056427,,,,,,,0.4782242476940155,0.25876903533935547,,0.26300671696662903,,,,,,250.57864585289587,373.2914768040904,0.6796335903602705,-111.01792224422915,250.5786458373423,323.8668475252255,389.5660967009256,427.24312717534133,199.07095881870814,147.38767544058865,547.8001456882643,0.03578375165770228,0.25753179067360277,0.2045868078797766,0.29726796344747564,0.0,0.35871409782076863,0.26681202572476975,0.12507584742641825,0.0,0.0,0.0,0.0,0.0,1.3868907729321374,0.7197610934007548,0.7648125755743652,0.8324539225385659,0.21976109340075478,-0.03518742442563483,-0.11754607746143408,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,2.336622124844855,2.278012765960379,2.2348480109985056,-7.9997172355651855,0.0003355011867824942
