epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,weight_mean_band_0,weight_mean_band_1,weight_mean_band_2,weight_mean_band_3,weight_mean_band_4,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,scale_pi_band_0,scale_pi_band_1,scale_pi_band_2,scale_pi_band_3,scale_pi_band_4,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,spearman_rate_var_error_band_0,spearman_rate_var_error_band_1,spearman_rate_var_error_band_2,spearman_rate_var_error_band_3,spearman_rate_var_error_band_4,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.83275542388091,18.977344409839528,3.760854772619299,3.760854772619299,3.760854772619299,0.0,0.0,0.013980124447796796,5.9512300233583195,0.17327241639833194,4.09754820127745,0.056829310752250055,0.00027682491250940273,0.0,0.6405188586260822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127399444580078,49.95991897583008,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.00747862970456481,0.9406039714813232,1.0167790651321411,0.3318106234073639,0.0028495534788817167,0.0,0.0,0.0,0.0,0.0,,0.3316121995449066,0.33156540989875793,,0.336828351020813,,,,,,,0.33161497116088867,0.3315703868865967,,0.33681464195251465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.25116131756757,19.40586234427787,3.77686206714527,3.77686206714527,3.77686206714527,0.0,0.0,0.013734136078808759,5.892395431930955,0.17323274870176572,4.022434956318623,0.059123477420291386,0.00027507402606912563,0.0,0.6334636275832718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.133235454559326,49.76881790161133,49.71218490600586,49.80937194824219,49.80937194824219,1.0,0.0057499525137245655,0.9410189986228943,1.0132101774215698,0.3290841281414032,0.003681075293570757,0.0,0.0,0.0,0.0,0.0,,0.32851356267929077,0.3284839391708374,,0.34303003549575806,,,,,,,0.3285248279571533,0.3285006880760193,,0.3429744839668274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,26.057056323902028,20.179982778188343,3.815900235562711,3.815900235562711,3.815900235562711,0.0,0.0,0.013614296913146973,5.932587494721284,0.17316505071279165,3.9605391218855575,0.054608209713085276,0.00027439753348762924,0.0,0.6216548713477882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.141799211502075,49.650997161865234,49.61518478393555,49.61518478393555,49.71218490600586,1.0,0.005387811455875635,0.9592443704605103,1.011826515197754,0.32409733533859253,0.006623752415180206,0.0,0.0,0.0,0.0,0.0,,0.3226354718208313,0.32395854592323303,,0.35340616106987,,,,,,,0.3226602077484131,0.32399022579193115,,0.3533495366573334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,23.971262338999157,18.1708044103674,3.8087756182696366,3.8087756182696366,3.8087756182696366,0.0,0.0,0.013207319620493296,5.6728713576858105,0.17310118030857397,3.879539695945946,0.05373003998318234,0.00027284997741918306,0.0,0.6075370891674144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1519854068756104,49.4810791015625,49.3253173828125,49.518367767333984,49.61518478393555,1.0,0.0042626443319022655,0.9601712822914124,1.0119414329528809,0.3182689845561981,0.01022681500762701,0.0,0.0,0.0,0.0,0.0,,0.31546732783317566,0.3201774060726166,,0.36445319652557373,,,,,,,0.3154894709587097,0.32021206617355347,,0.36429843306541443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,26.131961307010137,20.22416728251689,3.752145715661951,3.752145715661951,3.752145715661951,0.0,0.0,0.013890504837036133,6.148595036687078,0.173007565575677,4.214613218565245,0.057523824073172906,0.0002641023413555042,0.0,0.5992407412142366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1633002758026123,49.09768295288086,48.845970153808594,49.133018493652344,49.3253173828125,1.0,0.004380700644105673,0.974632740020752,1.020638346672058,0.306946337223053,0.017300304025411606,0.0,0.0,0.0,0.0,0.0,,0.301894873380661,0.31108132004737854,,0.38703006505966187,,,,,,,0.3019486367702484,0.3111245930194855,,0.3869267702102661,,,,,,250.48521027198206,375.66276156164497,0.6633981539741455,-121.92420295044616,250.48520939729104,322.2606252696078,386.6883622774843,423.5352205840153,190.8833830697196,143.1631149173707,560.5235383406929,0.0371493013988312,0.24667551413364078,0.2456344100094188,0.2896923122122325,0.0,0.3298669052932419,0.2881533422500689,0.16808018449034612,0.0,0.0,0.0,0.0,0.0,1.3909357788499235,0.7364882195595618,0.7827488915759774,0.8314096222197794,0.23648821955956179,-0.017251108424022665,-0.11859037778022052,0.0,0.0,0.5164835164835165,0.4835164835164835,1.0,2.334066864553389,2.2757462521830756,2.23279338321843,-8.0004301071167,0.00033526215702295303
6,6e-06,6e-05,0.05,26.295080236486488,20.41115425728463,3.795467892208615,3.795467892208615,3.795467892208615,0.0,0.0,0.013642576900688378,6.009410961254223,0.1728836910144703,4.024273434200802,0.05541615872769742,0.00023422312192820214,0.0,0.5974188108701963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1936755180358887,48.58381271362305,48.27689743041992,48.65553665161133,48.845970153808594,1.0,0.005035147536545992,0.9721524119377136,1.0293323993682861,0.3249427080154419,0.014109800569713116,0.0,0.0,1.6115601062774658,0.8143209218978882,0.49470024808514046,,0.32811611890792847,0.301470547914505,,0.37048596143722534,,,,,,,0.32812511920928955,0.3015855550765991,,0.37028932571411133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,26.465742781355573,20.598560230152028,3.809383083034206,3.809383083034206,3.809383083034206,0.0,0.0,0.013701545225607382,5.9147615174989445,0.17264429298607079,3.958228033942145,0.05565370095742715,0.00022520623295693785,0.0,0.6245971885887353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.234567165374756,47.74582290649414,47.250762939453125,47.807735443115234,48.18269729614258,1.0,0.010558976791799068,0.9599037766456604,1.0864118337631226,0.3535540997982025,0.035858552902936935,0.0,0.0,1.561647653579712,0.5279081463813782,0.6619543818535044,,0.37035155296325684,0.2833881676197052,,0.3463094234466553,,,,,,,0.3702300786972046,0.2834888696670532,,0.3462810516357422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,26.235049685916387,20.400616620038008,3.7853038890941724,3.7853038890941724,3.7853038890941724,0.0,0.0,0.014175001028421763,5.9171612713788,0.17256078204593142,3.8977409568992822,0.055783793732926655,0.00022549791311895524,0.0,0.6776159131849134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.30409836769104,46.4656982421875,45.440608978271484,46.60914993286133,47.250762939453125,1.0,0.02539048343896866,0.9512082934379578,1.1839910745620728,0.39245322346687317,0.0803246796131134,0.0,0.0,1.4549973011016846,0.4354894757270813,0.7006939632139932,,0.4288281202316284,0.25334060192108154,,0.3178432285785675,,,,,,,0.4283197522163391,0.25374212861061096,,0.3179381191730499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,24.86241356102196,19.07176249736064,3.7414497169288428,3.7414497169288428,3.7414497169288428,0.0,0.0,0.014252764147681158,5.842252164273648,0.17228702596715978,3.9527402310758024,0.057116676021266626,0.0002309431296748084,0.0,0.745120383597709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.388183832168579,45.142852783203125,43.359737396240234,45.52945327758789,46.42744064331055,1.0,0.05556773394346237,0.9223840832710266,1.6730283498764038,0.4479978084564209,0.13506276905536652,0.0,0.0,1.304863691329956,0.4439237713813782,0.6597929926849924,,0.5118387937545776,0.21281400322914124,,0.2758581042289734,,,,,,,0.5108345746994019,0.21319931745529175,,0.27596616744995117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,24.38597148173564,18.6343433277027,3.8056665368982263,3.8056665368982263,3.8056665368982263,0.0,0.0,0.013474583625793457,5.5936782424514355,0.17195133260778478,3.6707639951963684,0.054983867181314004,0.00024289720867936676,0.0,0.8321769817455394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.530223846435547,42.707645416259766,39.095821380615234,43.44450378417969,45.17513656616211,1.0,0.10611570626497269,0.8548811078071594,1.9131768941879272,0.4501185119152069,0.17464542388916016,0.0,0.0,1.083123803138733,0.34412479400634766,0.6822848939252144,,0.5171712040901184,0.20000754296779633,,0.28353288769721985,,,,,,,0.5142335295677185,0.20153918862342834,,0.28422728180885315,,,,,,250.46702630179269,375.24960801078373,0.6657078863664643,-120.28703287145593,250.46702660618678,322.54760421287307,387.1689263707581,424.13676896973243,192.02777644566126,143.77354170924934,558.5655972024668,0.0355018137986738,0.24792516712855286,0.16439417718882215,0.27957091200391726,0.0,0.3456391140426934,0.2550818471957319,0.12418966785545031,0.0,0.0,0.0,0.0,0.0,1.3872490329778782,0.7197610934007548,0.7651789967388516,0.8323623172474442,0.21976109340075478,-0.03482100326114845,-0.1176376827525557,0.0,0.0,0.5164835164835165,0.4835164835164835,1.0,2.3348014754253428,2.2768847208756666,2.2338331033895305,-8.000208854675293,0.00033533634268678725
