epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_spectral,train_spectral_dc,train_spectral_ac,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,weight_mean_band_0,weight_mean_band_1,weight_mean_band_2,weight_mean_band_3,weight_mean_band_4,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,scale_pi_band_0,scale_pi_band_1,scale_pi_band_2,scale_pi_band_3,scale_pi_band_4,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,spearman_rate_var_error_band_0,spearman_rate_var_error_band_1,spearman_rate_var_error_band_2,spearman_rate_var_error_band_3,spearman_rate_var_error_band_4,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,25.2044397302576,19.344037030194258,3.8158486855996623,3.8158486855996623,3.8158486855996623,0.0,0.0,0.0134654206198615,5.8322341506545605,0.17328231399123734,3.9754391232052364,0.05434613614468961,0.000260348482107794,0.0,0.6348753748713313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.178488254547119,49.94526290893555,49.9067497253418,49.9067497253418,50.00431823730469,1.0,0.003934246953576803,0.9855998754501343,1.0274122953414917,0.3320430517196655,0.0014825063990429044,0.0,0.0,0.0,0.0,0.0,,0.3318627178668976,0.33189576864242554,,0.33625730872154236,,,,,,,0.33187198638916016,0.33191192150115967,,0.3362160921096802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,25.02568755278716,19.163462046030407,3.796158249313767,3.796158249313767,3.796158249313767,0.0,0.0,0.01364308434563714,5.894906121331292,0.17326728717700854,4.016902201884502,0.056065069662558066,0.0002603627791678583,0.0,0.6297894555169183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1826083660125732,49.86890411376953,49.80937194824219,49.9067497253418,49.9067497253418,0.9999998807907104,0.004423446021974087,0.9875763058662415,1.0271834135055542,0.3287389874458313,0.0031856403220444918,0.0,0.0,0.0,0.0,0.0,,0.3279564380645752,0.32894599437713623,,0.34313687682151794,,,,,,,0.3279905319213867,0.3289893865585327,,0.3430200219154358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,25.6358642578125,19.74928242451436,3.7593379665065454,3.7593379665065454,3.7593379665065454,0.0,0.0,0.013955502896695523,6.076332710884713,0.17324473406817462,4.14049633129223,0.05653039184776512,0.0002600182653278918,0.0,0.6254919928473395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.187669277191162,49.64946746826172,49.61518478393555,49.61518478393555,49.71218490600586,0.9999998807907104,0.005574374459683895,0.9858967661857605,1.0317614078521729,0.3249083161354065,0.0055142599157989025,0.0,0.0,0.0,0.0,0.0,,0.3233586251735687,0.3258814513683319,,0.35083332657814026,,,,,,,0.32341742515563965,0.325949490070343,,0.35063308477401733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,24.89033467060811,19.05980125633446,3.7968873719911316,3.7968873719911316,3.7968873719911316,0.0,0.0,0.013547890895121806,5.7801179628114445,0.17321434536495725,3.977729591163429,0.05479665704675623,0.0002610876753523543,0.0,0.6108923216123838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19832706451416,49.415733337402344,49.3253173828125,49.421749114990234,49.518367767333984,1.0000001192092896,0.007078195922076702,0.9826484322547913,1.0402644872665405,0.31828272342681885,0.009681024588644505,0.0,0.0,0.0,0.0,0.0,,0.3153522312641144,0.3208710551261902,,0.3638722002506256,,,,,,,0.31546419858932495,0.32099130749702454,,0.3635444641113281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,26.511207374366553,20.595924171241553,3.78448486328125,3.78448486328125,3.78448486328125,0.0,0.0,0.014003412143604175,6.133713180954392,0.17314693090077993,4.105008511929898,0.05736305906965926,0.00026611208512976363,0.0,0.6003279299349398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2134318351745605,48.977996826171875,48.75066375732422,49.037147521972656,49.22907257080078,1.0000001192092896,0.010154169984161854,0.9750459790229797,1.0753182172775269,0.31029272079467773,0.015000488609075546,0.0,0.0,0.0,0.0,0.0,,0.30558499693870544,0.31541815400123596,,0.3790873885154724,,,,,,,0.30575883388519287,0.3156048059463501,,0.37863636016845703,,,,,,250.58151928409114,373.33336433419373,0.6793963872459433,-111.17250727559184,250.58151855422082,323.8267935381364,389.43395888544,427.06625835226504,198.8532235281808,147.3329850426016,547.9980190111244,0.03608524170479897,0.25226168279644373,0.12674163384106032,0.18772931947524443,0.0,0.2924110453741829,-0.05362856964719312,-0.10548276550512184,0.0,0.0,0.0,0.0,0.0,1.3856352048514484,0.7163900186874794,0.7541497196878092,0.8323806383056686,0.21639001868747942,-0.04585028031219085,-0.1176193616943314,0.0,0.0,0.5164835164835165,0.4835164835164835,1.0,2.3031438078199113,2.255700688440721,2.215461934988315,-8.000190734863281,0.0003353424253873527
6,6e-06,6e-05,0.05,25.14250884184966,19.343875369510137,3.794449264938767,3.794449264938767,3.794449264938767,0.0,0.0,0.013685244160729486,5.802011025918497,0.17306862650690852,3.814502612964527,0.05400917336747453,0.00025660033664993336,0.0,0.593705821681667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2481629848480225,48.296295166015625,47.714454650878906,48.46584701538086,48.845970153808594,1.0,0.029748495668172836,0.9525412917137146,1.301529049873352,0.32242971658706665,0.01792515441775322,0.0,0.0,1.4942107200622559,0.9007753133773804,0.3971564376543559,,0.3244253695011139,0.3029799461364746,,0.37260130047798157,,,,,,,0.3244851529598236,0.3032952547073364,,0.3722195625305176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,24.33258056640625,18.60124247782939,3.7556997763144,3.7556997763144,3.7556997763144,0.0,0.0,0.013842959661741514,5.694868757918075,0.1727302396619642,3.7654266357421875,0.05577949575475744,0.0002890522969332901,0.0,0.6290431667018581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.348797559738159,46.798057556152344,45.440608978271484,47.158565521240234,47.90120315551758,1.0,0.06217879429459572,0.9062902927398682,1.6808520555496216,0.35526469349861145,0.05242755264043808,0.0,0.0,1.3515781164169312,0.616294264793396,0.5440187605084875,,0.37418490648269653,0.2755216062068939,,0.3503648340702057,,,,,,,0.3737395405769348,0.27601921558380127,,0.3502413034439087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,23.95904541015625,18.359825340477197,3.744730768976985,3.744730768976985,3.744730768976985,0.0,0.0,0.013389979665343827,5.380510484850085,0.1715889750300227,3.4664121060758024,0.05503610018137339,0.00037237417859000126,0.0,0.6734728426546663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.516646146774292,44.1783561706543,40.73270034790039,45.26345443725586,46.70027160644531,1.0,0.17401468753814697,0.798450231552124,2.942213773727417,0.3917246162891388,0.12604285776615143,0.0,0.0,1.1119787693023682,0.45316755771636963,0.5924674371250116,,0.4297751486301422,0.24284051358699799,,0.32912054657936096,,,,,,,0.42771250009536743,0.24345487356185913,,0.32883262634277344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,24.0428186365076,18.578930004222972,3.7491455078125,3.7491455078125,3.7491455078125,0.0,0.0,0.013379287075352025,5.086613835515203,0.16987558313318202,3.0496483880120353,0.056580930142789275,0.0005596643565474329,0.0,0.7087180163409259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.759956121444702,41.681480407714844,34.29368209838867,43.61454391479492,46.15619659423828,1.0000001192092896,0.3284578323364258,0.689850926399231,3.957385778427124,0.4142790138721466,0.22543275356292725,0.0,0.0,1.4331973791122437,0.7963563799858093,0.44434982118157984,,0.4652559757232666,0.21665066480636597,,0.3219836354255676,,,,,,,0.45964694023132324,0.21795277297496796,,0.3224002420902252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,21.25415204022382,15.962276974239865,3.72528736011402,3.72528736011402,3.72528736011402,0.0,0.0,0.01359692296466312,4.612351288666597,0.16780845538989916,2.784028130608636,0.05532882020280168,0.0006858865050850687,0.0,0.7193028733537004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7726798057556152,41.24346923828125,30.98780632019043,43.529441833496094,46.60914993286133,1.0,0.3160206973552704,0.6239156126976013,3.6842494010925293,0.3865867853164673,0.1885666847229004,0.0,0.0,1.1476480960845947,0.5853943824768066,0.489918221034842,,0.4266239404678345,0.2227092683315277,,0.3538670241832733,,,,,,,0.42199867963790894,0.2236183136701584,,0.35438302159309387,,,,,,250.54656712039485,373.35450809199466,0.678888714452931,-111.41194586701445,250.54656824355197,323.738915793042,389.313568899116,426.93597821742367,198.52476555960519,147.2190547617831,548.2292128853176,0.037733155055757056,0.28252390537353467,0.20756120026399347,0.2228750737777963,0.0,0.31695042630103615,0.02835155718397819,-0.005267216217524941,0.0,0.0,0.0,0.0,0.0,1.3842325736296246,0.7163900186874794,0.7531970246601444,0.8323806383056686,0.21639001868747942,-0.04680297533985567,-0.1176193616943314,0.0,0.0,0.5054945054945055,0.4945054945054945,1.0,2.300295269751287,2.2532910314890056,2.2134152808032193,-7.9989423751831055,0.0003357612295076251
