epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2e-05,0.0,23.522151147997057,18.50559578715144,3.782468441370371,3.782468441370371,3.782468441370371,0.0,0.0,0.24587884464779416,5.863085559896521,2.161247659373928,49.99156343614733,49.9067497253418,50.00431823730469,50.00431823730469,0.9999999362514335,0.0011113954423469174,0.9959886074066162,1.0052059888839722,0.9999999362514335,0.0011113954423469174,0.0,0.0,0.0040148611910439825,0.0040148611910439825,0.0,0.9999999710031457,0.9999999935562546,1.0000000064437453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4e-05,0.0,24.171267303260596,19.15308563129322,3.768963820225484,3.768963820225484,3.768963820225484,0.0,0.0,0.24701836664934415,5.9373170685123755,2.163353443145752,49.81241597356023,49.71218490600586,49.80937194824219,49.9067497253418,0.999999956956857,0.0006784167589659048,0.994400143623352,1.003027081489563,0.999999956956857,0.0006784167589659048,0.0,0.0,0.00404612538782326,0.00404612538782326,0.0,0.9999999919453183,0.9999999855015729,1.0000000032218728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-05,0.0,23.036090644630224,18.03744215578646,3.753306904354611,3.753306904354611,3.753306904354611,0.0,0.0,0.24656678091835332,5.918498980032431,2.1647486042332007,49.57029167381493,49.421749114990234,49.61518478393555,49.71218490600586,0.9999999584567562,0.000854336796752474,0.9923481941223145,1.0056562423706055,0.9999999584567562,0.000854336796752474,0.0,0.0,0.005084148507464577,0.005084148507464577,0.0,0.9999999887234455,0.9999999887234455,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8e-05,0.0,23.50326246828646,18.523454807900094,3.7362652727075525,3.7362652727075525,3.7362652727075525,0.0,0.0,0.2465241901777886,5.9095571943231535,2.1724076077744767,49.14459527505411,48.94146728515625,49.133018493652344,49.3253173828125,0.9999999572381186,0.0014199952865061995,0.9876576662063599,1.0069974660873413,0.9999999572381186,0.0014199952865061995,0.0,0.0,0.010067584383225924,0.010067584383225924,0.0,0.999999995167191,0.9999999935562546,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,0.0001,0.0,24.026507480724437,19.017218718657624,3.7325240148080363,3.7325240148080363,3.7325240148080363,0.0,0.0,0.24712250361571442,6.074922117027077,2.192864617785892,48.37083661878431,47.90120315551758,48.371280670166016,48.845970153808594,0.9999999569332148,0.0029192577024986116,0.9688950181007385,1.0124735832214355,0.9999999569332148,0.0029192577024986116,0.0,0.0,0.031821264835024204,0.031821264835024204,0.0,0.999999995167191,0.9999999838906366,1.0,300.2894908150474,395.10641608846913,1.1129209211573656,92.3671961564284,300.2894949268007,392.8664830938803,464.2302902241493,512.3058541545905,350.07021822248186,272.1224093178446,371.7044564952021,0.04248707086357941,0.30862968569342714,-0.29644947597566734,-0.29644947597566734,0.3983949832800679,0.1525739881019508,0.10867340831897614,1.3467679926580078,0.7293667137386668,0.7619878241378645,0.8331165449866177,0.2293667137386668,-0.03801217586213557,-0.11688345501338226,0.0,0.0,0.31868131868131866,0.6813186813186813,1.0,2.2969782850244544,2.333243429333299,2.335178153527962
6,1e-05,0.0001,0.05,20.743412146697175,15.858265593245223,3.7371365895142428,3.7371365895142428,3.7371365895142428,0.0,0.0,0.2450289492671554,5.433763645790719,2.2108008474917025,47.22574656718486,46.42744064331055,47.343135833740234,47.90120315551758,0.9999999578854281,0.007083709953910755,0.9301548600196838,1.0364394187927246,0.9999999578854281,0.007083709953910755,0.0,0.0,0.09560311112452198,0.07955790240619634,0.16783144951660553,0.999999995167191,0.9999999903343819,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999975077406627e-06,9.999975077406626e-05,0.1,21.541273555240117,16.669636906804264,3.7162352574838176,3.7162352574838176,3.7162352574838176,0.0,0.0,0.24578679453682256,5.469773195885323,2.2359778881073,45.79921578072213,44.38798141479492,46.066139221191406,46.974708557128906,0.9999999604968407,0.017880290495443672,0.81673663854599,1.0780954360961914,0.9999999604968407,0.017880290495443672,0.0,0.0,0.22382851569233714,0.15342544945510658,0.31454020065076466,0.999999995167191,0.9999999935562546,0.9999999967781273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999900309874961e-06,9.999900309874961e-05,0.15,21.27834466985754,16.52261208199166,3.6749528227625667,3.6749528227625667,3.6749528227625667,0.0,0.0,0.2455077779454154,5.097013808585502,2.28115683632928,44.03784138447529,41.05216979980469,44.73611831665039,46.15619659423828,0.9999999558909975,0.04361515331131934,0.5896928906440735,1.1858984231948853,0.9999999558909975,0.04361515331131934,0.0,0.0,0.3849020705029771,0.228864139399013,0.40539644512709155,0.9999999903343819,0.9999999887234455,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999775698150361e-06,9.999775698150361e-05,0.2,18.20654570089804,13.654050685263968,3.6705642004270813,3.6705642004270813,3.6705642004270813,0.0,0.0,0.24354297768425298,4.105224635149981,2.3057250138875602,42.56678916312553,37.232704162597656,43.78524398803711,45.976253509521484,0.9999999580561417,0.08555737028888168,0.3088596761226654,1.4132853746414185,0.9999999580561417,0.08555737028888168,0.0,0.0,0.588192357404812,0.3581044557126793,0.3911779859012673,0.9999999935562546,0.9999999855015729,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999601243475088e-06,9.999601243475088e-05,0.25,18.51088199099979,14.065033229621681,3.646581256711805,3.646581256711805,3.646581256711805,0.0,0.0,0.24254428816808238,3.693156854526417,2.313046796901806,41.84989836409285,33.4404296875,43.69981002807617,46.70027160644531,1.0000727219184056,0.1423229539124794,0.25,1.7730461359024048,1.0000727219184056,0.1423229539124794,0.0013294671189408031,0.0,1.2974646703616992,0.8382430334348936,0.35393768124629293,1.000032416872076,1.0001984303062026,1.0002870108630206,230.36316898890905,302.8618744105661,0.8548958282107404,119.52853578001589,230.3631691633785,282.1828474293045,331.980772027196,377.56747869054533,257.59652273995533,215.6944351787715,267.3551947552225,0.34238420491677063,0.43590729839422254,-0.2528808506493578,-0.2528808506493578,0.453620324251606,0.2852853642065682,0.3922523867581363,1.0414157265306592,0.7556727474547905,0.8428923779788755,0.9389085438894615,0.2556727474547905,0.04289237797887546,-0.011091456110538411,0.0,0.0,0.4010989010989011,0.5989010989010989,1.0,1.9412054281968336,1.806384490741478,1.7993103174062877
