epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2e-05,0.0,23.813827849723197,18.388216018676758,3.766200387800062,3.766200387800062,3.766200387800062,0.0,0.0,0.24549138827903852,5.7642253282907845,0.173277777594489,3.932102196925395,2.1779702611871667,49.96178199149467,49.9067497253418,50.00431823730469,50.00431823730469,0.9999999772898738,0.002208790178274088,0.9677489399909973,1.010720133781433,0.9999999772898738,0.002208790178274088,0.0,0.0,5.369207176002297,5.369207176002297,0.0,1.0,0.9999999806687638,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4e-05,0.0,24.75552257331642,19.250442376007904,3.7349166290180102,3.7349166290180102,3.7349166290180102,0.0,0.0,0.2472768458160194,6.168048272261748,0.1732494927741386,4.22759709164903,2.1855298892871753,49.72358260283599,49.61518478393555,49.71218490600586,49.9067497253418,0.9999999602173726,0.002667172424128072,0.9586914777755737,1.0114238262176514,0.9999999602173726,0.002667172424128072,0.0,0.0,5.36500308320329,5.36500308320329,0.0,0.9999999935562546,0.999999995167191,0.9999999967781273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-05,0.0,24.465247592410527,18.9901623854766,3.75026265350548,3.75026265350548,3.75026265350548,0.0,0.0,0.24651761755749985,6.023016523670506,0.17320387427871292,4.066284050812593,2.2053891903645284,49.31003941716374,49.037147521972656,49.3253173828125,49.518367767333984,0.9999999644521134,0.003980173262279708,0.9371025562286377,1.013984203338623,0.9999999644521134,0.003980173262279708,0.0,0.0,5.34512759543754,5.34512759543754,0.0,0.999999995167191,0.9999999806687638,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8e-05,0.0,24.634501122139596,19.158561861192858,3.7251983268840894,3.7251983268840894,3.7251983268840894,0.0,0.0,0.24595360699537638,6.118959568642281,0.17315086641827146,4.135154585580568,2.2340198078671016,48.483362146326016,47.90120315551758,48.56059646606445,49.037147521972656,0.9999999598089317,0.006681919167718821,0.9222694039344788,1.023417353630066,0.9999999598089317,0.006681919167718821,0.0,0.0,5.321713795533052,5.321713795533052,0.0,0.999999995167191,0.9999999903343819,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,0.0001,0.0,24.931928351118756,19.454832695625925,3.7361613286508097,3.7361613286508097,3.7361613286508097,0.0,0.0,0.24643643200397491,6.109235718443587,0.17314515967626828,4.055343602154706,2.2952356338500977,46.56375740669869,45.17513656616211,46.70027160644531,47.807735443115234,0.9999999563331898,0.01349474297357896,0.8340367674827576,1.0481551885604858,0.9999999563331898,0.01349474297357896,0.0,0.0,5.3214900429184375,5.3214900429184375,0.0,0.9999999935562546,0.9999999919453183,1.0,252.14287751585573,385.27733645427145,0.618786460522437,-155.76690648676274,252.14287849560964,319.6476240954087,379.8520952695394,413.6410666425213,166.3800926208496,132.7837319484977,599.918296482252,0.04052852858790862,0.3448925448324147,-0.27032966830989474,-0.27032966830989474,0.3796357310156853,0.11965605909562979,0.007110162387424447,1.36088327050054,0.7332689039795484,0.786442406800654,0.8483160152658996,0.23326890397954836,-0.013557593199346019,-0.10168398473410034,0.0,0.0,0.489010989010989,0.510989010989011,1.0,2.356051715193214,2.1245358160563876,2.125051213162286
6,1e-05,0.0001,0.05,24.248114431226576,18.85524038366369,3.709493282678965,3.709493282678965,3.709493282678965,0.0,0.0,0.2469592497155473,5.912500594113324,0.17320481788467718,3.8717936889545337,2.4314166081918254,42.60174550236882,39.4024543762207,42.93836212158203,45.35194778442383,0.9999999610156666,0.02971106214837004,0.6460821032524109,1.1219810247421265,0.9999999610156666,0.02971106214837004,0.0,0.0,5.214807703688338,3.462365588626346,0.33605114793063645,0.9999999983890636,0.9999999855015729,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999975077406627e-06,9.999975077406626e-05,0.1,24.882945421579723,19.4849900941591,3.735783074353192,3.735783074353192,3.735783074353192,0.0,0.0,0.24873969240768537,5.87587334014274,0.17311035700746485,3.7287943717595695,2.674651358578656,35.71498659494761,30.03441047668457,36.1577262878418,40.81233596801758,0.9999999546028192,0.06253205024684053,0.38765546679496765,1.2192721366882324,0.9999999546028192,0.06253205024684053,0.0,0.0,4.849621141279066,2.111192300512984,0.5646686124524428,0.9999999903343819,0.9999999838906366,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999900309874961e-06,9.999900309874961e-05,0.15,25.549632149773675,20.278988477346058,3.713998891211845,3.713998891211845,3.713998891211845,0.0,0.0,0.2484203134034131,5.57386757876422,0.17240170570644173,3.280457793055354,3.1228747818921065,26.6722905958021,18.32384490966797,26.97530746459961,34.63697814941406,1.0000775766863135,0.14361864390558196,0.25,1.4135832786560059,1.0000775766863135,0.14361864390558196,0.0011133603238866396,0.0,3.8963420262207857,1.2245070128827482,0.6857290749522712,1.0000990677524257,1.0000029238494668,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999775698150361e-06,9.999775698150361e-05,0.2,22.49480033565212,17.46785594321586,3.720163023149645,3.720163023149645,3.720163023149645,0.0,0.0,0.2468284094655836,4.663991167738631,0.17059684685758641,2.6109712800464115,3.3516208030082084,20.919361372251768,11.26696491241455,21.214553833007812,29.975807189941406,1.0016194234448783,0.22064003580174593,0.25,1.554154634475708,1.0016194234448783,0.22064003580174593,0.015184921763869132,0.0,3.875124551154472,1.0092837295016728,0.7395480542164797,1.0019260902662535,1.0006625297907237,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999601243475088e-06,9.999601243475088e-05,0.25,21.502523525341136,16.566783724604427,3.7355950716379525,3.7355950716379525,3.7355950716379525,0.0,0.0,0.24445980948370857,4.234954028516202,0.16710700779347806,2.4190648053143478,3.219806870898685,19.11553939613136,7.064471244812012,19.69704818725586,29.22428321838379,1.0055714025713576,0.26575386971273185,0.25,1.5775076150894165,1.0055714025713576,0.26575386971273185,0.04139676113360324,0.0,4.955523954855429,0.9341757684140592,0.8114879926069669,1.0062570475243233,1.00384576578398,1.0000491722210034,229.46230506896973,336.2876057134463,0.6838344932234484,-41.63385887984391,229.46230410352786,279.1470858539841,328.2001493265256,364.92122513670773,201.86724145071847,158.18993336285732,433.5340745345406,0.43654401285301814,0.3746056948617662,-0.22755259698460395,-0.22755259698460395,0.36542750341818375,0.03459626951291929,-0.09754838464345747,1.0638112348988773,0.7001592162190541,0.839148761092099,0.8899350920689751,0.20015921621905408,0.03914876109209897,-0.060064907931024814,0.012220862681903994,0.0,0.6373626373626373,0.3626373626373626,1.0,2.334202298096248,1.8833857538935903,1.8645780571214445
11,9.999376947588288e-06,9.999376947588288e-05,0.3,19.803896491591995,15.0249214558988,3.674773203360068,3.674773203360068,3.674773203360068,0.0,0.0,0.24416191795387784,3.8187590354197734,0.16184572351945414,2.308560110427238,3.092110066800504,17.40222118996285,4.132355737686163,18.110363006591797,27.72308921813965,1.0100588510831403,0.30072902354090436,0.25,1.7337439060211182,1.0100588510831403,0.30072902354090436,0.06506455848561112,0.0,6.313023373887345,0.9200430754068736,0.8542626851006981,1.0108966440767855,1.0085385425670728,1.0006099939346313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9.999102812725971e-06,9.999102812725972e-05,0.35,19.36163974452663,14.59854200724009,3.7162391688372636,3.7162391688372636,3.7162391688372636,0.0,0.0,0.24391382972936373,3.5599052712724015,0.15538581843311722,2.272831897477846,2.9179893699852197,15.748516082763672,2.6192569732666016,16.45749855041504,26.043434143066406,1.013162625698259,0.3289409947641854,0.25,1.8907486200332642,1.013162625698259,0.3289409947641854,0.08079658605974395,0.0,8.233562868994635,0.8815816665017927,0.8929282886972795,1.0139576873263798,1.0121954776145317,1.0020116438736786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,9.998778841621001e-06,9.998778841621002e-05,0.4,18.820074700020456,14.199902470047409,3.6238387146511593,3.6238387146511593,3.6238387146511593,0.0,0.0,0.2417554585514842,3.317835685369131,0.149955200182425,2.2734078233306474,2.8099153170714506,13.713246474394927,1.5218427181243896,14.29852294921875,23.57427978515625,1.0174102195941008,0.36683489489632276,0.25,2.532230854034424,1.0174102195941008,0.36683489489632276,0.10116259984681038,0.0,10.505039137762946,0.9853077128126815,0.9062061835380746,1.018131929474908,1.0170673293036383,1.0048315911679655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9.998405037503059e-06,9.998405037503059e-05,0.45,17.095373746511097,12.54140041969918,3.6138928387616134,3.6138928387616134,3.6138928387616134,0.0,0.0,0.23962038554049828,3.0621251931061617,0.145604842619316,2.240690315091932,2.789531965513487,11.359567822636786,0.8837851643562318,11.511648178100586,20.561853408813477,1.02157482904758,0.41069764403771597,0.25,2.554654359817505,1.02157482904758,0.41069764403771597,0.12285260969471495,0.0,13.299689138257826,1.1094827200915363,0.9165782967889073,1.0222727060317993,1.0216785669326782,1.0074126076053929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,9.997981404098609e-06,9.997981404098608e-05,0.5,17.714053463291478,13.24699995968793,3.5572520462242334,3.5572520462242334,3.5572520462242334,0.0,0.0,0.23755550908075795,2.9107224361316577,0.1435653549191114,2.2519836651312337,2.7920221186972953,9.749784521154455,0.5617714524269104,9.524869918823242,18.4315242767334,1.0255850898258658,0.4409188699989722,0.25,3.7341744899749756,1.0255850898258658,0.4409188699989722,0.1415718349928876,0.0,16.36849831246041,1.4170642398499154,0.9134273521737064,1.0261986030114663,1.0261183590502352,1.011105221671027,172.39092071239764,290.07360302276123,0.3972452118738226,-108.65884006416405,172.39092215274334,204.02245643730006,243.23010114737082,280.0060393182785,70.13478660583496,98.77618307660717,394.3929662289827,0.6909670442660851,0.5489269959516685,-0.3190675352274294,-0.3190675352274294,0.5612755077197134,0.5129794456463734,0.35627320320381994,0.7690731601025724,0.8329386856840405,0.9270798288264929,0.9763018550939547,0.3329386856840405,0.12707982882649282,0.026301855093954774,0.07592235048568446,0.0,0.6758241758241759,0.3241758241758242,1.0,2.1416773183660194,1.5480788073369436,1.5542268382978963
16,9.99750794563087e-06,9.99750794563087e-05,0.55,16.661403939530658,12.241112141995817,3.5481664554492847,3.5481664554492847,3.5481664554492847,0.0,0.0,0.23635437520774635,2.7324322623175545,0.14228450647882512,2.238649303848679,2.7206733097901217,8.215073250435495,0.4998939335346222,7.713475227355957,15.951155662536621,1.027520505773273,0.4756026273894288,0.25,3.526388645172119,1.027520505773273,0.4756026273894288,0.1526124302440092,0.0,18.424688390783363,1.4373717453028705,0.9219866455911466,1.0282807607908506,1.027760106164056,1.0115110004270398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9.996984666819766e-06,9.996984666819766e-05,0.6,16.16983145636481,11.77444905203742,3.5586695606644088,3.5586695606644088,3.5586695606644088,0.0,0.0,0.23374541587120778,2.5743067586744153,0.13975465539339427,2.2148854249232524,2.7955406163189864,7.0655541291108,0.4998939335346222,6.320194721221924,14.131940841674805,1.0290656018000663,0.5116330427280327,0.25,4.0,1.0290656018000663,0.5116330427280327,0.16150837071889704,1.3677645256592625e-05,21.292181685164167,1.8310594445950277,0.9140032021297817,1.0299907149495304,1.0286598914378398,1.012786146756765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
