epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2e-05,0.0,23.583677755819785,18.57520818710327,3.742113222946992,3.742113222946992,3.742113222946992,0.0,0.0,0.24743292057836377,6.022489599279456,0.0,0.0,2.1445579528808594,49.96309435045397,49.9067497253418,50.00431823730469,50.00431823730469,0.9999999528473388,0.0023187609895951406,0.9869455099105835,1.0209680795669556,0.9999999528473388,0.0023187609895951406,0.0,0.0,0.007351423059967724,0.007351423059967724,0.0,0.999999995167191,0.9999999806687638,0.9999999967781273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4e-05,0.0,23.157500550553607,18.167602951462204,3.727367607322899,3.727367607322899,3.727367607322899,0.0,0.0,0.24661346545090546,6.004383570439106,0.0,0.0,2.1467696653830037,49.72317278062975,49.61518478393555,49.71218490600586,49.9067497253418,0.999999946759206,0.0024091895101105436,0.9882904887199402,1.02512788772583,0.999999946759206,0.0024091895101105436,0.0,0.0,0.007964759410635845,0.007964759410635845,0.0,0.9999999855015729,0.9999999935562546,0.9999999935562546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-05,0.0,24.182206927119076,19.161003009693044,3.7530489225645325,3.7530489225645325,3.7530489225645325,0.0,0.0,0.24624627224496892,6.032967219481597,0.0,0.0,2.1526908230137183,49.34145551114469,49.037147521972656,49.3253173828125,49.61518478393555,0.9999999505553416,0.0025144401549196363,0.9877341985702515,1.0254980325698853,0.9999999505553416,0.0025144401549196363,0.0,0.0,0.009898032414147983,0.009898032414147983,0.0,0.9999999855015729,0.9999999871125093,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8e-05,0.0,23.99078010868382,18.96591244517146,3.728576615050032,3.728576615050032,3.728576615050032,0.0,0.0,0.2480990894742914,6.1713317600456445,0.0,0.0,2.1702694312946216,48.56938140456741,48.08868408203125,48.56059646606445,49.037147521972656,0.9999999599273062,0.0026710730859863157,0.9845371246337891,1.0216975212097168,0.9999999599273062,0.0026710730859863157,0.0,0.0,0.011671182447792711,0.011671182447792711,0.0,0.9999999967781273,0.9999999871125093,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,0.0001,0.0,23.366409482182682,18.375703979182887,3.7399107958819413,3.7399107958819413,3.7399107958819413,0.0,0.0,0.2468383042393504,5.9454255619564575,0.0,0.0,2.18499882801159,47.06117320705105,45.976253509521484,47.158565521240234,47.99485397338867,0.9999999572247485,0.0030901951844099075,0.9773817658424377,1.022839903831482,0.9999999572247485,0.0030901951844099075,0.0,0.0,0.011034216052172956,0.011034216052172956,0.0,0.999999995167191,0.999999995167191,0.9999999935562546,295.64418423830807,391.61352656007114,1.0819713419187986,78.68839154924665,295.64418111143345,388.440380666026,460.18105285938327,507.82186646668976,341.63004302978516,263.2427038739818,379.51135718304175,0.03243410484411978,0.3291516398899514,-0.3700669156757474,-0.3700669156757474,0.47311895196337755,0.17495095419412413,-0.07030855209166594,1.3559020127146153,0.7287109914906109,0.7678636097724044,0.8326408249243027,0.22871099149061092,-0.032136390227595624,-0.11735917507569726,0.0,0.0,0.6373626373626373,0.3626373626373626,1.0,2.339937048298972,2.3196954072176754,2.319459086263573
6,1e-05,0.0001,0.05,23.639271684595055,18.6720491100002,3.733734652802751,3.733734652802751,3.733734652802751,0.0,0.0,0.24630046857369914,5.859564317239298,0.0,0.0,2.1938813634820886,44.23900006268475,42.190181732177734,44.47475814819336,46.066139221191406,0.9999999568986481,0.003665042215455971,0.9706037640571594,1.0280226469039917,0.9999999568986481,0.003665042215455971,0.0,0.0,0.009067992314796996,0.0065912980384923315,0.2731248759731784,0.9999999919453183,0.9999999935562546,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999975077406627e-06,9.999975077406626e-05,0.1,23.397808152276117,18.421027505719984,3.75265004183795,3.75265004183795,3.75265004183795,0.0,0.0,0.24717418930015048,5.81168558790877,0.0,0.0,2.231253366212587,38.7261706171809,34.5019416809082,39.095821380615234,42.4381103515625,0.999999953678895,0.006603240752854571,0.8919956088066101,1.026530385017395,0.999999953678895,0.006603240752854571,0.0,0.0,0.011952065384468517,0.0067034776926644755,0.43913646076806795,0.9999999903343819,0.9999999855015729,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999900309874961e-06,9.999900309874961e-05,0.15,23.242851747048867,18.345103521604795,3.73333258886595,3.73333258886595,3.73333258886595,0.0,0.0,0.24655214717259277,5.513887463389216,0.0,0.0,2.2143175666396684,31.303827182666677,25.24216079711914,31.784677505493164,36.58394241333008,0.9999999564918377,0.008204654301756924,0.8660004734992981,1.0335636138916016,0.9999999564918377,0.008204654301756924,0.0,0.0,0.016231408745453164,0.006685718667466898,0.5880999134261997,0.9999999887234455,0.9999999855015729,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999775698150361e-06,9.999775698150361e-05,0.2,22.690504280296533,17.887499744827682,3.718629669498753,3.718629669498753,3.718629669498753,0.0,0.0,0.2458909637219197,5.114511754061724,0.0,0.0,2.2315128493953393,20.68111231520369,12.892434120178223,20.763633728027344,28.159664154052734,0.9999999554889157,0.023598598780257433,0.5873871445655823,1.0793297290802002,0.9999999554889157,0.023598598780257433,0.0,0.0,0.05139408346164871,0.01237372399584667,0.7592383565886491,0.9999999887234455,0.9999999903343819,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999601243475088e-06,9.999601243475088e-05,0.25,22.069458909936852,17.45204644589811,3.7279717471148515,3.7279717471148515,3.7279717471148515,0.0,0.0,0.24580791592597961,4.139942678245339,0.0,0.0,2.4139534524969153,10.112939125782734,3.6329283714294434,9.413901329040527,17.34866714477539,1.0002272176292861,0.13536838595887257,0.25,1.3632566928863525,1.0002272176292861,0.13536838595887257,0.003851624904256483,0.0,0.4156203213575724,0.07119279148409495,0.8287071448971683,1.0002342526977126,1.0002468550527417,1.0,296.4422747853038,392.3504129499152,1.0871174872337273,80.64220323667422,296.4422729582383,389.3589115082984,461.1677274775449,508.92141353275616,343.3725705827986,264.66970564967903,378.402043218198,0.03253282963069149,0.35841069775957796,-0.30420025586903204,-0.30420025586903204,0.5044648624472052,0.2649905375241289,0.06460058363028323,1.35534748231845,0.7283038436895305,0.7632006960084515,0.8326408249243027,0.2283038436895305,-0.036799303991548515,-0.11735917507569726,0.0,0.0,0.6373626373626373,0.3626373626373626,1.0,2.3496035697695974,2.323743610264181,2.323381462267467
11,9.999376947588288e-06,9.999376947588288e-05,0.3,21.78997292389741,17.334093686696644,3.7364608854860872,3.7364608854860872,3.7364608854860872,0.0,0.0,0.24554020528857773,3.290166004284008,0.0,0.0,2.2997317958522485,4.204911811931713,0.7487825751304626,3.2788736820220947,8.554730415344238,1.0005165475196358,0.25017243740859435,0.25,1.6542495489120483,1.0005165475196358,0.25017243740859435,0.01211018711018711,0.0,0.33077672405822856,0.04148652560606196,0.87457846157652,1.000299698597676,1.0014982964541461,1.0002625826242808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9.999102812725971e-06,9.999102812725972e-05,0.35,20.595707558296823,16.277860589929528,3.6774089207520357,3.6774089207520357,3.6774089207520357,0.0,0.0,0.24582060929891225,2.8949158320555815,0.0,0.0,2.111944527239413,1.9437828708339382,0.4998939335346222,1.2134668827056885,4.140839099884033,1.0002136013929883,0.29824690474638327,0.25,2.245107412338257,1.0002136013929883,0.29824690474638327,0.006603567129882919,0.0,0.11359748264422288,0.02016258123960044,0.82250855590922,1.0000795496476662,1.0006471968985893,1.000852878029282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
