epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2e-05,0.0,180.8398282850111,175.35987524084143,3.7659810878135063,3.7659810878135063,3.7659810878135063,0.0,0.0,0.2465853517925417,5.968319222733781,0.17328520320557259,4.066774574485985,0.0,0.0,0.0,2.178827111785476,49.97440698984507,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.0022467742674052715,0.9671692848205566,1.0101569890975952,1.0,0.0022467742674052715,0.0,0.0,5.340732007413297,5.340643779651539,1.651978823039579e-05,0.9999999983890636,0.9999999871125093,1.0000000064437453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4e-05,0.0,175.10022632495776,169.6785619581068,3.7311767822987325,3.7311767822987325,3.7311767822987325,0.0,0.0,0.2460517476539354,5.889031925716916,0.17325962596648448,3.9919023835981213,0.0,0.0,0.0,2.1871958294430294,49.771960387358796,49.61518478393555,49.71218490600586,49.9067497253418,1.0000001192092896,0.0027940806467086077,0.9605156779289246,1.0121532678604126,1.0000001192092896,0.0027940806467086077,0.0,0.0,5.008655792958027,5.008583262160018,1.448109053757923e-05,0.999999995167191,0.9999999903343819,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-05,0.0,178.0183722006308,172.5337142944336,3.7178420053946004,3.7178420053946004,3.7178420053946004,0.0,0.0,0.2475096700159279,6.163007162712716,0.17321390678753723,4.203731169571748,0.0,0.0,0.0,2.2057519538982495,49.44237188390783,49.22907257080078,49.518367767333984,49.61518478393555,0.9999998211860657,0.0038952725008130074,0.9398191571235657,1.0136926174163818,0.9999998211860657,0.0038952725008130074,0.0,0.0,4.52295293034734,4.522880090249552,1.6104544732124846e-05,0.9999999983890636,0.9999999887234455,0.9999999967781273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8e-05,0.0,174.5046283618824,169.07056365141997,3.719197350579339,3.719197350579339,3.719197350579339,0.0,0.0,0.24696224323801091,5.97145481367369,0.17313967927082166,4.06895315324938,0.0,0.0,0.0,2.2331534269693734,48.76356867197398,48.27689743041992,48.845970153808594,49.133018493652344,1.0000001192092896,0.005926226731389761,0.9300406575202942,1.02239990234375,1.0000001192092896,0.005926226731389761,0.0,0.0,3.7359762900584452,3.735848175512778,3.429211957479993e-05,0.9999999983890636,0.9999999871125093,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,0.0001,0.0,174.7734935863598,169.31399886672563,3.7468636164794096,3.7468636164794096,3.7468636164794096,0.0,0.0,0.24707785127936183,6.009537799938305,0.17300344761964437,3.9705395344141365,0.0,0.0,0.0,2.276735917941944,47.30208731986381,46.336849212646484,47.343135833740234,48.18269729614258,1.0,0.00946052372455597,0.9029101729393005,1.0343828201293945,1.0,0.00946052372455597,0.0,0.0,2.8423610249081173,2.842196883382024,5.7748303137757866e-05,0.999999995167191,0.9999999887234455,1.0000000032218728,250.77928218212756,377.6828744348654,0.652992382297686,-129.80992568718207,250.7792821066981,321.617922185097,385.0031086309257,421.005401802539,185.24411501203264,140.6274730475374,569.6560114984927,0.03216078142276412,0.3246532092387952,-0.28430640254995865,-0.28430640254995865,0.38032466054344793,0.16099386896040463,0.04133779437445686,1.3579098699287195,0.7282824148578947,0.7615956765189291,0.8326408249243027,0.2282824148578947,-0.03840432348107092,-0.11735917507569726,0.0,0.0,0.5054945054945055,0.4945054945054945,1.0,2.3284182397873847,2.1618438356525296,2.138336846789161
6,1e-05,0.0001,0.05,185.332191673485,179.89377408414273,3.6863535803717538,3.6863535803717538,3.6863535803717538,0.0,0.0,0.24802338029887225,6.16597936604474,0.17290826584841754,4.049910806320809,0.0,0.0,0.0,2.3815601709726693,44.27467985410948,41.943695068359375,44.561710357666016,46.24643325805664,1.0000001192092896,0.01903344877064228,0.6652798652648926,1.086592435836792,1.0000001192092896,0.01903344877064228,0.0,0.0,2.1091998138943233,1.8679417693937146,0.11438368376069676,0.9999999935562546,0.9999999871125093,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999975077406627e-06,9.999975077406626e-05,0.1,158.0465159029574,152.73907573803052,3.746433393375294,3.746433393375294,3.746433393375294,0.0,0.0,0.24727260663702683,5.4893048969475,0.17287379100516037,3.4946357559513404,0.0,0.0,0.0,2.570218949704557,39.0960270649678,35.38918685913086,39.479488372802734,42.604209899902344,0.9999999403953552,0.046867456287145615,0.43527084589004517,1.1804373264312744,0.9999999403953552,0.046867456287145615,0.0,0.0,1.3744033156214535,1.0817550452979836,0.21292750606552874,0.9999999919453183,0.9999999822797002,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999900309874961e-06,9.999900309874961e-05,0.15,163.93303845379805,158.7161226014833,3.7256904614938273,3.7256904614938273,3.7256904614938273,0.0,0.0,0.24817871443323186,5.291086158236942,0.17151997902908842,3.195073443490106,0.0,0.0,0.0,2.810858475195395,34.31897529395851,27.77728843688965,35.320133209228516,39.789127349853516,1.0000261068344116,0.11867939680814743,0.25,1.3435689210891724,1.0000261068344116,0.11867939680814743,0.0006045519203413941,0.0,1.0939218208596513,0.7876180458713222,0.2800051787499972,1.0000334591478914,0.9999999871125093,1.0000000032218728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999775698150361e-06,9.999775698150361e-05,0.2,155.4208281233504,150.3201955846838,3.747867139610084,3.747867139610084,3.747867139610084,0.0,0.0,0.24792838338259104,4.791048977826093,0.1676270011309031,2.822882707054551,0.0,0.0,0.0,3.0099649042696566,31.316499297683304,21.675268173217773,32.85774612426758,38.48969650268555,1.0009909868240356,0.1841963529586792,0.25,1.6774578094482422,1.0009909868240356,0.1841963529586792,0.011098041361199256,0.0,1.2332715585425094,0.9003393988351565,0.26995851594989745,1.0012322728698317,1.0001768888653935,0.9999999967781273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999601243475088e-06,9.999601243475088e-05,0.25,157.0740556459169,152.13234050853833,3.6835586380314185,3.6835586380314185,3.6835586380314185,0.0,0.0,0.24668800629474022,4.43685389209438,0.16350888440737854,2.6006246772972315,0.0,0.0,0.0,3.110088064863875,30.623160078718854,17.314815521240234,32.79363250732422,39.4024543762207,1.004055142402649,0.23544378578662872,0.25,1.7082459926605225,1.004055142402649,0.23544378578662872,0.03192909508698982,0.0,2.913788830911791,2.039813090015102,0.29994477692578775,1.0047479642404091,1.0019790546314136,1.0,250.6702026115669,376.99035249054316,0.6564270062794466,-127.25836437351101,250.67020272411622,321.93452134929134,385.6090954955607,421.8252946911333,187.10986328125,141.45305598059366,566.6252958878227,0.03312589281602483,0.32953580733000876,-0.25683004134898996,-0.25683004134898996,0.367834519145431,0.13712972772243165,0.046820390699067016,1.3591112259038527,0.7283467013528021,0.7619642524230651,0.8326793968212471,0.2283467013528021,-0.03803574757693495,-0.11732060317875281,0.0,0.0,0.4945054945054945,0.5054945054945055,1.0,2.3124922726835524,2.162846951366781,2.1398434193579705
