epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2e-05,0.0,180.840754740947,175.3597550263276,3.765980707632529,3.765980707632529,3.765980707632529,0.0,0.0,0.2507718733033618,5.96831870723415,0.17328520481650894,4.066774651810929,0.0,0.0,0.0,2.178827040904277,49.974406577445365,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.0022468052338808775,0.9671607613563538,1.010166049003601,1.0,0.0022468052338808775,0.0,0.0,5.340743657704946,5.340655313955771,1.6541469659979944e-05,0.9999999983890636,0.9999999919453183,1.0000000032218728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4e-05,0.0,175.10119072166648,169.6783913277291,3.731178721866092,3.731178721866092,3.731178721866092,0.0,0.0,0.25059908266003067,5.889022376086261,0.17325968758479968,3.9918969482988924,0.0,0.0,0.0,2.187197930104024,49.771934509277344,49.61518478393555,49.71218490600586,49.9067497253418,1.0,0.002794718137010932,0.9605011940002441,1.0121501684188843,1.0,0.002794718137010932,0.0,0.0,5.00867070378484,5.0085979538994865,1.4524789041979592e-05,0.999999995167191,0.9999999903343819,1.0000000032218728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-05,0.0,178.01856046109586,172.5328428938582,3.7178331774634286,3.7178331774634286,3.7178331774634286,0.0,0.0,0.2517647626432213,6.163032286875957,0.17321383308719945,4.203717396065995,0.0,0.0,0.0,2.205758185000033,49.442259298788535,49.22907257080078,49.518367767333984,49.61518478393555,1.0,0.0038968168664723635,0.9370803236961365,1.0136878490447998,1.0,0.0038968168664723635,0.0,0.0,4.522583214012352,4.522509729540026,1.624834057184944e-05,0.9999999967781273,0.999999995167191,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8e-05,0.0,174.49776355640307,169.06246082202807,3.7192544357196704,3.7192544357196704,3.7192544357196704,0.0,0.0,0.25156295057889577,5.9715306758880615,0.1731371633909844,4.06911664395719,0.0,0.0,0.0,2.2331263181325554,48.76385487736882,48.27689743041992,48.845970153808594,49.133018493652344,1.0,0.005891360342502594,0.9255948066711426,1.0221112966537476,1.0,0.005891360342502594,0.0,0.0,3.7334689449619605,3.7333452250506425,3.313805823534129e-05,0.9999999967781273,0.9999999935562546,0.9999999967781273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,0.0001,0.0,174.78381925015836,169.32277823783255,3.7469400392996297,3.7469400392996297,3.7469400392996297,0.0,0.0,0.25188091357012055,6.010409600025898,0.17300086569141698,3.9715022299740768,0.0,0.0,0.0,2.275828587042319,47.31517729888091,46.336849212646484,47.43569564819336,48.18269729614258,0.9999999403953552,0.009400097653269768,0.8946506977081299,1.0345875024795532,0.9999999403953552,0.009400097653269768,0.0,0.0,2.842058478174983,2.8418875449412577,6.014416488535951e-05,0.9999999935562546,0.9999999838906366,1.0,254.83001451177913,391.73375758632346,0.6021165765911616,-173.13703878633268,254.8300143528786,319.3875388141357,377.1857139330211,409.53819061942954,155.35149002075195,129.81926472981772,620.5416752359141,0.032280982889965094,0.3299220273961971,-0.28974216681180387,-0.28974216681180387,0.38593436006130705,0.17259994054767053,0.052407787793931085,1.3577911927481159,0.7282824148578947,0.7615956765189291,0.8326408249243027,0.2282824148578947,-0.03840432348107092,-0.11735917507569726,0.0,0.0,0.4725274725274725,0.5274725274725275,1.0,2.328187747316046,2.118282986211253,2.118419322011235
6,1e-05,0.0001,0.05,185.11723265776763,179.6784698898728,3.686442388070596,3.686442388070596,3.686442388070596,0.0,0.0,0.2509473960947346,6.164706990525529,0.17291923471399256,4.047653987600997,0.0,0.0,0.0,2.384103581712053,44.215068404738965,41.78017044067383,44.47475814819336,46.24643325805664,1.0,0.019677279517054558,0.666951596736908,1.0907443761825562,1.0,0.019677279517054558,0.0,0.0,2.1571172862439543,1.7578870219153326,0.1850758263700046,0.999999995167191,0.9999999903343819,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999975077406627e-06,9.999975077406626e-05,0.1,157.81827864775786,152.50995501956425,3.746293171032055,3.746293171032055,3.746293171032055,0.0,0.0,0.25169498735182994,5.489185359026934,0.1728611749571723,3.4941044304821944,0.0,0.0,0.0,2.573275598319801,38.981512636751745,35.182430267333984,39.3255729675293,42.521080017089844,1.0,0.04800068587064743,0.4335941672325134,1.1829793453216553,1.0,0.04800068587064743,0.0,0.0,1.4418465350125287,0.9534720520715456,0.3387146073328389,0.9999999967781273,0.999999995167191,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999900309874961e-06,9.999900309874961e-05,0.15,163.9180520547403,158.71169775885505,3.7257166166563294,3.7257166166563294,3.7257166166563294,0.0,0.0,0.25327120761613586,5.250862572644208,0.17138968287287532,3.1573330002862052,0.0,0.0,0.0,2.820244834229753,34.03276051701726,27.29328155517578,35.04526901245117,39.63400650024414,1.0000497102737427,0.12430998682975769,0.25,1.3601008653640747,1.0000497102737427,0.12430998682975769,0.0009109311740890688,0.0,1.1818126327282674,0.6756097658260448,0.42832751392547785,1.0000638091886365,0.9999999855015729,0.9999999967781273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999775698150361e-06,9.999775698150361e-05,0.2,154.9585534173089,149.87011141390414,3.748717804212828,3.748717804212828,3.748717804212828,0.0,0.0,0.2521962442913571,4.7425465003864185,0.16761978977435343,2.7787754245706506,0.0,0.0,0.0,2.9967770447602144,31.478983440914668,21.46462631225586,33.11545181274414,38.79157638549805,1.0012199878692627,0.1892603486776352,0.25,1.6517561674118042,1.0012199878692627,0.1892603486776352,0.01301838275522486,0.0,1.462798764576783,0.857524261281297,0.41377838015238144,1.0015152112857715,1.0002262044597316,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999601243475088e-06,9.999601243475088e-05,0.25,155.51870933738914,150.5895732157939,3.684491789018786,3.684491789018786,3.684491789018786,0.0,0.0,0.25204425003077535,4.373284571879619,0.16249157286979057,2.58231161413966,0.0,0.0,0.0,3.144527738158767,30.533356022190404,16.139183044433594,32.92198181152344,39.711490631103516,1.0051405429840088,0.24648194015026093,0.25,1.7397923469543457,1.0051405429840088,0.24648194015026093,0.03715122004595689,0.0,4.074746231775026,2.444285318658159,0.40013802587323627,1.0059633158348702,1.0027453351665188,1.0000042818688057,254.06327245523642,390.19708943535903,0.6055714364786133,-169.13957595825195,254.0632736635942,319.4354172808544,377.83957089580593,410.55340529345057,157.96955490112305,130.281614466231,615.8130529652472,0.033140193282037114,0.33774611741643906,-0.2629295509815559,-0.2629295509815559,0.3739426686618513,0.13240608385026476,0.03529061809022944,1.3591799639024391,0.7283252725211663,0.7619771097220466,0.8326665395222657,0.2283252725211663,-0.03802289027795347,-0.1173334604777343,0.0,0.0,0.4725274725274725,0.5274725274725275,1.0,2.3128090854529497,2.1203682324388526,2.1204990652891307
