epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2e-05,0.0,180.84074876115127,175.3597486341322,3.765978884052586,3.765978884052586,3.765978884052586,0.0,0.0,0.25077338556985596,5.968318681459169,0.17328520240010442,4.066774600260967,0.0,0.0,0.0,2.178827833484959,49.97441049524256,49.9067497253418,50.00431823730469,50.00431823730469,1.0,0.0022464459761977196,0.9671664237976074,1.0101720094680786,1.0,0.0022464459761977196,0.0,0.0,5.340755514196448,5.340534467954893,4.138857151704837e-05,1.0,0.9999999887234455,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4e-05,0.0,175.1008348207216,169.67802377649255,3.731180745202142,3.731180745202142,3.731180745202142,0.0,0.0,0.2506006501010946,5.889045998856828,0.17325962918835716,3.99191014186756,0.0,0.0,0.0,2.1871920598519816,49.771936365076016,49.61518478393555,49.71218490600586,49.9067497253418,1.0000001192092896,0.002793431980535388,0.9605042338371277,1.0121501684188843,1.0000001192092896,0.002793431980535388,0.0,0.0,5.008515963683257,5.0083341856260555,3.6293796110343474e-05,0.999999995167191,0.9999999919453183,1.0000000064437453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-05,0.0,178.01810125402503,172.53239461537953,3.7178282286669755,3.7178282286669755,3.7178282286669755,0.0,0.0,0.2517661810726733,6.163004275914785,0.17321384959929698,4.203736479217942,0.0,0.0,0.0,2.2057557428205334,49.44232992223791,49.22907257080078,49.518367767333984,49.61518478393555,0.9999999403953552,0.0038970159366726875,0.937091588973999,1.0136685371398926,0.9999999403953552,0.0038970159366726875,0.0,0.0,4.52263440312566,4.522449841370454,4.080846222686416e-05,0.999999995167191,0.9999999919453183,0.9999999967781273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8e-05,0.0,174.5036427265889,169.06845092773438,3.719171343622981,3.719171343622981,3.719171343622981,0.0,0.0,0.2515621600118843,5.971458950558224,0.17313975780396848,4.068967896538812,0.0,0.0,0.0,2.2331652641296387,48.76345196285763,48.27689743041992,48.845970153808594,49.133018493652344,1.0,0.0059212809428572655,0.9300270676612854,1.02238130569458,1.0,0.0059212809428572655,0.0,0.0,3.735688557495942,3.7353625941920923,8.725655226146671e-05,0.9999999903343819,0.9999999903343819,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,0.0001,0.0,174.77457427978516,169.31399185593062,3.7468806730734334,3.7468806730734334,3.7468806730734334,0.0,0.0,0.25187918181354935,6.009100952663937,0.17300682494769226,3.970073738613644,0.0,0.0,0.0,2.2769035841967606,47.29891606923696,46.336849212646484,47.343135833740234,48.18269729614258,1.0,0.009496752172708511,0.9037694334983826,1.0352703332901,1.0,0.009496752172708511,0.0,0.0,2.841969889563483,2.8415315473401868,0.00015423886963265266,0.9999999919453183,0.9999999871125093,0.9999999967781273,253.90300321054983,389.844353824475,0.6065440589478455,-168.12859501681484,253.90300435603822,319.42021095390055,377.9510133270066,410.73890386196484,158.6542020525251,130.4271354083867,614.6666674406632,0.03218753168972368,0.3234124803128911,-0.28413176846156657,-0.28413176846156657,0.38000277364326973,0.1615711758046854,0.03660114008173912,1.3579080213276198,0.7282824148578947,0.7615956765189291,0.8326408249243027,0.2282824148578947,-0.03840432348107092,-0.11735917507569726,0.0,0.0,0.4725274725274725,0.5274725274725275,1.0,2.328065106501946,2.1618050575911343,2.1383262289749396
6,1e-05,0.0001,0.05,184.67300476899018,179.23381186820365,3.6864520794636495,3.6864520794636495,3.6864520794636495,0.0,0.0,0.25112420239964045,6.166299362440367,0.17290583695914294,4.048300259822124,0.0,0.0,0.0,2.3856461305876038,44.18696759198163,41.78017044067383,44.47475814819336,46.24643325805664,0.9999998211860657,0.019668499007821083,0.6705543994903564,1.0904326438903809,0.9999998211860657,0.019668499007821083,0.0,0.0,2.142372727394104,1.4952389710658305,0.30206403771551976,0.9999999983890636,0.9999999903343819,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999975077406627e-06,9.999975077406626e-05,0.1,158.096708967879,152.789681924356,3.7466151456575134,3.7466151456575134,3.7466151456575134,0.0,0.0,0.2518683079932187,5.483739949561454,0.17287389209141601,3.488364451640361,0.0,0.0,0.0,2.578755655804196,38.767269031421556,34.772544860839844,39.17226028442383,42.4381103515625,0.9999998211860657,0.04927254468202591,0.4241635799407959,1.1857415437698364,0.9999998211860657,0.04927254468202591,0.0,0.0,1.5292374056738776,0.7554648679655951,0.5059858821379731,0.9999999967781273,0.999999995167191,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999900309874961e-06,9.999900309874961e-05,0.15,164.47419841869458,159.28691472233953,3.7252032499055603,3.7252032499055603,3.7252032499055603,0.0,0.0,0.253270620429838,5.187140000833048,0.17083353891565994,3.100825213097237,0.0,0.0,0.0,2.8866643970077104,32.808651022008945,24.99685287475586,33.967041015625,39.095821380615234,1.000125765800476,0.1402052640914917,0.25,1.4150575399398804,1.000125765800476,0.1402052640914917,0.00202155596892439,0.0,1.2672653681523092,0.5308306877677506,0.5811211281330056,1.0001607134535506,1.00000486180589,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999775698150361e-06,9.999775698150361e-05,0.2,151.4152021665831,146.3606383864944,3.7465908205187,3.7465908205187,3.7465908205187,0.0,0.0,0.2518172791680774,4.617583461709924,0.16573210261963509,2.717806680782421,0.0,0.0,0.0,3.081709288262032,29.872656126280088,18.32384490966797,31.59898567199707,38.041282653808594,1.0019639730453491,0.2104334682226181,0.25,1.801525354385376,1.0019639730453491,0.2104334682226181,0.018842324105482,0.0,1.8030871732814893,0.8243302686794384,0.5428228424590164,1.0023795817349408,1.0006162459785874,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999601243475088e-06,9.999601243475088e-05,0.25,148.66932554502745,143.7787134325182,3.682839219634597,3.682839219634597,3.682839219634597,0.0,0.0,0.2510411602419776,4.222496412895821,0.16115797613118146,2.5216563972266943,0.0,0.0,0.0,3.155854875976975,29.4117830637339,14.076845169067383,31.784677505493164,39.3255729675293,1.0061259269714355,0.2611413598060608,0.25,1.8374804258346558,1.0061259269714355,0.2611413598060608,0.04264142685195317,0.0,4.852914752186956,1.948379808181041,0.5985134897943534,1.006972312927246,1.0038413389309033,1.0000167956223358,253.3181493989714,388.49394946688227,0.6099768663280458,-164.4982809129652,253.31815007404208,319.5037666489954,378.56032540352135,411.65760581029593,161.0430750165667,131.0033284564351,610.3733107525369,0.033188864976943,0.32770140463664765,-0.2555394991836471,-0.2555394991836471,0.36384096290556767,0.11938045734784873,0.017141464732749075,1.3589532403143914,0.72835741576862,0.761974966838883,0.8326815397044107,0.22835741576862,-0.03802503316111705,-0.11731846029558923,0.0,0.0,0.4725274725274725,0.5274725274725275,1.0,2.3132586148413985,2.1628461460490804,2.13978197155418
