epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2.0000000000000003e-06,0.0,23.977599839906436,18.77237557076119,3.7417072992067077,3.7417072992067077,3.7417072992067077,0.0,0.0,0.24742676921792933,4.88818663519782,0.17327642521342715,4.066957145123868,0.0,0.0,0.0,2.1013920693784147,49.968512457770274,49.9067497253418,50.00431823730469,50.00431823730469,0.9999998807907104,0.002749637933447957,0.9816625118255615,1.0396416187286377,0.9999998807907104,0.002749637933447957,0.0,0.0,10.059357591577479,10.059357591577479,0.0,1.0,1.0000000032218728,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4.000000000000001e-06,0.0,24.5716488554671,19.37504564749228,3.737823840734121,3.737823840734121,3.737823840734121,0.0,0.0,0.24680850554156947,4.904006784026687,0.17322401219123118,3.989534661576555,0.0,0.0,0.0,2.1091804182207263,49.736223169275235,49.61518478393555,49.71218490600586,49.9067497253418,0.9999998807907104,0.0025170615408569574,0.9753467440605164,1.036996841430664,0.9999998807907104,0.0025170615408569574,0.0,0.0,9.62173335616653,9.62173335616653,0.0,1.0000000032218728,1.0000000016109363,0.9999999935562546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-06,0.0,24.36982430638494,19.17196884670773,3.7605166048616976,3.7605166048616976,3.7605166048616976,0.0,0.0,0.24698185195793976,4.805720986546697,0.17316026905098478,3.971335188762562,0.0,0.0,0.0,2.1229786808426314,49.360071543100716,49.037147521972656,49.421749114990234,49.61518478393555,1.000000238418579,0.0027777657378464937,0.9595877528190613,1.0289266109466553,1.000000238418579,0.0027777657378464937,0.0,0.0,9.169367609797296,9.169367609797296,0.0,1.0,1.0000000064437453,0.9999999935562546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8.000000000000001e-06,0.0,23.48577192667368,18.333293489507728,3.725277797595875,3.725277797595875,3.725277797595875,0.0,0.0,0.24706216317576332,4.7716565325453475,0.17305996409944585,3.937975277771821,0.0,0.0,0.0,2.153245178428856,48.64966830691776,48.08868408203125,48.65553665161133,49.133018493652344,1.0000001192092896,0.0049372510984539986,0.9409784078598022,1.031309723854065,1.0000001192092896,0.0049372510984539986,0.0,0.0,8.884376551653888,8.884376551653888,0.0,1.0000000032218728,1.0,0.9999999967781273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,1e-05,0.0,23.317815883739573,18.18441999280775,3.7001695504059664,3.7001695504059664,3.7001695504059664,0.0,0.0,0.24743682629353292,4.805343318629909,0.17257384432328715,3.9304091157139958,0.0,0.0,0.0,2.216272006163726,47.22406840968777,45.7970085144043,47.43569564819336,48.371280670166016,1.000000238418579,0.01643161103129387,0.801810622215271,1.0770301818847656,1.000000238418579,0.01643161103129387,0.0,0.0,8.215804963498503,8.215804963498503,0.0,1.0000000128874909,1.0000000016109363,0.9999999935562546,281.12290457840805,432.5669849938241,0.5683194597085804,-256.95334992041956,281.12290437705684,328.98257764512033,372.2817338866514,397.0346818111402,100.09950719560895,134.79298100730244,719.0299463686736,0.02606027178735006,0.13569301874155426,-0.31268763346327716,-0.31268763346327716,0.43639235900355894,0.16427776272989456,-0.13349963803922427,1.4040394642488643,0.5673527971167412,0.8188727706040173,0.8695734814276906,0.06735279711674125,0.018872770604017264,-0.08042651857230931,0.0,0.0,0.44505494505494503,0.554945054945055,1.0,2.2976586327447994,2.047690238926437,2.047340818158873
6,1e-05,1e-05,0.05,22.396287660341006,17.446140211981696,3.7054774181262866,3.7054774181262866,3.7054774181262866,0.0,0.0,0.24617125536944415,4.199984408713676,0.17022474190673312,3.261077194600492,0.0,0.0,0.0,2.374254529540603,44.21093646900074,40.49473190307617,45.08699035644531,46.883052825927734,0.9999997019767761,0.05942002683877945,0.4283287525177002,1.1930501461029053,0.9999997019767761,0.05942002683877945,0.0,0.0,7.004274458498569,2.88634501921164,0.5879166305784147,1.0000000032218728,1.0000000032218728,0.9999999903343819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999976323536296e-06,9.999976323536296e-06,0.1,23.49842646315291,18.707273509051348,3.6582151361413904,3.6582151361413904,3.6582151361413904,0.0,0.0,0.24766973104025866,3.8439895333470524,0.16558016715822993,2.856645087938051,0.0,0.0,0.0,2.644304765237344,40.5991424354347,31.169906616210938,42.85457992553711,45.976253509521484,1.0000184774398804,0.14940863847732544,0.25,1.4349298477172852,1.0000184774398804,0.14940863847732544,0.0005836090131702141,0.0,5.888264720504348,0.8099313007818686,0.8624499170423684,1.000028539348293,1.000008776381209,0.9999999967781273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999905294381213e-06,9.999905294381213e-06,0.15,21.98657855472049,17.381209425024085,3.60868772300514,3.60868772300514,3.60868772300514,0.0,0.0,0.24637911972161886,3.366179698222392,0.16060533072497393,2.4579014230418847,0.0,0.0,0.0,2.7912735036901526,39.56769613317541,23.8987979888916,43.10641860961914,47.52843475341797,1.001207947731018,0.22341792285442352,0.25,1.6147434711456299,1.001207947731018,0.22341792285442352,0.015304912302602834,0.0,7.4585248457418905,0.5537344088425508,0.9257581867333082,1.0013612057711627,1.0012521131618604,1.0001242064140938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999786913242843e-06,9.999786913242843e-06,0.2,18.13822109634812,13.668035984039307,3.6045764265833675,3.6045764265833675,3.6045764265833675,0.0,0.0,0.2422525858556902,2.8615881687886007,0.15482881504136162,2.1724490764978768,0.0,0.0,0.0,2.7539371477591024,40.581321613208665,18.110363006591797,45.7970085144043,51.19013595581055,1.0043121576309204,0.27684274315834045,0.25,1.902390480041504,1.0043121576309204,0.27684274315834045,0.03853067848448911,0.0,12.76002822051177,0.7604243449262671,0.9404057474023542,1.0046213027593252,1.0045281938604407,1.0016952785285744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999621181301335e-06,9.999621181301335e-06,0.25,18.039100595422692,13.634281893034238,3.591113064740155,3.591113064740155,3.591113064740155,0.0,0.0,0.2405268388825494,2.6045625854182886,0.15081885376492063,2.1757978909724467,0.0,0.0,0.0,2.579643268842955,40.857664366026185,14.382550239562988,46.974708557128906,53.96206283569336,1.0063321590423584,0.30905622243881226,0.25,2.1238505840301514,1.0063321590423584,0.30905622243881226,0.05069752200237189,0.0,17.949036366230732,0.7312460469233023,0.9592598715606222,1.0067677755613584,1.006490092019777,1.0032174200625033,279.87509757869844,431.13751992747564,0.5671432014692668,-254.6194389154623,279.87509789356227,328.3543547707808,372.04705466956216,397.01605152836225,101.3481205531529,133.99204861840536,716.1490574712338,0.028079307286975098,0.23917018202965026,-0.3094246050591216,-0.3094246050591216,0.42067546002573664,0.18839970072484327,0.018098740912689593,1.4032325423473782,0.567347923454257,0.8184743486959297,0.8695734814276906,0.067347923454257,0.018474348695929677,-0.08042651857230931,0.0,0.0,0.43956043956043955,0.5604395604395604,1.0,2.2836847681920607,2.046176954612627,2.0459101635676165
