epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2e-05,0.0,23.891111013051624,19.10069767204491,3.7547357984491296,3.7547357984491296,3.7547357984491296,0.0,0.0,0.24664497294941465,4.870079923320461,0.0,0.0,0.0,0.0,0.0,2.1292834604108655,49.932697708542285,49.80937194824219,49.9067497253418,50.00431823730469,0.9999998807907104,0.004174708388745785,0.9595532417297363,1.0335968732833862,0.9999998807907104,0.004174708388745785,0.0,0.0,0.026025091071386595,0.026025091071386595,0.0,1.0000000032218728,0.999999995167191,0.9999999903343819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4e-05,0.0,24.111662014110667,19.321097477062327,3.7490896147650643,3.7490896147650643,3.7490896147650643,0.0,0.0,0.24717840713423653,4.89840207873164,0.0,0.0,0.0,0.0,0.0,2.132676343660097,49.60037272685283,49.421749114990234,49.61518478393555,49.80937194824219,0.9999998807907104,0.004452243447303772,0.9392368197441101,1.0303345918655396,0.9999998807907104,0.004452243447303772,0.0,0.0,0.02610038618582326,0.02610038618582326,0.0,1.0000000032218728,0.9999999983890636,0.9999999967781273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-05,0.0,23.918646064964502,19.14061270533381,3.7351993225716256,3.7351993225716256,3.7351993225716256,0.0,0.0,0.24683577587475647,4.905626651403066,0.0,0.0,0.0,0.0,0.0,2.1380725164671204,49.05881974503801,48.65553665161133,49.133018493652344,49.421749114990234,1.0000001192092896,0.005023077130317688,0.9446817636489868,1.0299351215362549,1.0000001192092896,0.005023077130317688,0.0,0.0,0.027227967423764435,0.027227967423764435,0.0,1.0000000032218728,0.9999999983890636,0.9999999967781273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8e-05,0.0,23.041188807100863,18.296715530189307,3.740770642821853,3.740770642821853,3.740770642821853,0.0,0.0,0.2454208767897374,4.711736163577518,0.0,0.0,0.0,0.0,0.0,2.1455461076788,48.156166282860006,47.43569564819336,48.27689743041992,48.75066375732422,1.0,0.006705096457153559,0.9293369054794312,1.0351841449737549,1.0,0.006705096457153559,0.0,0.0,0.02988695222380999,0.02988695222380999,0.0,1.0,1.0000000032218728,0.9999999935562546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,0.0001,0.0,23.205270071287412,18.490478129000277,3.6812989454011658,3.6812989454011658,3.6812989454011658,0.0,0.0,0.24629625597515623,4.859594345092773,0.0,0.0,0.0,0.0,0.0,2.197667966017852,46.17026921865102,44.30137252807617,46.42744064331055,47.714454650878906,1.000000238418579,0.0187166016548872,0.7797664999961853,1.0696845054626465,1.000000238418579,0.0187166016548872,0.0,0.0,0.05280259528474228,0.05280259528474228,0.0,1.000000009665618,1.0,0.9999999903343819,269.63624094868754,371.45491459364746,0.9049049533046586,7.441589271629249,269.6362429065425,357.36813789682134,428.70381358640583,473.17799930572755,285.96851021902904,212.74064411488615,426.7059389197308,0.026465696478062066,0.152425119862519,-0.31343605764545046,-0.31343605764545046,0.4477013946736418,0.17598452994166944,0.09340945973749003,1.4049264881616195,0.5673454866230149,0.8181734000375273,0.8695734814276906,0.06734548662301487,0.01817340003752721,-0.08042651857230931,0.0,0.0,0.6098901098901099,0.3901098901098901,0.8333333333333331,2.2984048894473483,2.1791438178701714,2.1788007538397234
6,1e-05,0.0001,0.05,22.556414810386865,17.916378717164736,3.7118785510192045,3.7118785510192045,3.7118785510192045,0.0,0.0,0.24672948589196075,4.332374340779072,0.0,0.0,0.0,0.0,0.0,2.2993010121422843,42.97389365531303,38.79157638549805,43.870845794677734,46.066139221191406,1.0,0.05674354359507561,0.33742475509643555,1.1837875843048096,1.0,0.05674354359507561,0.0,0.0,0.23025480657815933,0.3210444772565687,-0.3943008705340146,1.000000009665618,1.0000000016109363,0.9999999871125093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999975077406627e-06,9.999975077406626e-05,0.1,21.126469715221507,16.631623293902422,3.6984561198466532,3.6984561198466532,3.6984561198466532,0.0,0.0,0.24457957897637342,3.676226351712201,0.0,0.0,0.0,0.0,0.0,2.4317838307973503,40.15985354861698,30.92734146118164,42.355308532714844,45.52945327758789,1.0001111030578613,0.1417194902896881,0.25,1.3667025566101074,1.0001111030578613,0.1417194902896881,0.001755508395231259,0.0,1.7576039948978939,1.13431388461912,0.354624882560638,1.0000621112617287,1.0001337173822764,1.0000134448747378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999900309874961e-06,9.999900309874961e-05,0.15,18.496038900839316,14.169303546080718,3.632337557302939,3.632337557302939,3.632337557302939,0.0,0.0,0.2416984064353479,3.169866065721254,0.0,0.0,0.0,0.0,0.0,2.4972833878285177,39.69040556211729,23.8987979888916,43.44450378417969,47.343135833740234,1.0021393299102783,0.22429999709129333,0.25,1.7312620878219604,1.0021393299102783,0.22429999709129333,0.02084295612009238,0.0,7.478693047085324,2.4932047579739547,0.6666256066030638,1.0015885217769727,1.0025654773454409,1.0009608558706335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999775698150361e-06,9.999775698150361e-05,0.2,15.087047087179648,10.907435275412894,3.5756240213239514,3.5756240213239514,3.5756240213239514,0.0,0.0,0.23511586116777883,2.726044422871358,0.0,0.0,0.0,0.0,0.0,2.556452145447602,39.67101586831583,19.203222274780273,44.47475814819336,48.75066375732422,1.0061252117156982,0.27721157670021057,0.25,2.0454392433166504,1.0061252117156982,0.27721157670021057,0.04365988390237813,0.0,23.17682106430466,4.679618136302845,0.7980905956291793,1.0050364474992495,1.007126756616541,1.0045349146868732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999601243475088e-06,9.999601243475088e-05,0.25,13.473112776472762,9.343191585025272,3.5748566421302588,3.5748566421302588,3.5748566421302588,0.0,0.0,0.2314497111616908,2.486010570783873,0.0,0.0,0.0,0.0,0.0,2.5370802170521505,38.23671516212257,16.234024047851562,43.359737396240234,48.18269729614258,1.0082902908325195,0.31056490540504456,0.25,2.412850856781006,1.0082902908325195,0.31056490540504456,0.05450190375132639,0.0,37.57640093726081,5.284211242521131,0.8593742053331855,1.0071363867940129,1.009355632034508,1.0065972482835925,270.83517915075953,372.089755140762,0.914346838150589,11.788733283242026,270.8351789328198,358.6463572421427,430.03094989513414,474.7945739797718,288.6521404811314,215.52736551447433,423.22624936311144,0.029661555084440048,0.24026883938856627,-0.3978668853357502,-0.3978668853357502,0.5147919608315906,0.3445224248505865,0.2632008054508729,1.4028702789457916,0.5676634931001123,0.8183598176275498,0.8696733915086179,0.06766349310011233,0.01835981762754979,-0.08032660849138207,0.0,0.0,0.6098901098901099,0.3901098901098901,0.8333333333333331,2.2820523715281222,2.182169732156691,2.1819809865165545
