epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2.0000000000000003e-06,0.0,23.978672723512393,18.77234273343473,3.741707015681911,3.741707015681911,3.741707015681911,0.0,0.0,0.25185980708212463,4.888176183442812,0.17327637527440046,4.066951790371457,0.0,0.0,0.0,2.101392178922086,49.96817624891126,49.9067497253418,50.00431823730469,50.00431823730469,0.9999998211860657,0.002749546431005001,0.9816712737083435,1.0396416187286377,0.9999998211860657,0.002749546431005001,0.0,0.0,10.059227969195392,10.059227969195392,0.0,1.0,1.000000009665618,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4.000000000000001e-06,0.0,24.57332286319217,19.375836346600508,3.7378368893185177,3.7378368893185177,3.7378368893185177,0.0,0.0,0.25039006850203954,4.903948339256081,0.17322439921868815,3.9893986792177767,0.0,0.0,0.0,2.1092821069665857,49.7358074703732,49.61518478393555,49.71218490600586,49.9067497253418,1.0,0.0025148808490484953,0.9771136045455933,1.0341111421585083,1.0,0.0025148808490484953,0.0,0.0,9.628383352949813,9.628383352949813,0.0,1.0000000032218728,1.000000009665618,0.9999999935562546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-06,0.0,24.372191686887998,19.17317039902146,3.760529311927589,3.760529311927589,3.760529311927589,0.0,0.0,0.25135539915110616,4.805813789367676,0.173166050701528,3.9717362055907377,0.0,0.0,0.0,2.1224222956476986,49.36839057303764,49.037147521972656,49.421749114990234,49.61518478393555,1.0000001192092896,0.00277602463029325,0.9595381021499634,1.0287344455718994,1.0000001192092896,0.00277602463029325,0.0,0.0,9.171291377093342,9.171291377093342,0.0,1.000000009665618,1.000000009665618,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8.000000000000001e-06,0.0,23.482763135755384,18.329476640031146,3.725183938000653,3.725183938000653,3.725183938000653,0.0,0.0,0.2516946784547857,4.770603186375386,0.17306249004763527,3.9375185483210795,0.0,0.0,0.0,2.1524899392514616,48.62893573657887,48.08868408203125,48.65553665161133,49.133018493652344,1.000000238418579,0.005054911598563194,0.93844074010849,1.034559726715088,1.000000238418579,0.005054911598563194,0.0,0.0,8.825200596371213,8.825200596371213,0.0,1.0000000064437453,1.000000009665618,0.9999999967781273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,1e-05,0.0,23.30587459254909,18.172933655816156,3.69984448922647,3.69984448922647,3.69984448922647,0.0,0.0,0.25248083029244395,4.800099095782718,0.17256887458466194,3.926999894348351,0.0,0.0,0.0,2.2149982259080216,47.16787266086887,45.7970085144043,47.43569564819336,48.27689743041992,0.9999998807907104,0.016845980659127235,0.7961661219596863,1.0805952548980713,0.9999998807907104,0.016845980659127235,0.0,0.0,8.11046923817815,8.11046923817815,0.0,1.0000000032218728,1.0000000032218728,0.9999999967781273,281.11787870428066,432.5599265513324,0.5683119731014686,-256.9454775275765,281.1178780659115,328.97775556461227,372.2789955586817,397.0321414984802,100.09746660505023,134.79146172279536,719.0146325152854,0.026065895740316657,0.1350322746729274,-0.3111430656923184,-0.3111430656923184,0.4361092445353843,0.16322105878141144,-0.13094883018416684,1.4040221821549494,0.5673527971167412,0.8188715521883962,0.8695734814276906,0.06735279711674125,0.0188715521883962,-0.08042651857230931,0.0,0.0,0.44505494505494503,0.554945054945055,1.0,2.297143274283671,2.0476890756533694,2.047332231487547
6,1e-05,1e-05,0.05,22.407328631426836,17.457827954678923,3.7054653038849703,3.7054653038849703,3.7054653038849703,0.0,0.0,0.25128950903544556,4.193367545669143,0.17035362647997365,3.2550427140416325,0.0,0.0,0.0,2.3740782093357398,44.15475979366818,40.415714263916016,44.99901580810547,46.883052825927734,0.9999998807907104,0.05983391031622887,0.4271036386489868,1.1862280368804932,0.9999998807907104,0.05983391031622887,0.0,0.0,6.947572501930031,2.8594355003253833,0.5884266771550734,1.000000009665618,1.0,0.9999999903343819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999976323536296e-06,9.999976323536296e-06,0.1,23.67073945741396,18.87213570362813,3.660163737632133,3.660163737632133,3.660163737632133,0.0,0.0,0.25268135320495916,3.855365534086485,0.16591262454922134,2.8760558914493872,0.0,0.0,0.0,2.623860945572724,40.71297238324139,31.537328720092773,42.85457992553711,45.976253509521484,1.0000152587890625,0.14637567102909088,0.25,1.4206428527832031,1.0000152587890625,0.14637567102909088,0.00046813557206166903,0.0,5.893042925241831,0.8042761844557684,0.8635210714297039,1.00002345845506,1.0000075327383506,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999905294381213e-06,9.999905294381213e-06,0.15,21.941804860089277,17.34008197526674,3.607316912831487,3.607316912831487,3.607316912831487,0.0,0.0,0.2513241695391165,3.3526040283409326,0.1604959533826725,2.450045830494649,0.0,0.0,0.0,2.79831050537728,39.4816523371516,23.666545867919922,43.022308349609375,47.62135314941406,1.0013515949249268,0.22619624435901642,0.25,1.6299494504928589,1.0013515949249268,0.22619624435901642,0.016501778915173834,0.0,7.588537628586228,0.5860015298869159,0.9227780689023096,1.001506824751158,1.0014160517099742,1.0001651596378636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999786913242843e-06,9.999786913242843e-06,0.2,17.921120488965833,13.457153500737371,3.602619609317264,3.602619609317264,3.602619609317264,0.0,0.0,0.24857328066954743,2.837297246262834,0.15447765629033786,2.1629697019989425,0.0,0.0,0.0,2.770214976491155,40.370277610985006,17.518917083740234,45.70764923095703,51.19013595581055,1.0046920776367188,0.2824222445487976,0.25,1.9216903448104858,1.0046920776367188,0.2824222445487976,0.041094500967480185,0.0,13.375376237405312,0.8402405453694833,0.9371800441007646,1.0050006299405485,1.004941212164389,1.0019339290825096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999621181301335e-06,9.999621181301335e-06,0.25,18.144340747111553,13.743317848927266,3.591193675994873,3.591193675994873,3.591193675994873,0.0,0.0,0.24797518309709188,2.5764618725390047,0.15074241402986888,2.1746874306653,0.0,0.0,0.0,2.5506303310394287,40.56160787633947,13.885697364807129,46.79157257080078,53.75168228149414,1.006548523902893,0.31288620829582214,0.25,2.1750285625457764,1.006548523902893,0.31288620829582214,0.052151863179576805,0.0,18.514217969533558,0.732922371174838,0.9604129986812885,1.0069856740332939,1.0066994106447376,1.003351601394447,279.9245874593546,431.19816282116096,0.5671512400701013,-254.72884268289084,279.9245883556643,328.36674768645514,372.03035730435107,396.9874654604408,101.25961003984723,134.02257660562677,716.2727231564729,0.02813797569895995,0.23773220195578487,-0.31029889719011516,-0.31029889719011516,0.4213878020025994,0.18624237414930483,0.017858469993046234,1.4030912892927017,0.5673491418698781,0.8185023722552142,0.8695734814276906,0.06734914186987806,0.018502372255214117,-0.08042651857230931,0.0,0.0,0.43956043956043955,0.5604395604395604,1.0,2.2829456951591993,2.0461270547175143,2.0458624821442823
