epoch,lr,lr_backbone,lr_main,solver_strength,rmr_update_rule,solver_step0,eta0,train_total,train_count,train_flat_dm16,train_cell,train_global,train_region_head,train_region_map,train_deep,grad_norm_mean,grad_norm_max,clip_rate,residual_abs_mean,residual_abs_max,z_lt_minus10_frac,initial_pred_count_mean,initial_pred_count_std,solver_rel_step_mean,solver_delta_n_mean,solver_signed_delta_n_mean,solver_r_spatial_mean,val_MAE,val_RMSE,val_NAE,val_Bias
0,2e-05,2.0000000000000003e-06,2e-05,1.0,latent,0.0,0.0,22.498573100928105,18.871530243844695,3.563796715302901,0.24847131741769385,18.871530243844695,0.0,0.005641674926278718,0.0,inf,inf,0.21212121212121213,0.0,0.0,0.0,266.5408750591856,0.7975995911691665,0.0,0.0,0.0,0.0,,,,
1,4e-05,4.000000000000001e-06,4e-05,1.0,latent,0.0,0.0,24.50742264949914,20.857998472271543,3.586000832644376,0.24893260995546976,20.857998472271543,0.0,0.005949985239457226,0.0,inf,inf,0.030303030303030304,0.0,0.0,0.0,267.36609441583806,0.9651179484867615,0.0,0.0,0.0,0.0,,,,
2,6e-05,6e-06,6e-05,1.0,latent,0.0,0.0,23.621837124680027,19.96459962382461,3.5941857569145435,0.24776866354725577,19.96459962382461,0.0,0.005546858692965047,0.0,66.52725554957534,197.4925537109375,0.0,0.0,0.0,0.0,270.7797231963186,1.693453316202119,0.0,0.0,0.0,0.0,,,,
3,8e-05,8.000000000000001e-06,8e-05,1.0,latent,0.0,0.0,23.924982331015848,20.309273141803164,3.552893544688369,0.2466181588895393,20.309273141803164,0.0,0.005805324424396862,0.0,65.38102167302912,211.5944366455078,0.0,0.0,0.0,0.0,274.7204599091501,2.0416162905299355,0.0,0.0,0.0,0.0,,,,
4,0.0001,1e-05,0.0001,1.0,latent,0.0,0.0,22.58201081825025,18.962451241233133,3.5568755901221074,0.24641017615795135,18.962451241233133,0.0,0.00540661509854324,0.0,69.22776580579352,178.90135192871094,0.0,0.0,0.0,0.0,278.7616762103456,3.6129419983258093,0.0,0.0,0.0,0.0,,,,
5,0.0001,1e-05,0.0001,1.0,latent,0.0,0.0,21.79816433877656,18.1774819836472,3.5580771113886978,0.24635347407875638,18.1774819836472,0.0,0.005083576896030343,0.0,80.10370335434422,419.4636535644531,0.0,0.0,0.0,0.0,280.2360802852746,6.587153008258166,0.0,0.0,0.0,0.0,,,,
6,9.999975077406626e-05,9.999975077406627e-06,9.999975077406626e-05,1.0,latent,0.0,0.0,20.8424085559267,17.23217149214311,3.547483624834003,0.24705076894976877,17.23217149214311,0.0,0.004954025861948277,0.0,85.99517498594342,213.92430114746094,0.0,0.0,0.0,0.0,277.69716759883994,12.1107758493297,0.0,0.0,0.0,0.0,,,,
7,9.999900309874961e-05,9.999900309874961e-06,9.999900309874961e-05,1.0,latent,0.0,0.0,21.159203587156355,17.585116126320578,3.5115464239409477,0.24603485428925717,17.585116126320578,0.0,0.005161908483414939,0.0,133.12010065714517,334.0999450683594,0.0,0.0,0.0,0.0,273.7679138183594,20.995599690086934,0.0,0.0,0.0,0.0,,,,
8,9.999775698150361e-05,9.999775698150361e-06,9.999775698150361e-05,1.0,latent,0.0,0.0,19.99458867853338,16.433312358278215,3.49913316784483,0.24475636942820114,16.433312358278215,0.0,0.004770548959530777,0.0,167.25991832848752,735.3276977539062,0.030303030303030304,0.0,0.0,0.0,279.80450624408144,34.76322888993875,0.0,0.0,0.0,0.0,,,,
9,9.999601243475088e-05,9.999601243475088e-06,9.999601243475088e-05,1.0,latent,0.0,0.0,19.000336762630578,15.413185235225793,3.5254104859901196,0.24347565526312048,15.413185235225793,0.0,0.004359592002760054,0.0,213.02803525057706,619.30078125,0.030303030303030304,0.0,0.0,0.0,267.2042920661695,49.19904699950622,0.0,0.0,0.0,0.0,258.9783009847005,352.8308178095498,0.8846985116208974,14.142516072591146
10,9.999376947588288e-05,9.999376947588288e-06,9.999376947588288e-05,1.0,latent,0.0,0.0,16.83355273622455,13.293843413844254,3.4782613985466235,0.2424094830498551,13.293843413844254,0.0,0.004227151448669081,0.0,160.05394074411103,316.2151184082031,0.0,0.0,0.0,0.0,267.8029211795691,67.70453019985754,0.0,0.0,0.0,0.0,,,,
11,9.999102812725972e-05,9.999102812725971e-06,9.999102812725972e-05,1.0,latent,0.0,0.0,17.15134707364169,13.61926726138953,3.4705462889237837,0.24275646968321365,13.61926726138953,0.0,0.004221975706362476,0.0,280.47899373372394,916.72998046875,0.12121212121212122,0.0,0.0,0.0,257.0539879076409,79.48630289632858,0.0,0.0,0.0,0.0,,,,
12,9.998778841621002e-05,9.998778841621001e-06,9.998778841621002e-05,1.0,latent,0.0,0.0,15.971115805886008,12.458257154984908,3.451898061867916,0.24051100647810733,12.458257154984908,0.0,0.004163947845385833,0.0,274.83251097708035,735.9635620117188,0.12121212121212122,0.0,0.0,0.0,277.1630628181226,100.22662062737362,0.0,0.0,0.0,0.0,,,,
13,9.998405037503059e-05,9.998405037503059e-06,9.998405037503059e-05,1.0,latent,0.0,0.0,15.564873926567309,12.076108210014574,3.428551767811631,0.23752149713761878,12.076108210014574,0.0,0.004167608705095269,0.0,324.55442440148556,1256.1412353515625,0.09090909090909091,0.0,0.0,0.0,286.8434013597893,118.40890077965769,0.0,0.0,0.0,0.0,,,,
14,9.997981404098608e-05,9.997981404098609e-06,9.997981404098608e-05,1.0,latent,0.0,0.0,15.217446211612586,11.71154871853915,3.444709235971624,0.24141601676290686,11.71154871853915,0.0,0.004170991184020584,0.0,inf,inf,0.30303030303030304,0.0,0.0,0.0,257.34656963926375,117.88713558315877,0.0,0.0,0.0,0.0,,,,
