epoch,lr,lr_backbone,lr_main,solver_strength,rmr_update_rule,solver_step0,eta0,train_total,train_count,train_flat_dm16,train_cell,train_global,train_region_head,train_region_map,train_deep,grad_norm_mean,grad_norm_max,clip_rate,residual_abs_mean,residual_abs_max,z_lt_minus10_frac,initial_pred_count_mean,initial_pred_count_std,solver_rel_step_mean,solver_delta_n_mean,solver_signed_delta_n_mean,solver_r_spatial_mean,val_MAE,val_RMSE,val_NAE,val_Bias
0,2e-05,2.0000000000000003e-06,2e-05,0.0,projected_sirt,0.0,0.0,23.10038387414181,19.46718471700495,3.569744789239132,0.24926228414882312,19.46718471700495,0.005694476488949449,0.0,0.24926228414882312,inf,inf,0.18181818181818182,0.000724889554972337,0.002817336469888687,0.0,267.0961294463186,0.41738083939262766,0.0,0.0,0.0,0.0,,,,
1,4e-05,4.000000000000001e-06,4e-05,0.0,projected_sirt,0.0,0.0,23.533867691502426,19.898273525816023,3.5724046952796704,0.24827928389563705,19.898273525816023,0.005599505874808087,0.0,0.24827928389563705,41.61506057508064,237.63015747070312,0.0,0.0007549634319730103,0.0025089411064982414,0.0,268.2334844415838,0.7512631338670076,0.0,0.0,0.0,0.0,,,,
2,6e-05,6e-06,6e-05,0.0,projected_sirt,0.0,0.0,22.443588227936715,18.802536270835184,3.57804857600819,0.24779040253523624,18.802536270835184,0.005280434203362374,0.0,0.24779040253523624,34.837994719996594,75.32274627685547,0.0,0.0008123361974757052,0.003264670493081212,0.0,270.37202222419506,0.9607081460072312,0.0,0.0,0.0,0.0,,,,
3,8e-05,8.000000000000001e-06,8e-05,0.0,projected_sirt,0.0,0.0,22.756945407751836,19.13457223140832,3.559344992493138,0.24765527745087942,19.13457223140832,0.005572314977391877,0.0,0.24765527745087942,54.67812133557869,278.28106689453125,0.0,0.0008685483921770797,0.0037006535567343235,0.0,273.5431268865412,1.677351975222315,0.0,0.0,0.0,0.0,,,,
4,0.0001,1e-05,0.0001,0.0,projected_sirt,0.0,0.0,22.94095941023393,19.31205668593898,3.565720052430124,0.24838401286891013,19.31205668593898,0.005433672347642256,0.0,0.24838401286891013,53.45599200508811,148.1518096923828,0.0,0.0008068337020548907,0.003911455627530813,0.0,276.7739757191051,3.145302392489665,0.0,0.0,0.0,0.0,,,,
5,0.0001,1e-05,0.0001,0.05,projected_sirt,0.05,0.05,22.767178390965316,19.142514329968076,3.5618135351123232,0.24714587222446094,19.142514329968076,0.0053211051871943655,0.0,0.24716274891838882,inf,inf,0.030303030303030304,0.0007431110628231456,0.008009660989046097,0.0,275.84913034150094,7.707633961016572,0.00452228901540917,0.6619228810975046,-0.45330813549684756,0.42267393817504245,,,,
6,9.999975077406626e-05,9.999975077406627e-06,9.999975077406626e-05,0.1,projected_sirt,0.1,0.1,21.647450851671625,18.037052327936347,3.5478374669046113,0.2463435639034618,18.037052327936347,0.004877865610813553,0.0,0.24656838404409814,105.64603851780747,437.894287109375,0.0,0.0018935483760397994,0.04136301949620247,0.0,278.5496853915128,15.248178707481616,0.023378862096278957,3.5673902540495903,2.381263377088489,0.4956909255547957,,,,
7,9.999900309874961e-05,9.999900309874961e-06,9.999900309874961e-05,0.15,projected_sirt,0.15,0.15,18.541734290845465,14.979888020139752,3.5001447345271255,0.24370769388747937,14.979888020139752,0.003872751305938106,0.0,0.24476217636556336,81.7597586891868,215.17884826660156,0.0,0.0045939368816713495,0.22607672214508057,0.0,270.95883548620975,23.23315315813269,0.09044814606507619,17.843100200999867,12.020171440008914,0.3292616641882694,,,,
8,9.999775698150361e-05,9.999775698150361e-06,9.999775698150361e-05,0.2,projected_sirt,0.2,0.2,17.474445111823805,13.906938422809947,3.505998828194358,0.24284557140234744,13.906938422809947,0.00398312299159553,0.0,0.24516807632012802,80.98889761260061,363.8122863769531,0.0,0.006788997304146037,0.2722051739692688,0.0,263.50881356904,31.407629885069838,0.18887886946851556,37.671627160274625,23.179163672707297,0.30144295367327606,,,,
9,9.999601243475088e-05,9.999601243475088e-06,9.999601243475088e-05,0.25,projected_sirt,0.25,0.25,16.382687597563773,12.796616048523873,3.525549801913175,0.23946145673592886,12.796616048523873,0.0032817588741608865,0.0,0.24193819905772354,inf,inf,0.030303030303030304,0.006745709134547999,0.23285754024982452,0.0,258.8646175500118,38.54599191624646,0.24689726170265314,46.0240144440622,23.938153093511406,0.32434167193643976,212.1590321858724,311.27090575175424,0.7627545526081794,36.47985941569011
10,9.999376947588288e-05,9.999376947588288e-06,9.999376947588288e-05,0.3,projected_sirt,0.3,0.3,15.623506719415838,12.070731943303889,3.4917906486626826,0.24113945256580005,12.070731943303889,0.0034962404434653845,0.0,0.24364436666170755,88.2345761385831,200.68739318847656,0.0,0.00585013928569176,0.18218405544757843,0.0,246.50187174479166,41.051067616453615,0.28014613462216925,45.72891339388761,14.44917259794293,0.36302553659135645,,,,
11,9.999102812725972e-05,9.999102812725971e-06,9.999102812725972e-05,0.35,projected_sirt,0.35,0.35,14.54884283470385,11.026700496673584,3.462080529241851,0.23756083846092224,11.026700496673584,0.003357450809386192,0.0,0.24090546550172748,73.7995995608243,281.8103942871094,0.0,0.006267012619046551,0.21567781269550323,0.0,255.06946355646306,50.81844924577532,0.3522319251840765,63.054743680087,30.248807155724727,0.32652626593004574,,,,
12,9.998778841621002e-05,9.998778841621001e-06,9.998778841621002e-05,0.4,projected_sirt,0.4,0.4,14.825756246393377,11.281286225174412,3.484853441065008,0.23567594091097513,11.281286225174412,0.003488582368432121,0.0,0.23894923293229306,85.81613939458674,704.7793579101562,0.030303030303030304,0.00567371528031248,0.18151958286762238,0.0,253.78852566805753,54.09946084274902,0.38290030125415686,65.501521023837,29.830757198911726,0.3543375793731574,,,,
13,9.998405037503059e-05,9.998405037503059e-06,9.998405037503059e-05,0.45,projected_sirt,0.45,0.45,13.66914396575003,10.150912313750297,3.458235690087983,0.237376996513569,10.150912313750297,0.003259095204570754,0.0,0.24068504030054266,50.64210793466279,148.93592834472656,0.0,0.005081922606085286,0.21532440185546875,0.0,248.47284397934422,59.451150886658866,0.41404747782331525,69.36521992538914,25.017136747186836,0.3399840412717877,,,,
14,9.997981404098608e-05,9.997981404098609e-06,9.997981404098608e-05,0.5,projected_sirt,0.5,0.5,13.212987032803623,9.685970479791814,3.4679855794617622,0.23375733693440756,9.685970479791814,0.002958535569522417,0.0,0.237122529835412,44.01838929725416,123.80363464355469,0.0,0.0049732925342113685,0.15505626797676086,0.0,252.6713279955315,62.03915387953138,0.46677847522677796,78.1565829190341,37.113235820423476,0.35697295268376666,,,,
15,9.99750794563087e-05,9.99750794563087e-06,9.99750794563087e-05,0.55,projected_sirt,0.55,0.55,13.188497052048191,9.686071728215072,3.443648172147346,0.23298722370104355,9.686071728215072,0.002652208555391002,0.0,0.23616738030404755,49.64601071675619,293.9454650878906,0.0,0.0042189237040778,0.13169704377651215,0.0,248.79190017237806,63.69229021522072,0.4697246849536896,71.7249984741211,29.5172051227454,0.4124990986152129,,,,
16,9.996984666819766e-05,9.996984666819766e-06,9.996984666819766e-05,0.6,projected_sirt,0.6,0.6,13.173290050390994,9.675863728378758,3.4389768369270093,0.23131939226930792,9.675863728378758,0.0030972861427333996,0.0,0.23478618986678845,34.948112545591414,101.55770874023438,0.0,0.004131587567936742,0.15000636875629425,0.0,254.12326142282197,65.37993645568419,0.5267636983683615,86.47804618604255,42.97814791130297,0.382195614955642,,,,
